Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Marvin Jones,CIN,WR,16,542,33.9,47.9,1.5,14.8,10.9,16.2,137.7,25.4
2,Josh Gordon,CLE,WR,14,899,64.2,93.1,0.6,17.7,10.2,18.2,227.4,25.3
3,Calvin Johnson,DET,WR,14,892,63.7,78.6,0,17.5,9.4,17.5,219.2,24.6
4,Terrelle Pryor,OAK,WR,11,588,53.5,56.8,14.1,0,60.4,60.4,143.52,24.4
5,Cordarrelle Patterson,MIN,WR,16,436,27.2,41.9,2.8,17.7,13.1,20.4,104.7,24
6,Julio Jones,ATL,WR,5,296,59.2,86.3,0.3,19.9,14.2,20.3,68.7,23.2
7,Randall Cobb,GB,WR,6,333,55.5,77.8,1.2,14.1,10.5,15.3,75.1,22.6
8,Dez Bryant,DAL,WR,16,933,58.3,93.6,0.1,17,10.1,17.1,199.4,21.4
9,Brandon Marshall,CHI,WR,16,987,61.7,93.4,0,16.6,10.1,16.6,205.5,20.8
9,Antonio Brown,PIT,WR,16,955,59.7,90.8,0.7,17.4,12.4,18.2,198.9,20.8
11,Demaryius Thomas,DEN,WR,16,1106,69.1,91.6,0,12.8,8.3,12.8,227,20.5
12,Alshon Jeffery,CHI,WR,16,962,60.1,91,1.7,15.5,10.9,17.2,194.6,20.2
13,Tavon Austin,LAR,WR,13,422,32.5,42,2.1,16.4,11.8,18.7,84.9,20.1
13,Brandon Gibson,MIA,WR,7,252,36,55.6,0,17.1,11.9,17.1,50.6,20.1
15,Anquan Boldin,SF,WR,16,804,50.2,81.1,0.2,16,10.8,16.3,161,20
16,AJ Green,CIN,WR,16,1055,65.9,93.2,0,16.9,9.3,16.9,208.6,19.8
17,Justin Blackmon,JAX,WR,4,247,61.8,92.9,0.4,19.4,12.1,19.8,47.4,19.2
