Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Tyreek Hill,KC,WR,16,418,26.1,40.8,5.7,19.9,20.3,25.6,138,33
2,Taylor Gabriel,ATL,WR,13,349,26.8,33.6,1.1,14.3,11.2,15.5,105,30.1
3,Marquess Wilson,CHI,WR,3,80,26.7,7.9,0,20,11.2,20,22,27.5
4,Julio Jones,ATL,WR,14,706,50.4,67.9,0,18.3,11.8,18.3,176.9,25.1
5,Keenan Allen,LAC,WR,1,27,27,2.5,0,25.9,22.2,25.9,6.3,23.3
6,JJ Nelson,ARI,WR,15,471,31.4,40.9,0.8,15.7,8.1,16.6,105.1,22.3
7,Mike Evans,TB,WR,16,950,59.4,83.6,0,18.2,10.1,18.2,208.1,21.9
8,AJ Green,CIN,WR,10,554,55.4,51,0,18.1,11.9,18.1,120.4,21.7
9,Antonio Brown,PIT,WR,15,975,65,90,0.3,15.8,11.2,16.1,201.3,20.6
10,Jordy Nelson,GB,WR,16,1015,63.4,93.3,0,15,9.6,15,207.7,20.5
11,Kendall Wright,TEN,WR,11,309,28.1,29.1,0.3,13.9,9.7,14.2,61.1,19.8
12,Odell Beckham Jr,NYG,WR,16,1002,62.6,94.4,0.1,16.9,10.2,17,195.6,19.5
13,T.Y. Hilton,IND,WR,16,947,59.2,86.4,0,16.4,9.6,16.4,182.8,19.3
14,Brandin Cooks,NO,WR,16,880,55,76.5,0.7,13.3,9.5,14,168.3,19.1
15,Michael Thomas,NO,WR,15,865,57.7,75.2,0,14,10.6,14,163.7,18.9
15,Dez Bryant,DAL,WR,13,688,52.9,64.9,0,14,7.4,14.1,130,18.9
15,Cole Beasley,DAL,WR,16,604,37.8,57,0.2,16.2,12.7,16.6,114,18.9
18,Davante Adams,GB,WR,16,915,57.2,84.1,0,13.2,8.2,13.2,171.7,18.8
18,Rishard Matthews,TEN,WR,16,781,48.8,73.5,0,13.8,8.3,13.8,146.5,18.8
20,Sammie Coates,PIT,WR,14,313,22.4,28.9,1.3,15.7,8,16.9,56.9,18.2
21,Michael Crabtree,OAK,WR,16,835,52.2,74.6,0,17.4,10.7,17.4,150.3,18
22,Doug Baldwin,SEA,WR,16,896,56,84.3,0.3,14,10.9,14.4,159.6,17.8
23,DeSean Jackson,WAS,WR,15,707,47.1,66.5,0,14.1,7.9,14.1,124.5,17.6
24,Danny Amendola,NE,WR,12,267,22.2,23.8,0,10.9,8.6,10.9,46.3,17.3
25,Kelvin Benjamin,CAR,WR,16,800,50,72.2,0,14.8,7.9,14.8,134.1,16.8
26,Tyrell Williams,LAC,WR,16,893,55.8,83.5,0,13.3,7.7,13.3,147.9,16.6
27,Kenny Britt,LAR,WR,15,787,52.5,78.4,0,14.1,8.6,14.1,128.2,16.3
28,Willie Snead,NO,WR,15,740,49.3,64.3,0,14.1,9.9,14.2,119.5,16.1
28,Cameron Meredith,CHI,WR,14,703,50.2,69.5,0.1,13.8,9.7,14.1,113.48,16.1
30,Adam Thielen,MIN,WR,16,787,49.2,74.7,0.3,11.7,9,11.9,126.2,16
31,Kenny Stills,MIA,WR,16,795,49.7,83.9,0,10.2,5.3,10.2,126.6,15.9
31,Jamison Crowder,WAS,WR,16,784,49,73.8,0.3,12.6,8.8,12.9,124.5,15.9
33,Steve Smith,BAL,WR,14,721,51.5,63.6,0,14,9.7,14,113.9,15.8
33,Stefon Diggs,MIN,WR,13,693,53.3,65.8,0.4,16.2,12.6,16.6,109.3,15.8
35,Eddie Royal,CHI,WR,9,311,34.6,30.8,0,13.8,10.6,13.8,48.9,15.7
36,Travis Benjamin,LAC,WR,14,549,39.2,51.4,0.4,13.7,9.1,14.2,85.4,15.6
