Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Donte' Stallworth,NE,WR,1,20,20,26.3,0,10,5,10,12.3,61.5
2,Terrelle Pryor,OAK,WR,3,70,23.3,6.5,14.3,1.4,58.6,58.6,25.5,36.4
3,Michael Crabtree,SF,WR,16,675,42.2,67.2,0.1,18.7,12.7,18.8,165.3,24.5
4,Randall Cobb,GB,WR,15,635,42.3,57.6,1.6,16.4,14.2,18,154.6,24.3
5,Pierre Garcon,WAS,WR,10,395,39.5,38.2,0.5,17,11.6,17.5,94.2,23.8
6,Percy Harvin,MIN,WR,9,420,46.7,54.1,5.2,20.2,20,25.5,99.3,23.6
7,Mohamed Sanu,CIN,WR,9,204,22.7,25.5,2.5,12.3,10.8,15.2,47.82,23.4
8,Santana Moss,WAS,WR,16,454,28.4,43.9,0.7,13.7,9.7,14.3,104.7,23.1
9,Lance Moore,NO,WR,15,608,40.5,54.9,0,17.1,10.7,17.1,140.1,23
10,Dez Bryant,DAL,WR,16,920,57.5,83.6,0.2,15,10.2,15.2,207.7,22.6
11,Danario Alexander,LAC,WR,10,480,48,76.8,0,12.9,7.9,13.1,107.8,22.5
12,Brandon Marshall,CHI,WR,16,969,60.6,92.6,0.1,20,12.3,20.1,216.6,22.4
13,Julio Jones,ATL,WR,16,836,52.2,78.9,0.7,15.4,10.2,16.1,182.8,21.9
14,Jarius Wright,MIN,WR,7,206,29.4,19.9,1,17.5,11.7,18.4,44.1,21.4
15,AJ Green,CIN,WR,16,960,60,90.8,0.4,17.1,10.5,17.5,202.8,21.1
16,Cecil Shorts,JAX,WR,14,656,46.9,66.3,0.2,16,8.5,16.2,137.5,21
17,Marques Colston,NO,WR,16,831,51.9,75.1,0,15.6,10,15.6,171.4,20.6
18,Jordy Nelson,GB,WR,12,595,49.6,53.9,0,12.3,8.2,12.3,118.5,19.9
19,T.Y. Hilton,IND,WR,15,673,44.9,57.6,0.7,13.4,8.3,14.3,131,19.5
20,Demaryius Thomas,DEN,WR,16,1018,63.6,89.1,0,13.9,9.2,13.9,197.4,19.4
21,Vincent Jackson,TB,WR,16,976,61,93,0,15.1,7.4,15.1,188.4,19.3
22,Calvin Johnson,DET,WR,16,1151,71.9,96,0,17.7,10.6,17.7,220.4,19.1
23,Andre Johnson,HOU,WR,16,976,61,86.6,0,16.7,11.5,16.7,183.8,18.8
24,Victor Cruz,NYG,WR,16,904,56.5,88.6,0,15.8,9.5,15.8,169.2,18.7
25,Mike Williams,TB,WR,16,832,52,79.3,0,15.1,7.7,15.3,154.72,18.6
