Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Martavis Bryant,PIT,WR,10,295,29.5,26.5,1,16.3,9.8,17.3,104.1,35.3
2,Odell Beckham Jr,NYG,WR,12,771,64.2,68.4,0.9,16.9,12.8,17.9,204,26.5
3,Dez Bryant,DAL,WR,16,897,56.1,84.7,0,15.2,9.8,15.2,228,25.4
4,Jordy Nelson,GB,WR,16,959,59.9,91.3,0,15.7,10.2,15.7,229.9,24
5,Antonio Brown,PIT,WR,16,1063,66.4,95.5,0.4,17,12.7,17.6,251.9,23.7
6,Mike Evans,TB,WR,15,769,51.3,77.4,0,16,8.8,16,177.1,23
7,Demaryius Thomas,DEN,WR,16,1021,63.8,90.5,0,18,10.9,18,229.9,22.5
8,Calvin Johnson,DET,WR,13,695,53.5,63.6,0,18.4,10.2,18.4,155.7,22.4
9,Julio Jones,ATL,WR,15,868,57.9,80.3,0.1,18.8,12.1,18.9,193.4,22.3
10,Randall Cobb,GB,WR,16,922,57.6,87.8,1.2,13.8,11.1,15,202.4,22
11,T.Y. Hilton,IND,WR,15,831,55.4,71.9,0.2,15.8,10.1,16,176.5,21.2
12,Steve Johnson,SF,WR,13,292,22.5,27.6,0,17.1,12,17.1,61.5,21.1
13,AJ Green,CIN,WR,13,648,49.8,61,0.3,17.9,11,18.2,136.3,21
14,DeSean Jackson,WAS,WR,15,755,50.3,71.6,0.5,12.6,7.9,13.1,153.6,20.3
15,Emmanuel Sanders,DEN,WR,16,1000,62.5,88.7,0.8,14.1,10.9,14.9,200.8,20.1
16,Jeremy Maclin,PHI,WR,16,1022,63.9,86.9,0,14.1,8.4,14.1,192.9,18.9
17,Alshon Jeffery,CHI,WR,16,957,59.8,90.5,0.6,15.2,9.5,15.8,176.6,18.5
18,Torrey Smith,BAL,WR,16,788,49.2,73.2,0,11.7,6.2,11.7,142.7,18.1
19,Kenny Stills,NO,WR,15,617,41.1,54.1,0.2,13.5,10.4,13.6,110.9,18
19,Devin Hester,ATL,WR,16,388,24.2,35.9,1.5,15.2,11.3,16.8,70,18
21,Mike Wallace,MIA,WR,16,819,51.2,74.8,0.5,14,8.8,14.7,145.8,17.8
22,Jordan Matthews,PHI,WR,16,764,47.8,65,0,13.5,8.8,13.5,135.2,17.7
23,Golden Tate,DET,WR,16,924,57.8,84.5,0.5,15.6,11.3,16.1,160.1,17.3
24,Steve Smith,BAL,WR,16,822,51.4,76.4,0,16.3,9.6,16.3,140.5,17.1
25,Kendall Wright,TEN,WR,14,662,47.3,68.5,0.6,14,9.2,14.7,110.9,16.8
26,Rod Streater,OAK,WR,3,86,28.7,36.4,0,15.1,10.5,15.1,14.4,16.7
27,Kelvin Benjamin,CAR,WR,16,925,57.8,83.8,0,15.7,7.9,15.7,152.8,16.5
28,Julian Edelman,NE,WR,14,805,57.5,71.2,1.2,16.6,12.7,17.9,130.6,16.2
28,Brandin Cooks,NO,WR,10,534,53.4,72.4,1.3,12.9,11.2,14.2,86.3,16.2
28,Brian Quick,LAR,WR,7,343,49,75.1,0,11.4,7.3,11.4,55.5,16.2
31,Corey Brown,CAR,WR,13,307,23.6,27.8,2.6,11.7,9.4,14.3,49.1,16
32,Eddie Royal,LAC,WR,16,761,47.6,71.3,0.4,12,8.5,12.4,119.2,15.7
32,Brandon Marshall,CHI,WR,13,753,57.9,86.3,0,14.1,8.1,14.1,118.1,15.7
34,Donte Moncrief,IND,WR,16,411,25.7,35.6,1,11.9,8.8,12.9,64.1,15.6
35,Eric Decker,NYJ,WR,15,812,54.1,74.6,0,14,9.1,14,126.2,15.5
36,Roddy White,ATL,WR,14,870,62.1,80.5,0,14.3,9.2,14.3,132.1,15.2
36,John Brown,ARI,WR,16,653,40.8,61.7,0.5,15.8,7.8,16.2,99,15.2
36,Jarius Wright,MIN,WR,16,514,32.1,50.2,1,12.1,9.1,13,77.9,15.2
39,Brandon LaFell,NE,WR,16,913,57.1,80.7,0.2,13,8.3,13.3,136.6,15
40,Andrew Hawkins,CLE,WR,15,648,43.2,61.7,0.5,17.3,10.2,17.7,96,14.8
41,DeAndre Hopkins,HOU,WR,16,1053,65.8,95,0,12.1,7.2,12.1,155,14.7
42,Percy Harvin,NYJ,WR,13,543,41.8,59.9,6.1,14.4,15.5,20.4,78.5,14.5
43,Anquan Boldin,SF,WR,16,952,59.5,90,0.1,13.8,8.9,14,136.6,14.3
43,Jarvis Landry,MIA,WR,16,683,42.7,62.4,0.3,16.4,12.6,16.7,97.4,14.3
43,Cole Beasley,DAL,WR,16,433,27.1,40.9,0,11.3,8.5,11.3,62,14.3
46,James Jones,OAK,WR,16,717,44.8,69.7,0,15.5,10.2,15.5,100.6,14
47,Charles Johnson,MIN,WR,12,441,36.8,49,0.2,13.4,7.3,13.6,60.4,13.7
48,Terrance Williams,DAL,WR,16,810,50.6,76.5,0,8,4.6,8,110.1,13.6
48,Chris Hogan,BUF,WR,16,461,28.8,43.4,0,13.2,8.9,13.2,62.6,13.6
50,Marques Colston,NO,WR,16,876,54.8,76.8,0,11.3,6.7,11.3,118.2,13.5
51,Allen Robinson,JAX,WR,10,516,51.6,78.2,0,15.7,9.3,15.7,68.8,13.3
52,Allen Hurns,JAX,WR,16,788,49.2,76,0,12.3,6.5,12.3,103.7,13.2
