Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,DeSean Jackson,TB,WR,5,170,34,52,0.6,18.2,12.9,18.8,68.8,40.5
2,Calvin Ridley,ATL,WR,6,215,35.8,52.4,1.4,13.5,11.6,14.9,72.2,33.6
3,Albert Wilson,MIA,WR,6,217,36.2,60.8,2.8,14.7,13.8,18,67.18,31
4,Tyreek Hill,KC,WR,6,347,57.8,88.5,2.3,14.7,12.1,17,96.4,27.8
5,Chris Godwin,TB,WR,5,180,36,55,0,17.2,11.7,17.2,46.9,26.1
6,Marquise Goodwin,SF,WR,4,150,37.5,59.8,2,9.3,8,11.3,36.7,24.5
7,Mike Evans,TB,WR,5,270,54,82.6,0,16.3,12.2,16.3,64.4,23.9
8,Cooper Kupp,LAR,WR,6,325,54.2,79.9,1.2,12.9,10.5,14.2,76.3,23.5
9,Adam Thielen,MIN,WR,6,406,67.7,97.4,0,20,14.3,20,95.2,23.4
9,Emmanuel Sanders,DEN,WR,7,404,57.7,86,0.5,15.1,12.1,15.8,94.72,23.4
11,AJ Green,CIN,WR,6,333,55.5,85.4,0,16.5,9.9,16.5,77.4,23.2
11,Golden Tate,DET,WR,5,267,53.4,79.2,0.4,19.1,12.7,19.5,62,23.2
13,Julio Jones,ATL,WR,6,317,52.8,77.3,0.3,21.8,14.2,22.1,71.9,22.7
14,Alshon Jeffery,PHI,WR,3,178,59.3,62,0,16.3,10.1,16.3,39.8,22.4
15,Davante Adams,GB,WR,6,412,68.7,94.9,0,17.2,11.4,17.2,91.7,22.3
16,Tyler Boyd,CIN,WR,6,321,53.5,82.3,0.3,16.2,11.8,16.5,70,21.8
17,Jakeem Grant,MIA,WR,6,143,23.8,40.1,0.7,14.7,10.5,15.4,30.9,21.6
18,Michael Thomas,NO,WR,5,311,62.2,90.1,0,15.8,14.8,15.8,65.9,21.2
19,Antonio Brown,PIT,WR,6,402,67,93.7,0,17.9,10,17.9,83.8,20.8
19,Terrelle Pryor,NYJ,WR,6,171,28.5,45.5,0,12.9,8.2,12.9,35.5,20.8
21,Kenny Golladay,DET,WR,5,303,60.6,89.9,0,13.5,8.9,13.5,60.8,20.1
22,Tyler Lockett,SEA,WR,6,341,56.8,89.3,0.9,9.4,7.6,10.3,67.8,19.9
23,Robert Woods,LAR,WR,6,398,66.3,97.8,1.8,12.8,10.8,14.6,78.8,19.8
23,Juju Smith-Schuster,PIT,WR,6,354,59,82.5,0,17.8,11.9,17.8,70.1,19.8
25,Kendrick Bourne,SF,WR,6,123,20.5,29.8,0,14.6,8.1,14.6,24,19.5
26,Geronimo Allison,GB,WR,4,211,52.8,74.8,0,13.7,9,13.7,40.9,19.4
27,John Brown,BAL,WR,6,315,52.5,66.2,0.6,14.9,7.3,15.6,60.8,19.3
28,Tre'Quan Smith,NO,WR,5,130,26,37.7,0,5.4,3.1,5.4,24.9,19.2
29,Stefon Diggs,MIN,WR,6,358,59.7,85.9,1.4,16.8,12.6,18.2,67.8,18.9
30,David Moore,SEA,WR,6,164,27.3,42.9,0.6,6.1,4.9,6.7,30.9,18.8
31,DeAndre Hopkins,HOU,WR,6,435,72.5,99.8,0.2,14.5,10.6,14.9,81,18.6
32,D.J. Moore,CAR,WR,5,123,24.6,37,3.3,10.6,11.4,13.8,22.8,18.5
33,Mike Williams,LAC,WR,6,247,41.2,64.5,0.8,10.5,7.3,11.3,44.6,18.1
34,Cameron Meredith,NO,WR,3,86,28.7,40,0,11.6,10.5,11.6,15.4,17.9
35,Cole Beasley,DAL,WR,6,233,38.8,61,0,15,11.2,15,41.4,17.8
36,Will Fuller,HOU,WR,5,279,55.8,77.1,0,11.1,7.5,11.1,49.1,17.6
37,T.Y. Hilton,IND,WR,4,237,59.2,81.2,0,16,8.9,16,41.4,17.5
38,Dede Westbrook,JAX,WR,6,283,47.2,70.9,0.7,13.4,10.2,14.1,49.2,17.4
39,Tyrell Williams,LAC,WR,6,296,49.3,77.3,0.7,7.8,6.1,8.4,50.5,17.1
40,Keenan Allen,LAC,WR,6,308,51.3,80.4,1.6,16.6,13.3,18.2,52,16.9
40,Taylor Gabriel,CHI,WR,5,272,54.4,79.8,1.8,12.5,11.8,14.3,45.9,16.9
42,Odell Beckham Jr,NYG,WR,6,367,61.2,95.6,0.8,18.8,13.4,19.9,61.78,16.8
43,Ted Ginn,NO,WR,4,170,42.5,60.9,1.8,12.9,8.8,14.7,28.1,16.5
44,Brandin Cooks,LAR,WR,6,355,59.2,87.2,0.6,11,8.5,11.5,58.1,16.4
