Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Mark Ingram,NO,RB,1,36,36,54.5,44.4,8.3,50,52.8,19.3,53.6
2,Isaiah Crowell,NYJ,RB,6,158,26.3,42,44.3,6.3,49.4,50.6,77.8,49.2
3,Melvin Gordon,LAC,RB,6,270,45,70.5,33.7,15.6,44.8,49.3,132.5,49.1
3,Sony Michel,NE,RB,5,134,26.8,39.8,67.9,5.2,70.1,73.1,65.8,49.1
5,Austin Ekeler,LAC,RB,6,131,21.8,34.2,31.3,13,42,44.3,63,48.1
6,Kenneth Dixon,BAL,RB,1,22,22,27.5,59.1,0,59.1,59.1,10.4,47.3
7,Todd Gurley,LAR,RB,6,349,58.2,85.7,37,8.6,43,45.6,155,44.4
8,Matt Breida,SF,RB,6,163,27.2,39.5,38.7,8,45.4,46.6,70,42.9
9,Adrian Peterson,WAS,RB,5,149,29.8,43.2,51.7,6.7,56.4,58.4,63.5,42.6
10,Phillip Lindsay,DEN,RB,7,173,24.7,36.8,43.4,11.6,52,54.9,73.5,42.5
11,Alvin Kamara,NO,RB,5,260,52,75.4,23.8,19.6,38.5,43.5,105,40.4
12,Kareem Hunt,KC,RB,6,255,42.5,65.1,40.4,5.9,44.3,46.3,98.7,38.7
13,Saquon Barkley,NYG,RB,6,309,51.5,80.5,27.2,16.5,40.1,43.7,117.1,37.9
14,Tarik Cohen,CHI,RB,5,142,28.4,41.6,22.5,17.6,37.3,40.1,52.9,37.3
15,Mike Davis,SEA,RB,5,112,22.4,34.5,37.5,9.8,45.5,47.3,41.4,37
16,James White,NE,RB,6,210,35,51,13.8,24.3,31.4,38.1,77.2,36.8
17,Joe Mixon,CIN,RB,4,170,42.5,53.6,41.8,11.2,49.4,52.9,61.5,36.2
18,Royce Freeman,DEN,RB,7,163,23.3,34.7,43.6,3.7,46,47.2,57,35
19,Aaron Jones,GB,RB,4,87,21.8,29.3,36.8,6.9,41.4,43.7,28.9,33.2
20,Corey Clement,PHI,RB,4,117,29.2,32.2,32.5,11.1,41.9,43.6,37.5,32.1
21,Jay Ajayi,PHI,RB,4,121,30.2,42,37.2,5,41.3,42.1,38.4,31.7
22,James Conner,PIT,RB,6,367,61.2,85.5,28.1,9.5,35.1,37.6,115,31.3
23,Kerryon Johnson,DET,RB,5,134,26.8,39.8,37.3,11.2,47,48.5,41.4,30.9
24,Marlon Mack,IND,RB,2,42,21,32.3,52.4,9.5,57.1,61.9,12.9,30.7
25,Marshawn Lynch,OAK,RB,6,211,35.2,50.4,42.7,9.5,49.8,52.1,64,30.3
26,Alex Collins,BAL,RB,6,202,33.7,42.4,37.6,6.9,42.1,44.6,60.8,30.1
27,Carlos Hyde,CLE,RB,6,238,39.7,51.3,47.9,4.2,50.4,52.1,71.1,29.9
27,Frank Gore,MIA,RB,6,139,23.2,38.9,44.6,3.6,47.5,48.2,41.6,29.9
29,Ezekiel Elliott,DAL,RB,6,333,55.5,87.2,35.1,9,42,44.1,97.2,29.2
30,Chris Carson,SEA,RB,5,156,31.2,49.4,50,5.8,53.8,55.8,45.3,29
31,TJ Yeldon,JAX,RB,6,274,45.7,68.7,24.5,13.5,33.6,38,74.2,27.1
32,Giovani Bernard,CIN,RB,4,154,38.5,57.2,22.1,13.6,31.2,35.7,41.3,26.8
33,David Johnson,ARI,RB,7,320,45.7,83.6,33.1,9.4,39.4,42.5,82.1,25.7
34,Wendell Smallwood,PHI,RB,6,163,27.2,37,26.4,10.4,33.1,36.8,41.7,25.6
35,Chris Thompson,WAS,RB,4,148,37,53.8,15.5,20.9,33.1,36.5,36,24.3
36,Bilal Powell,NYJ,RB,6,193,32.2,51.3,38.9,8.8,44,47.7,46.8,24.2
