Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Arian Foster,HOU,RB,13,621,47.8,56,41.9,9.5,48.1,51.5,235.5,37.9
2,Marshawn Lynch,SEA,RB,16,704,44,66.6,39.8,6.8,45,46.6,265.3,37.7
3,DeMarco Murray,DAL,RB,16,783,48.9,73.9,50.2,8.2,57.5,58.4,294.1,37.6
4,Jeremy Hill,CIN,RB,16,501,31.3,47.2,44.3,6.4,49.7,50.7,183.9,36.7
5,CJ Anderson,DEN,RB,15,495,33,43.9,36.2,8.9,43,45.1,177.3,35.8
6,Ryan Mathews,LAC,RB,6,165,27.5,15.4,44.8,6.1,50.3,50.9,57.9,35.1
7,Mark Ingram,NO,RB,13,470,36.2,41.2,48.1,7.7,54.3,55.7,162.9,34.7
8,Eddie Lacy,GB,RB,16,687,42.9,65.4,35.8,8,41.9,43.8,230.6,33.6
9,Jamaal Charles,KC,RB,15,650,43.3,64.5,31.7,9.1,37.8,40.8,210.4,32.4
9,Tre Mason,LAR,RB,12,368,30.7,36.7,48.6,7.1,53,55.7,119.3,32.4
11,Knowshon Moreno,MIA,RB,3,68,22.7,19.4,45.6,1.5,47.1,47.1,21.6,31.8
12,Darren Sproles,PHI,RB,15,337,22.5,28.7,16.9,18.4,28.8,35.3,105.6,31.3
13,Le'Veon Bell,PIT,RB,16,929,58.1,83.5,31.2,11.3,40.2,42.5,287.5,30.9
14,Ahmad Bradshaw,IND,RB,10,382,38.2,50.7,23.6,12.3,33.5,35.9,116.5,30.5
15,Chris Ivory,NYJ,RB,16,444,27.8,40.8,44.6,6.1,48.6,50.7,134.3,30.2
16,Isaiah Crowell,CLE,RB,16,385,24.1,36.6,38.4,3.6,40.8,42.1,113.4,29.5
17,Branden Oliver,LAC,RB,14,373,26.6,34.9,42.9,12.1,52.5,55,109.3,29.3
18,Lamar Miller,MIA,RB,16,642,40.1,58.6,33.6,8.1,39.6,41.7,185.4,28.9
18,Steven Jackson,ATL,RB,15,420,28,38.9,45.2,6.4,50,51.7,121.5,28.9
18,Kerwynn Williams,ARI,RB,4,89,22.2,17,59.6,6.7,61.8,66.3,25.7,28.9
21,Justin Forsett,BAL,RB,16,707,44.2,65.7,33.2,8.3,39.5,41.6,202.9,28.7
21,Alfred Morris,WAS,RB,16,595,37.2,56.5,44.5,4.4,47.4,48.9,170.9,28.7
23,Matt Asiata,MIN,RB,15,525,35,51.3,31.2,12,39.6,43.2,150.2,28.6
24,Giovani Bernard,CIN,RB,13,509,39.2,47.9,33,11.6,41.5,44.6,144.9,28.5
25,Joique Bell,DET,RB,15,615,41,56.3,36.3,8.6,41.8,44.9,164.2,26.7
26,Ronnie Hillman,DEN,RB,8,311,38.9,27.6,34.1,10.9,40.8,45,81.3,26.1
27,Rashad Jennings,NYG,RB,11,418,38,37.1,40,9.8,47.1,49.8,108.5,26
27,Pierre Thomas,NO,RB,11,300,27.3,27.9,15,18.3,30,33.3,78,26
29,Stevan Ridley,NE,RB,6,187,31.2,43.2,50.3,2.7,52.4,52.9,48,25.7
30,Terrance West,CLE,RB,14,402,28.7,38.2,42.5,3.2,45.3,45.8,101.7,25.3
30,Jonathan Dwyer,ARI,RB,2,47,23.5,34.1,34,6.4,38.3,40.4,11.9,25.3
32,Matt Forte,CHI,RB,16,976,61,92.2,27.3,13.3,37.7,40.6,244.6,25.1
33,Andre Ellington,ARI,RB,12,528,44,62,38.1,12.1,46.8,50.2,131.5,24.9
34,CJ Spiller,BUF,RB,9,188,20.9,31.7,41,11.7,51.1,52.7,46.4,24.7
35,Andre Williams,NYG,RB,16,520,32.5,46.1,41.7,7.1,45.2,48.8,127.1,24.4
35,Alfred Blue,HOU,RB,16,336,21,30.3,50.3,5.4,54.8,55.7,82.1,24.4
37,Reggie Bush,DET,RB,11,277,25.2,25.3,27.4,20.2,41.9,47.7,67,24.2
38,Ben Tate,MIN,RB,11,282,25.6,28.4,42.2,4.3,45.4,46.5,67,23.8
39,Roy Helu,WAS,RB,14,364,26,34.5,11,12.9,22.5,23.9,85.3,23.4
40,Denard Robinson,JAX,RB,13,391,30.1,42.5,34.5,7.9,40.7,42.7,90.6,23.2
41,Chris Johnson,NYJ,RB,16,398,24.9,36.6,38.9,8.5,45,47.5,91.4,23
42,Frank Gore,SF,RB,16,647,40.4,61.2,39.4,2.9,41.1,42.3,147.4,22.8
43,Fred Jackson,BUF,RB,14,548,39.1,51.6,25.9,16.4,38.1,42.5,122.7,22.4
44,Jonathan Stewart,CAR,RB,13,546,42,49.5,32.1,5.7,36.6,37.7,121,22.2
45,LeSean McCoy,PHI,RB,16,775,48.4,65.9,40.6,4.9,44.4,45.5,171.4,22.1
45,Bishop Sankey,TEN,RB,16,354,22.1,36.6,42.9,6.5,48,49.4,78.2,22.1
47,Adrian Peterson,MIN,RB,1,43,43,34.7,48.8,7,53.5,55.8,9.3,21.6
48,Carlos Hyde,SF,RB,14,292,20.9,27.6,28.4,5.5,32.5,33.9,62.1,21.3
49,Bobby Rainey,TB,RB,15,382,25.5,38.4,24.6,11.8,33.5,36.6,78.1,20.4
50,Jerick McKinnon,MIN,RB,11,331,30.1,42.8,34.1,12.4,42.3,46.5,67.3,20.3
50,Toby Gerhart,JAX,RB,14,302,21.6,29.1,33.8,7.9,40.4,41.7,61.2,20.3
52,Benjamin Cunningham,LAR,RB,16,399,24.9,39.7,16.5,13.3,27.8,29.8,79.8,20
53,Doug Martin,TB,RB,11,345,31.4,34.7,39.1,5.8,42.9,44.9,67.8,19.7
54,Shane Vereen,NE,RB,16,595,37.2,52.6,16.1,13.1,25,29.2,113.8,19.1
55,Trent Richardson,IND,RB,15,483,32.2,41.8,32.9,7,38.5,40,90.8,18.8
56,Charles Sims,TB,RB,8,231,28.9,41,28.6,11.7,36.8,40.3,41.5,18
56,DeAngelo Williams,CAR,RB,6,135,22.5,12.2,46.7,4.4,50.4,51.1,24.3,18
58,Darren McFadden,OAK,RB,16,513,32.1,49.9,30.2,10.9,37.4,41.3,84.6,16.5
59,Jacquizz Rodgers,ATL,RB,16,350,21.9,32.4,16.6,11.4,24.9,28,51,14.6
60,Montee Ball,DEN,RB,5,191,38.2,20.9,28.8,6.8,33.5,35.6,27.4,14.3
61,Donald Brown,LAC,RB,13,352,27.1,33,24.1,11.6,32.4,35.8,43.4,12.3
62,Danny Woodhead,LAC,RB,3,68,22.7,32.5,22.1,8.8,29.4,30.9,7.2,10.6
63,Marcel Reece,OAK,FB,15,385,25.7,37.4,5.5,15.3,15.1,20.8,39,10.1
64,Mike Tolbert,CAR,FB,8,220,27.5,39.7,16.8,7.7,22.3,24.5,17.1,7.8
65,Darrin Reaves,CAR,RB,6,153,25.5,37.6,20.9,5.2,24.2,26.1,10.8,7.1
66,Bruce Miller,SF,FB,16,461,28.8,43.6,1.3,5.4,5.2,6.7,29.8,6.5
67,Kyle Juszczyk,BAL,FB,16,454,28.4,42.2,0,5.9,4.2,5.9,20.2,4.4
68,Kiero Small,CLE,FB,3,87,29,43.7,0,0,0,0,0,0
