Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Karlos Williams,BUF,RB,11,243,22.1,22.6,38.3,5.8,42.8,44,113.3,46.6
2,Joseph Randle,DAL,RB,6,145,24.2,30.5,52.4,6.9,59.3,59.3,64.1,44.2
3,David Johnson,ARI,RB,16,413,25.8,37.4,30.3,13.8,39,44.1,173.8,42.1
4,Todd Gurley,LAR,RB,13,456,35.1,47.4,50.2,5.7,54.8,55.9,187.4,41.1
5,Thomas Rawls,SEA,RB,13,289,22.2,33.3,50.9,3.8,54,54.7,118.6,41
6,Mike Gillislee,BUF,RB,5,112,22.4,32.9,42,6.2,47.3,48.2,45.6,40.7
7,Tim Hightower,NO,RB,8,192,24,34.5,50,6.8,56.2,56.8,74.4,38.8
8,LeGarrette Blount,NE,RB,12,309,25.8,35.3,53.4,2.3,55.3,55.7,116.6,37.7
9,Adrian Peterson,MIN,RB,16,666,41.6,65.1,49.1,5.4,53.6,54.5,230.7,34.6
10,Jeremy Hill,CIN,RB,16,459,28.7,43.3,48.6,4.1,51.9,52.7,155.3,33.8
11,Chris Ivory,NYJ,RB,15,537,35.8,48.2,46,6.9,51.6,52.9,172.7,32.2
12,Jeremy Langford,CHI,RB,16,391,24.4,36,37.9,10.7,43.5,48.6,125.6,32.1
13,Rashad Jennings,NYG,RB,16,425,26.6,38.2,45.9,9.4,52.7,55.3,135.9,32
14,Doug Martin,TB,RB,16,624,39,57,46.2,7.1,51.4,53.2,199.3,31.9
15,Devonta Freeman,ATL,RB,15,767,51.1,67.3,34.6,12.6,44.1,47.2,243.4,31.7
16,Lance Dunbar,DAL,RB,4,92,23,33.9,5.4,25,28.3,30.4,28.2,30.7
17,Jamaal Charles,KC,RB,5,264,52.8,78.1,26.9,11.4,34.8,38.3,80.1,30.3
18,Lamar Miller,MIA,RB,16,632,39.5,61.1,30.7,9,38.1,39.7,184.9,29.3
19,DeMarco Murray,PHI,RB,15,481,32.1,41.5,40.1,11.4,49.3,51.6,140.4,29.2
20,Le'Veon Bell,PIT,RB,6,301,50.2,80.9,37.5,8.6,45.5,46.2,87.2,29
21,Arian Foster,HOU,RB,4,190,47.5,33.7,33.2,14.7,44.7,47.9,55,28.9
22,Mark Ingram,NO,RB,12,535,44.6,62.5,31,11.2,40.4,42.2,153.4,28.7
23,James White,NE,RB,14,290,20.7,25.9,7.6,18.6,21.4,26.2,82.6,28.5
24,Matt Forte,CHI,RB,13,603,46.4,55.5,36.2,9.6,43.4,45.8,170.7,28.3
24,Dion Lewis,NE,RB,7,298,42.6,51.8,16.4,16.8,28.5,33.2,84.2,28.3
26,Charles Sims,TB,RB,16,457,28.6,41.7,23.4,15.3,34.6,38.7,129,28.2
27,Matt Jones,WAS,RB,13,340,26.2,31.7,42.4,7.4,47.9,49.7,95.4,28.1
28,Andre Ellington,ARI,RB,10,213,21.3,19.3,21.1,11.3,28.2,32.4,59.7,28
29,Chris Johnson,ARI,RB,11,366,33.3,48.1,53.6,3.6,55.2,57.1,101.2,27.7
30,DeAngelo Williams,PIT,RB,16,701,43.8,65.2,28.5,6.7,34.2,35.2,191.4,27.3
30,Danny Woodhead,LAC,RB,16,598,37.4,51,16.4,17.7,29.8,34.1,163.1,27.3
