Name,SnapsPlayed
Sterling Shepard,2056
Steve Breaston,257
Steve Johnson,2527
Steve Smith,3895
T.Y. Hilton,5300
TJ Graham,1519
TJ Jones,400
Tajae Sharpe,995
Tandon Doss,302
Tanner Gentry,182
Tavarres King,448
Tavon Austin,2433
Taylor Gabriel,2173
Taywan Taylor,168
Ted Ginn,2647
Terrance Williams,3716
Terrelle Pryor,2197
Tiquan Underwood,1008
Titus Young,603
Toney Clemons,114
Torrey Smith,5200
Travis Benjamin,2703
Travis Rudolph,253
Tre McBride,234
Tre'Quan Smith,130
Trent Taylor,652
Tyler Boyd,1367
Tyler Lockett,2256
Tyreek Hill,1544
Tyrell Williams,2041
Victor Bolden Jr.,60
Victor Cruz,2827
Vincent Brown,951
Vincent Jackson,3697
Vyncint Smith,78
Walter Powell,296
Wes Welker,2589
Will Fuller,1639
Willie Snead,2080
Zach Pascal,203
Zay Jones,1107
