,Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
101,102,Zac Stacy,NYJ,RB,8,31,89,2.9,1,12,9,65,0,0,0,2.7,21.4
102,103,Terrance West,BAL,RB,8,62,231,3.7,0,5,4,21,0,2,2,2.6,21.2
103,104,Bruce Miller,SF,FB,16,6,14,2.3,1,14,10,135,0,0,0,1.3,20.9
104,105,John Kuhn,GB,FB,16,9,28,3.1,2,10,6,56,0,0,0,1.3,20.4
105,105,David Cobb,TEN,RB,7,52,146,2.8,1,2,1,-2,0,0,0,2.9,20.4
106,107,Kerwynn Williams,ARI,RB,6,27,142,5.3,1,2,2,16,0,2,1,3.3,19.8
107,108,Jalston Fowler,TEN,RB,16,7,13,1.9,1,6,5,44,1,0,0,1.1,17.7
108,109,Roy Helu,OAK,RB,9,17,39,2.3,0,16,9,75,1,0,0,1.9,17.4
109,110,Knile Davis,KC,RB,14,28,72,2.6,1,3,2,24,0,0,0,1.1,15.6
110,111,Anthony Dixon,BUF,RB,16,21,44,2.1,1,7,6,44,0,0,0,0.9,14.8
111,111,Pierre Thomas,WAS,RB,5,15,64,4.3,0,11,9,84,0,0,0,3.0,14.8
112,113,Rex Burkhead,CIN,RB,16,4,4,1.0,0,15,10,94,1,1,1,0.9,13.8
113,114,Lorenzo Taliaferro,BAL,RB,3,13,47,3.6,1,5,5,29,0,0,0,4.5,13.6
114,115,Akeem Hunt,HOU,RB,7,17,96,5.6,0,10,6,39,0,0,0,1.9,13.5
115,116,Bryce Brown,SEA,RB,4,26,72,2.8,1,2,0,0,0,0,0,3.3,13.2
116,117,Steven Jackson,NE,RB,2,21,50,2.4,1,1,1,20,0,0,0,6.5,13.0
117,118,Dan Herron,IND,RB,10,25,79,3.2,0,10,9,47,0,1,0,1.3,12.6
118,118,Kenjon Barner,PHI,RB,11,28,124,4.4,0,12,9,22,0,1,1,1.1,12.6
119,120,Will Tukuafu,SEA,FB,14,4,1,0.2,1,1,1,7,1,1,1,0.8,10.8
120,121,Kendall Gaskins,SF,FB,9,16,38,2.4,0,10,8,69,0,0,0,1.2,10.7
121,122,Will Johnson,PIT,FB,16,4,7,1.8,1,4,2,16,0,0,0,0.6,10.3
122,123,Michael Burton,DET,FB,16,4,2,0.5,0,6,6,39,1,0,0,0.6,10.1
123,124,Juwan Thompson,DEN,RB,15,18,48,2.7,0,9,6,51,0,0,0,0.7,9.9
124,124,Austin Johnson,NO,FB,10,4,9,2.2,1,8,5,30,0,0,0,1.0,9.9
125,126,Mike Davis,SF,RB,6,35,58,1.7,0,13,7,38,0,0,0,1.6,9.6
