,Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
70,71,James Starks,GB,RB,9,63,145,2.3,0,25,19,134,2,1,0,4.4,39.9
71,72,Eddie Lacy,GB,RB,5,71,360,5.1,0,7,4,28,0,0,0,7.8,38.8
72,73,Dwayne Washington,DET,RB,12,90,265,2.9,1,15,10,62,0,0,0,3.2,38.7
73,74,Dion Lewis,NE,RB,7,64,283,4.4,0,24,17,94,0,1,0,5.4,37.7
74,75,Aaron Ripkowski,GB,FB,16,34,150,4.4,2,10,9,46,1,0,0,2.4,37.6
75,76,Alfred Morris,DAL,RB,14,69,243,3.5,2,6,3,11,0,0,0,2.7,37.4
76,77,Kyle Juszczyk,BAL,FB,16,5,22,4.4,1,49,37,266,0,0,0,2.3,36.8
77,78,Kenyan Drake,MIA,RB,16,33,179,5.4,2,10,9,46,0,1,0,2.2,34.5
78,79,Corey Grant,JAX,RB,11,32,164,5.1,1,7,4,35,1,0,0,2.9,31.9
79,80,Peyton Barber,TB,RB,15,55,223,4.1,1,6,5,28,0,0,0,2.1,31.1
80,81,Kenjon Barner,PHI,RB,13,27,129,4.8,2,11,5,42,0,0,0,2.2,29.1
81,82,Kerwynn Williams,ARI,RB,10,18,157,8.7,2,2,1,6,0,0,0,2.8,28.3
82,83,Cameron Artis-Payne,CAR,RB,3,36,144,4.0,2,1,1,11,0,0,0,9.2,27.5
83,84,DuJuan Harris,SF,RB,9,38,138,3.6,0,9,8,115,1,2,2,3.0,27.3
84,85,Shane Vereen,NYG,RB,5,33,158,4.8,1,19,11,94,0,2,2,5.4,27.2
85,86,Alex Collins,SEA,RB,11,31,125,4.0,1,11,11,84,0,2,1,2.3,24.9
86,87,Mike Tolbert,CAR,FB,16,35,114,3.3,0,15,10,72,1,0,0,1.5,24.6
87,88,Orleans Darkwa,NYG,RB,10,30,111,3.7,2,4,2,12,0,0,0,2.4,24.3
88,89,Kapri Bibbs,DEN,RB,12,22,107,4.9,0,3,2,75,1,0,0,2.0,24.2
89,89,Kenneth Farrow,LAC,RB,13,60,192,3.2,0,16,13,70,0,2,1,1.9,24.2
90,91,Ronnie Hillman,LAC,RB,8,41,131,3.2,0,15,7,93,0,0,0,2.8,22.4
91,92,Ameer Abdullah,DET,RB,2,18,101,5.6,0,5,5,57,1,0,0,10.9,21.8
92,93,Lance Dunbar,DAL,RB,13,9,31,3.4,1,24,16,122,0,1,0,1.6,21.3
93,94,Danny Woodhead,LAC,RB,2,19,116,6.1,0,8,6,35,1,0,0,10.6,21.1
94,95,Jonathan Grimes,HOU,RB,10,23,105,4.6,0,18,13,94,0,0,0,2.0,19.9
95,96,Bobby Rainey,NYG,RB,15,17,63,3.7,0,25,20,153,0,1,1,1.3,19.6
96,97,Benjamin Cunningham,LAR,RB,11,21,101,4.8,0,21,16,91,0,1,0,1.7,19.2
97,98,Andre Ellington,ARI,RB,16,34,96,2.8,0,19,12,85,0,0,0,1.1,18.1
98,98,Ka'Deem Carey,CHI,RB,12,32,126,3.9,0,7,5,55,0,0,0,1.5,18.1
99,100,Reggie Bush,BUF,RB,13,12,-3,-0.2,1,10,7,90,0,1,0,1.3,16.7
100,101,Denard Robinson,JAX,RB,13,41,144,3.5,0,5,3,22,0,0,0,1.3,16.6
101,102,Terron Ward,ATL,RB,5,31,151,4.9,0,2,1,11,0,0,0,3.2,16.2
102,103,Josh Ferguson,IND,RB,16,15,20,1.3,0,26,20,136,0,1,0,1.0,15.6
103,104,Chris Johnson,ARI,RB,4,25,95,3.8,1,1,0,0,0,0,0,3.9,15.5
104,105,Mack Brown,WAS,RB,9,8,82,10.2,1,1,1,-2,0,0,0,1.6,14.0
105,106,Akeem Hunt,HOU,RB,8,20,109,5.4,0,4,3,29,0,2,0,1.7,13.8
106,107,Andy Janovich,DEN,FB,11,4,33,8.2,1,7,5,44,0,0,0,1.2,13.7
107,108,Arian Foster,MIA,RB,4,22,55,2.5,0,10,6,78,0,1,0,3.3,13.3
108,109,CJ Spiller,NYJ,RB,6,6,18,3.0,0,13,6,50,1,1,0,2.1,12.8
109,110,Mike Davis,SF,RB,8,19,50,2.6,1,5,3,25,0,1,1,1.4,11.5
110,111,Jamaal Charles,KC,RB,3,12,40,3.3,1,3,2,14,0,0,0,3.8,11.4
111,111,Jonathan Williams,BUF,RB,11,27,94,3.5,1,2,1,0,0,2,2,1.0,11.4
112,113,Patrick DiMarco,ATL,FB,16,0,0,0.0,0,10,7,52,1,0,0,0.7,11.2
113,114,Darren McFadden,DAL,RB,3,24,87,3.6,0,5,3,17,0,0,0,3.5,10.4
114,114,Antone Smith,TB,RB,3,10,47,4.7,0,9,6,77,0,2,1,3.5,10.4
115,116,Alan Cross,TB,FB,14,0,0,0.0,0,10,6,38,1,0,0,0.7,9.8
116,117,George Atkinson,CLE,RB,16,7,34,4.9,1,0,0,0,0,1,0,0.6,9.4
117,118,Terrell Watson,PHI,RB,1,9,28,3.1,1,1,1,5,0,0,0,9.3,9.3
118,119,Marcel Reece,SEA,FB,4,2,0,0.0,0,5,5,72,0,0,0,2.3,9.2
119,120,Fitzgerald Toussaint,PIT,RB,16,14,58,4.1,0,3,3,33,0,0,0,0.6,9.1
120,121,Andre Williams,LAC,RB,1,18,87,4.8,0,2,0,0,0,0,0,8.7,8.7
121,121,Derek Watt,LAC,FB,16,2,4,2.0,0,4,4,83,0,0,0,0.5,8.7
122,123,Juwan Thompson,DEN,RB,8,8,26,3.2,1,1,0,0,0,0,0,1.1,8.6
123,124,Byron Marshall,PHI,RB,3,19,64,3.4,0,5,3,10,0,0,0,2.5,7.4
124,125,Jerome Felton,BUF,FB,15,8,13,1.6,0,9,6,57,0,0,0,0.5,7.0
125,126,Malcolm Brown,LAR,RB,16,18,39,2.2,0,3,3,46,0,1,1,0.4,6.5
126,127,Adrian Peterson,MIN,RB,3,37,72,1.9,0,6,3,8,0,1,1,2.0,6.0
127,128,Jordan Todman,IND,RB,16,9,59,6.6,0,1,0,0,0,0,0,0.4,5.9
128,129,Knile Davis,KC,RB,11,18,28,1.6,0,7,5,25,0,0,0,0.5,5.3
129,130,Javorius Allen,BAL,RB,8,9,34,3.8,0,4,3,15,0,0,0,0.6,4.9
130,130,Troymaine Pope,SEA,RB,4,12,44,3.7,0,2,1,5,0,0,0,1.2,4.9
131,132,Brandon Wilds,NYJ,RB,4,10,27,2.7,0,2,2,20,0,0,0,1.2,4.7
132,133,Daniel Lasco,NO,RB,7,11,32,2.9,0,4,2,11,0,0,0,0.6,4.3
133,134,Mike James,TB,RB,4,4,19,4.8,0,4,4,22,0,0,0,1.0,4.1
134,135,Dexter McCluster,LAC,RB,6,3,2,0.7,0,11,7,36,0,0,0,0.6,3.8
135,136,Taiwan Jones,OAK,RB,13,1,-8,-8.0,0,4,4,43,0,1,0,0.3,3.5
136,137,Don Jackson,GB,RB,3,10,32,3.2,0,1,0,0,0,0,0,1.1,3.2
137,138,Isaiah Pead,MIA,RB,3,8,22,2.8,0,1,1,6,0,0,0,0.9,2.8
138,139,Dan Vitale,CLE,FB,9,0,0,0.0,0,5,4,27,0,0,0,0.3,2.7
139,140,Malcolm Johnson,CLE,FB,7,1,2,2.0,0,7,5,44,0,1,1,0.4,2.6
140,140,DJ Foster,NE,RB,3,7,24,3.4,0,2,1,2,0,0,0,0.9,2.6
141,142,Keith Smith,DAL,FB,16,2,5,2.5,0,3,3,20,0,0,0,0.2,2.5
142,142,Lawrence Thomas,NYJ,RB,3,0,0,0.0,0,0,0,0,0,0,0,0.8,2.5
143,144,Brandon Bolden,NE,RB,14,1,4,4.0,0,4,2,15,0,0,0,0.1,1.9
144,145,James Develin,NE,RB,16,0,0,0.0,0,6,3,18,0,0,0,0.1,1.8
145,145,JD McKissic,SEA,RB,1,1,2,2.0,0,2,2,16,0,0,0,1.8,1.8
146,147,Jalston Fowler,TEN,RB,16,1,3,3.0,0,2,1,14,0,0,0,0.1,1.7
147,148,Cedric Peerman,CIN,RB,6,6,15,2.5,0,1,0,0,0,0,0,0.2,1.5
148,148,Zach Line,MIN,FB,15,7,15,2.1,0,3,0,0,0,0,0,0.1,1.5
149,148,Antonio Andrews,TEN,RB,16,2,15,7.5,0,0,0,0,0,0,0,0.1,1.5
150,148,Jay Prosch,HOU,FB,15,4,9,2.2,0,1,1,6,0,0,0,0.1,1.5
151,152,Stepfan Taylor,ARI,RB,15,4,12,3.0,0,0,0,0,0,0,0,0.1,1.2
152,152,Terrence Magee,SEA,RB,2,3,12,4.0,0,0,0,0,0,0,0,0.6,1.2
153,154,Anthony Sherman,KC,FB,16,0,0,0.0,0,6,4,11,0,0,0,0.1,1.1
154,154,Bronson Hill,JAX,RB,3,2,11,5.5,0,1,0,0,0,0,0,0.4,1.1
155,154,Paul Lasike,CHI,RB,10,3,8,2.7,0,1,1,3,0,0,0,0.1,1.1
156,157,Lorenzo Taliaferro,BAL,RB,3,1,0,0.0,0,3,3,10,0,0,0,0.3,1.0
157,158,Stevan Ridley,ATL,RB,1,3,7,2.3,0,0,0,0,0,0,0,0.7,0.7
158,158,Joe Banyard,JAX,RB,1,2,7,3.5,0,0,0,0,0,0,0,0.7,0.7
159,158,Daryl Richardson,JAX,RB,3,2,7,3.5,0,0,0,0,0,0,0,0.2,0.7
160,161,Raheem Mostert,SF,RB,3,1,6,6.0,0,0,0,0,0,0,0,0.2,0.6
161,162,Roosevelt Nix,PIT,RB,10,0,0,0.0,0,2,2,5,0,0,0,0.0,0.5
162,163,Joique Bell,DET,RB,7,3,6,2.0,0,1,1,-2,0,0,0,0.1,0.4
163,163,Chase Reynolds,LAR,RB,16,0,0,0.0,0,1,1,4,0,0,0,0.0,0.4
164,163,Rod Smith,DAL,RB,7,0,0,0.0,0,1,1,4,0,0,0,0.1,0.4
165,166,Marcus Murphy,NO,RB,3,0,0,0.0,0,1,1,3,0,0,0,0.1,0.3
166,167,Will Tukuafu,SEA,FB,7,2,2,1.0,0,1,0,0,0,0,0,0.0,0.2
167,167,Khiry Robinson,NYJ,RB,1,8,22,2.8,0,0,0,0,0,1,1,0.2,0.2
168,169,Austin Johnson,TB,FB,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
169,169,Michael Burton,DET,FB,15,0,0,0.0,0,1,0,0,0,0,0,0.0,0.0
170,169,Julian Howsare,NYJ,RB,2,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
171,169,Russell Hansbrough,TB,RB,2,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
172,169,Aaron Green,LAR,RB,2,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
173,169,Glenn Gronkowski,BUF,FB,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
174,169,Joe Kerridge,GB,FB,8,1,0,0.0,0,0,0,0,0,0,0,0.0,0.0
175,169,Taniela Tupou,SEA,FB,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
176,177,Brandon Burks,NYJ,RB,1,2,-4,-2.0,0,0,0,0,0,0,0,-0.4,-0.4
177,178,Tyler Ervin,HOU,RB,12,1,3,3.0,0,5,3,18,0,3,2,-0.2,-1.9
0,1,Todd Gurley,LAR,RB,15,279,1305,4.7,13,87,64,788,6,5,2,21.3,319.3
1,2,Le'Veon Bell,PIT,RB,15,321,1291,4.0,9,106,85,655,2,3,2,17.1,256.6
2,3,Kareem Hunt,KC,RB,16,272,1327,4.9,8,63,53,455,3,1,1,15.1,242.2
3,4,Alvin Kamara,NO,RB,16,120,728,6.1,8,100,81,826,5,1,1,14.6,233.4
4,5,Melvin Gordon,LAC,RB,16,284,1105,3.9,8,83,58,476,4,1,0,14.4,230.1
5,6,Mark Ingram,NO,RB,16,230,1124,4.9,12,71,58,416,0,3,3,13.8,220.0
6,7,LeSean McCoy,BUF,RB,16,287,1138,4.0,6,77,59,448,2,3,1,12.8,204.6
7,8,Leonard Fournette,JAX,RB,13,268,1040,3.9,9,48,36,302,1,2,0,14.9,194.2
8,9,Ezekiel Elliott,DAL,RB,10,242,983,4.1,7,38,26,269,2,1,1,17.7,177.2
9,10,Jordan Howard,CHI,RB,16,276,1122,4.1,9,32,23,125,0,1,1,11.0,176.7
10,11,Carlos Hyde,SF,RB,16,240,940,3.9,8,88,59,350,0,2,1,10.9,175.0
11,12,Dion Lewis,NE,RB,16,180,896,5.0,6,36,32,214,3,0,0,10.3,165.0
12,13,Devonta Freeman,ATL,RB,14,196,865,4.4,7,47,36,317,1,4,1,11.7,164.2
13,14,Lamar Miller,HOU,RB,16,238,888,3.7,3,45,36,327,3,1,0,9.8,157.5
14,15,Christian McCaffrey,CAR,RB,16,117,435,3.7,2,113,80,651,5,2,1,9.3,148.6
15,16,Alex Collins,BAL,RB,15,212,973,4.6,6,36,23,187,0,4,2,9.9,148.0
16,17,CJ Anderson,DEN,RB,16,245,1007,4.1,3,40,28,224,1,1,1,9.2,147.1
17,18,Frank Gore,IND,RB,16,261,961,3.7,3,38,29,245,1,3,0,9.0,144.6
18,19,Marshawn Lynch,OAK,RB,15,207,891,4.3,7,31,20,151,0,1,1,9.6,144.2
19,20,Latavius Murray,MIN,RB,16,216,842,3.9,8,17,15,103,0,1,0,8.9,142.5
20,21,Duke Johnson,CLE,RB,16,82,348,4.2,4,93,74,693,3,4,2,8.9,142.1
21,22,Tevin Coleman,ATL,RB,15,156,628,4.0,5,39,27,299,3,1,0,9.4,140.7
22,23,DeMarco Murray,TEN,RB,15,184,659,3.6,6,47,39,266,1,1,1,8.8,132.5
23,24,Jerick McKinnon,MIN,RB,16,150,570,3.8,3,68,51,421,2,3,2,7.9,127.1
24,25,Derrick Henry,TEN,RB,16,176,744,4.2,5,17,11,136,1,1,0,7.8,124.0
25,26,Bilal Powell,NYJ,RB,15,178,772,4.3,5,33,23,170,0,1,1,8.1,122.2
26,27,Javorius Allen,BAL,RB,16,153,591,3.9,4,60,46,250,2,0,0,7.5,120.1
27,28,Orleans Darkwa,NYG,RB,15,171,751,4.4,5,28,19,116,0,1,0,7.9,118.7
28,29,Jamaal Williams,GB,RB,16,153,556,3.6,4,34,25,262,2,0,0,7.4,117.8
29,30,Isaiah Crowell,CLE,RB,16,206,853,4.1,2,42,28,182,0,1,1,7.2,115.5
30,31,Chris Thompson,WAS,RB,10,64,294,4.6,2,54,39,510,4,3,2,11.2,112.4
31,32,Joe Mixon,CIN,RB,14,178,626,3.5,4,34,30,287,0,3,2,8.0,111.3
32,33,Jay Ajayi,PHI,RB,14,208,873,4.2,1,34,24,158,1,3,2,7.9,111.1
33,34,Kenyan Drake,MIA,RB,16,133,644,4.8,3,48,32,239,1,2,2,6.9,110.3
34,35,Jonathan Stewart,CAR,RB,15,198,680,3.4,6,15,8,52,1,3,3,7.3,109.2
35,36,Giovani Bernard,CIN,RB,16,105,458,4.4,2,60,43,389,2,0,0,6.8,108.7
36,37,Theo Riddick,DET,RB,16,84,286,3.4,3,71,53,444,2,1,1,6.3,101.0
37,38,Rex Burkhead,NE,RB,10,64,264,4.1,5,36,30,254,3,1,0,10.0,99.8
38,39,LeGarrette Blount,PHI,RB,16,173,766,4.4,2,8,8,50,1,1,1,6.2,99.6
39,40,Ameer Abdullah,DET,RB,14,165,552,3.3,4,35,25,162,1,2,1,7.1,99.4
40,41,Tarik Cohen,CHI,RB,16,87,370,4.3,2,71,53,353,1,3,2,5.7,91.14
41,42,Samaje Perine,WAS,RB,16,175,603,3.4,1,24,22,182,1,2,2,5.4,86.5
42,43,Matt Forte,NYJ,RB,12,103,381,3.7,2,45,37,293,1,1,1,7.0,83.4
43,44,Matt Breida,SF,RB,16,105,465,4.4,2,36,21,180,1,1,0,5.2,82.5
44,45,Corey Clement,PHI,RB,16,74,321,4.3,4,15,10,123,2,0,0,5.2,82.4
45,46,Marlon Mack,IND,RB,14,93,358,3.8,3,33,21,225,1,1,0,5.9,82.3
46,47,Austin Ekeler,LAC,RB,16,47,260,5.5,2,35,27,279,3,2,2,5.0,79.9
47,48,James White,NE,RB,14,43,171,4.0,0,72,56,429,3,0,0,5.6,78.0
48,49,Rod Smith,DAL,RB,15,55,232,4.2,4,23,19,202,1,0,0,4.9,73.4
49,50,Aaron Jones,GB,RB,12,81,448,5.5,4,18,9,22,0,0,0,5.9,71.0
50,51,Wayne Gallman,NYG,RB,13,111,476,4.3,0,48,34,193,1,3,1,5.5,70.9
51,52,Peyton Barber,TB,RB,16,108,423,3.9,3,19,16,114,0,2,1,4.4,69.7
52,53,Ty Montgomery,GB,RB,8,71,273,3.8,3,31,23,173,1,0,0,8.6,68.6
53,54,Adrian Peterson,ARI,RB,10,156,529,3.4,2,19,11,70,0,3,2,6.8,67.9
54,55,Mike Gillislee,NE,RB,9,104,383,3.7,5,1,1,15,0,1,1,7.5,67.8
55,56,Doug Martin,TB,RB,11,138,406,2.9,3,18,9,84,0,1,1,6.1,67.0
56,57,Alfred Morris,DAL,RB,14,115,547,4.8,1,9,7,45,0,0,0,4.7,65.2
57,58,Chris Ivory,JAX,RB,14,112,382,3.4,1,28,21,175,1,2,2,4.6,63.7
58,59,JD McKissic,SEA,RB,13,46,187,4.1,1,46,34,266,2,0,0,4.9,63.3
59,60,Devontae Booker,DEN,RB,13,79,299,3.8,1,38,30,275,0,1,1,4.7,61.4
60,61,Elijah McGuire,NYJ,RB,16,88,315,3.6,1,26,17,177,1,2,2,3.7,59.2
61,62,Jalen Richard,OAK,RB,16,56,275,4.9,1,36,27,256,1,8,3,3.7,59.1
62,63,Kerwynn Williams,ARI,RB,16,120,426,3.6,1,15,10,93,0,0,0,3.6,57.9
63,64,TJ Yeldon,JAX,RB,10,49,253,5.2,2,41,30,224,0,2,1,5.8,57.7
64,65,Dalvin Cook,MIN,RB,4,74,354,4.8,2,16,11,90,0,1,1,13.6,54.4
65,66,Deandre Washington,OAK,RB,15,57,153,2.7,2,45,34,197,1,2,1,3.4,51.0
66,66,D'Onta Foreman,HOU,RB,10,78,327,4.2,2,8,6,83,0,2,1,5.1,51.0
67,68,Andre Ellington,HOU,RB,12,20,55,2.8,1,59,39,369,0,0,0,4.0,48.4
68,69,Charcandrick West,KC,RB,13,18,72,4.0,2,34,27,150,2,1,0,3.6,46.2
69,70,Jamaal Charles,DEN,RB,14,69,296,4.3,1,28,23,129,0,2,2,3.2,44.5
70,71,Shane Vereen,NYG,RB,16,45,164,3.6,0,53,44,253,0,0,0,2.5,39.7
71,72,Damien Williams,MIA,RB,11,46,181,3.9,0,28,20,155,1,0,0,3.6,39.6
72,73,Rob Kelley,WAS,RB,7,62,194,3.1,3,7,4,18,0,0,0,5.6,39.2
73,74,Corey Grant,JAX,RB,16,30,248,8.3,2,4,3,41,0,1,1,2.4,38.9
74,75,Charles Sims,TB,RB,16,21,95,4.5,0,47,35,249,1,1,1,2.4,38.4
75,76,Jacquizz Rodgers,TB,RB,16,64,244,3.8,1,11,9,74,0,0,0,2.4,37.8
76,77,Alfred Blue,HOU,RB,11,71,262,3.7,1,9,7,54,0,0,0,3.4,37.6
77,78,Mike Davis,SEA,RB,6,68,240,3.5,0,18,15,131,0,0,0,6.2,37.1
78,79,Benjamin Cunningham,CHI,RB,14,9,29,3.2,0,26,20,240,2,1,1,2.6,36.9
79,80,Kyle Juszczyk,SF,FB,14,7,31,4.4,0,42,33,315,1,2,2,2.6,36.6
80,81,Mike Tolbert,BUF,FB,12,66,247,3.7,1,17,14,78,0,2,1,3.0,36.5
81,82,Malcolm Brown,LAR,RB,11,63,246,3.9,1,11,9,53,0,1,0,3.3,35.9
82,83,Wendell Smallwood,PHI,RB,8,47,174,3.7,1,18,13,103,0,0,0,4.2,33.7
83,84,Chris Carson,SEA,RB,4,49,208,4.2,0,8,7,59,1,0,0,8.2,32.7
84,85,Tion Green,DET,RB,5,42,165,3.9,2,2,2,14,0,0,0,6.0,29.9
85,86,Elijhaa Penny,ARI,RB,16,31,124,4.0,2,6,4,38,0,0,0,1.8,28.2
86,87,Kapri Bibbs,WAS,RB,3,21,79,3.8,0,17,14,128,1,0,0,8.9,26.7
87,88,Terrance West,BAL,RB,5,39,138,3.5,2,4,2,23,0,1,1,5.2,26.1
88,89,Danny Woodhead,BAL,RB,8,14,56,4.0,0,39,33,200,0,0,0,3.2,25.6
89,90,Thomas Rawls,SEA,RB,12,58,157,2.7,0,13,9,94,0,1,1,1.9,23.1
90,91,Tommy Bohanon,JAX,FB,16,5,5,1.0,2,11,6,43,1,0,0,1.4,22.8
91,92,Eddie Lacy,SEA,RB,9,69,179,2.6,0,6,6,47,0,0,0,2.5,22.6
92,93,Travaris Cadet,BUF,RB,9,23,96,4.2,0,19,16,119,0,0,0,2.4,21.5
93,94,Patrick Ricard,BAL,FB,16,0,0,0.0,0,4,4,12,2,0,0,1.2,19.2
94,95,Kenjon Barner,PHI,RB,13,16,57,3.6,1,8,5,56,0,3,0,1.3,17.3
95,96,Robert Turbin,IND,RB,6,23,53,2.3,1,11,9,56,0,0,0,2.8,16.9
96,97,Stevan Ridley,PIT,RB,2,26,108,4.2,1,0,0,0,0,0,0,8.4,16.8
97,98,Nick Bellore,DET,RB,13,0,0,0.0,0,1,1,1,1,0,0,1.3,16.6
98,99,Chris Johnson,ARI,RB,4,45,114,2.5,0,6,5,43,0,0,0,3.9,15.7
99,99,Cameron Artis-Payne,CAR,RB,13,18,95,5.3,1,1,1,2,0,0,0,1.2,15.7
100,101,DJ Foster,ARI,RB,7,6,19,3.2,0,28,17,133,0,0,0,2.2,15.2
101,102,Anthony Sherman,KC,FB,16,14,40,2.9,1,8,6,47,0,0,0,0.9,14.7
102,103,James Conner,PIT,RB,14,32,144,4.5,0,1,0,0,0,0,0,1.0,14.4
103,104,CJ Ham,MIN,RB,16,7,13,1.9,1,8,7,68,0,0,0,0.9,14.1
104,105,Jamize Olawale,OAK,FB,12,9,43,4.8,1,7,6,33,0,1,0,1.1,13.6
105,105,Paul Perkins,NYG,RB,11,41,90,2.2,0,10,8,46,0,0,0,1.2,13.6
106,107,Jeremy Hill,CIN,RB,7,37,116,3.1,0,5,4,16,0,1,0,1.9,13.2
107,108,Roosevelt Nix,PIT,RB,16,3,0,0.0,1,3,2,6,1,0,0,0.8,12.6
108,109,Fozzy Whittaker,CAR,RB,12,7,18,2.6,0,6,5,47,1,0,0,1.0,12.5
109,110,Terron Ward,ATL,RB,14,30,129,4.3,0,3,3,14,0,1,1,0.9,12.3
110,111,Darren Sproles,PHI,RB,3,15,61,4.1,0,12,7,73,0,1,1,3.8,11.4
111,112,Lance Dunbar,LAR,RB,4,11,51,4.6,1,3,1,1,0,0,0,2.8,11.2
112,113,CJ Prosise,SEA,RB,5,11,23,2.1,0,11,6,87,0,0,0,2.2,11.0
113,114,Branden Oliver,LAC,RB,8,35,83,2.4,0,11,6,26,0,0,0,1.4,10.9
114,114,De'Angelo Henderson,DEN,RB,5,7,13,1.9,0,2,2,36,1,0,0,2.2,10.9
115,116,Trey Edmunds,NO,RB,16,9,48,5.3,1,0,0,0,0,0,0,0.7,10.8
116,117,Andy Janovich,DEN,FB,16,6,12,2.0,1,6,4,35,0,0,0,0.7,10.7
117,118,Zach Line,NO,FB,12,7,28,4.0,0,5,2,8,1,0,0,0.8,9.6
118,119,Zach Zenner,DET,RB,8,14,26,1.9,1,1,0,0,0,0,0,1.1,8.6
119,120,Brandon Bolden,NE,RB,16,13,67,5.2,0,4,1,7,0,0,0,0.5,7.4
120,121,Brian Hill,CIN,RB,7,11,37,3.4,0,2,2,36,0,0,0,1.0,7.3
121,122,David Johnson,ARI,RB,1,11,23,2.1,0,9,6,67,0,2,1,7.0,7.0
122,123,Byron Marshall,WAS,RB,4,9,32,3.6,0,8,6,36,0,0,0,1.7,6.8
123,124,Tre Madden,SEA,RB,8,0,0,0.0,0,2,2,65,0,0,0,0.8,6.5
124,125,Jalston Fowler,TEN,RB,10,2,4,2.0,1,1,0,0,0,0,0,0.6,6.4
125,126,Derek Watt,LAC,FB,16,6,24,4.0,0,3,2,35,0,0,0,0.4,5.9
126,127,Dwayne Washington,DET,RB,5,20,44,2.2,0,2,2,14,0,0,0,1.2,5.8
127,127,Alan Cross,TB,FB,8,0,0,0.0,0,6,5,58,0,0,0,0.7,5.8
128,129,Akeem Hunt,KC,RB,15,8,23,2.9,0,7,4,31,0,0,0,0.4,5.4
129,130,Aaron Ripkowski,GB,FB,16,5,13,2.6,0,10,7,39,0,0,0,0.3,5.2
130,131,Tyler Ervin,HOU,RB,4,4,12,3.0,0,11,8,38,0,0,0,1.2,5.0
131,132,Marcus Murphy,BUF,RB,1,7,41,5.9,0,2,2,7,0,0,0,4.8,4.8
132,133,Lawrence Thomas,NYJ,RB,14,2,1,0.5,0,7,6,43,0,0,0,0.3,4.4
133,134,Matt Dayes,CLE,RB,16,5,13,2.6,0,5,4,29,0,0,0,0.3,4.2
134,135,Mack Brown,MIN,RB,4,8,29,3.6,0,1,1,11,0,0,0,1.0,4.0
135,136,James Develin,NE,RB,16,0,0,0.0,0,10,6,38,0,0,0,0.2,3.8
136,137,Fitzgerald Toussaint,PIT,RB,6,6,25,4.2,0,3,2,9,0,0,0,0.6,3.4
137,138,Senorise Perry,MIA,RB,16,8,30,3.8,0,1,1,3,0,0,0,0.2,3.3
138,139,Jay Prosch,HOU,FB,16,0,0,0.0,0,4,4,31,0,0,0,0.2,3.1
139,140,Derrick Coleman,ATL,FB,16,2,8,4.0,0,7,2,20,0,0,0,0.2,2.8
140,141,De'Veon Smith,MIA,RB,5,0,0,0.0,0,3,3,27,0,0,0,0.5,2.7
141,142,Patrick DiMarco,BUF,FB,16,2,-2,-1.0,0,10,7,28,0,0,0,0.2,2.6
142,142,Keith Smith,DAL,FB,16,0,0,0.0,0,5,5,26,0,0,0,0.2,2.6
143,144,Andre Williams,LAC,RB,8,9,25,2.8,0,0,0,0,0,0,0,0.3,2.5
144,145,David Fluellen,TEN,RB,16,4,21,5.2,0,1,0,0,0,0,0,0.1,2.1
145,145,Josh Ferguson,IND,RB,10,1,5,5.0,0,4,3,16,0,0,0,0.2,2.1
146,147,Bobby Rainey,BAL,RB,4,1,2,2.0,0,7,5,18,0,0,0,0.5,2.0
147,148,Dan Vitale,CLE,FB,15,0,0,0.0,0,5,3,19,0,0,0,0.1,1.9
148,149,Michael Burton,CHI,FB,16,4,9,2.2,0,4,2,8,0,0,0,0.1,1.7
149,150,Matt Jones,IND,RB,5,5,14,2.8,0,0,0,0,0,0,0,0.3,1.4
150,150,Leshun Daniels Jr.,WAS,RB,4,3,14,4.7,0,0,0,0,0,0,0,0.4,1.4
151,152,Taiwan Jones,BUF,RB,8,0,0,0.0,0,2,1,11,0,0,0,0.1,1.1
152,153,Raheem Mostert,SF,RB,11,6,30,5.0,0,0,0,0,0,1,1,0.1,1.0
153,154,Terrell Watson,PIT,RB,10,5,8,1.6,0,0,0,0,0,0,0,0.1,0.8
154,155,Joe Kerridge,GB,FB,4,0,0,0.0,0,1,1,3,0,0,0,0.1,0.3
155,156,John Kuhn,NO,FB,2,1,2,2.0,0,0,0,0,0,0,0,0.1,0.2
156,157,Justin Davis,LAR,RB,4,1,1,1.0,0,0,0,0,0,0,0,0.0,0.1
157,158,CJ Spiller,KC,RB,1,2,0,0.0,0,2,0,0,0,0,0,0.0,0.0
158,158,Jordan Todman,HOU,RB,14,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
159,158,Joe Banyard,BUF,RB,3,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
160,158,Daniel Lasco,NO,RB,3,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
161,158,Taniela Tupou,ATL,FB,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
