Name,Played,RushingAttempts,RushingYards,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost, RushingYardsPerAttempt 
Evan Royster,26,25,88,2,24,16,112,0,0,0, 1.90 
Ezekiel Elliott,25,564,2614,22,78,58,632,3,6,2, 4.60 
Felix Jones,32,159,586,3,49,34,325,2,3,3, 3.70 
Fitzgerald Toussaint,31,44,137,0,12,8,69,0,0,0, 3.15 
Fozzy Whittaker,67,150,616,2,96,68,552,4,4,1, 3.76 
Frank Gore,96,1573,6399,35,224,156,1275,8,16,10, 4.07 
Frank Summers,25,18,63,2,16,12,88,1,0,0, 3.30 
Fred Jackson,56,490,1959,14,238,178,1350,5,14,5, 3.90 
George Atkinson,21,7,34,1,0,0,0,0,1,0, 2.45 
George Winn,19,23,74,0,3,0,0,0,0,0, 2.00 
Giovani Bernard,71,688,2900,16,307,230,2060,8,4,2, 4.18 
Glenn Gronkowski,1,0,0,0,0,0,0,0,0,0, -   
Glenn Winston,8,1,-8,0,0,0,0,0,1,1, (4.00)
Greg Jones,30,7,10,0,25,16,98,0,0,0, 1.30 
Henry Hynoski,35,12,33,0,17,12,55,1,0,0, 1.97 
Isaac Redman,17,121,423,2,28,23,258,0,5,4, 2.45 
Isaiah Crowell,64,737,3118,21,131,96,770,1,6,5, 4.20 
Isaiah Pead,30,27,100,0,20,15,100,0,3,2, 3.18 
JD McKissic,14,47,189,1,48,36,282,2,0,0, 3.05 
Jackie Battle,48,136,462,5,25,24,172,1,0,0, 3.00 
Jacob Hester,3,17,81,2,1,1,7,0,0,0, 4.80 
Jacquizz Rodgers,78,456,1757,7,191,157,1098,4,2,1, 3.67 
Jalen Parmele,12,41,143,0,9,7,60,0,0,0, 1.80 
Jalen Richard,32,139,767,2,75,56,450,3,8,3, 5.40 
Jalston Fowler,42,10,20,2,9,6,58,1,0,0, 2.30 
Jamaal Charles,68,902,4529,32,272,191,1540,14,19,12, 4.67 
Jamaal Williams,16,153,556,4,34,25,262,2,0,0, 3.60 
James Conner,14,32,144,0,1,0,0,0,0,0, 4.50 
James Develin,65,7,15,1,28,19,161,0,1,0, 0.84 
James Starks,60,456,1827,8,126,94,786,6,10,3, 3.88 
James White,47,113,431,2,217,161,1413,12,0,0, 3.75 
Jamie Harper,10,19,30,3,1,1,8,0,0,0, 1.60 
Jamize Olawale,77,55,206,4,49,39,425,3,1,0, 2.37 
Jarryd Hayne,8,17,52,0,7,6,27,0,3,1, 3.10 
Jarveon Williams,1,0,0,0,0,0,0,0,0,0, -   
Jason Snelling,30,62,227,1,69,60,419,4,1,1, 3.60 
Javon Ringer,2,2,14,0,5,3,12,0,0,0, 7.00 
Javorius Allen,40,299,1139,5,126,94,618,4,2,2, 3.83 
Jay Ajayi,38,517,2332,10,80,58,399,1,7,3, 4.30 
Jay Prosch,63,10,42,0,10,6,61,0,0,0, 1.93 
Jed Collins,47,23,64,1,40,33,163,3,1,1, 1.80 
Jeff Demps,2,1,14,0,3,3,21,0,0,0, 14.00 
Jeremy Hill,54,704,2873,29,83,67,484,1,9,5, 3.90 
Jeremy Langford,28,210,737,10,69,41,421,1,2,2, 3.40 
Jeremy McNichols,2,0,0,0,0,0,0,0,0,0, -   
Jeremy Stewart,23,33,125,1,10,10,68,0,0,0, 2.90 
Jerick McKinnon,58,474,1918,7,191,142,984,5,3,2, 4.30 
Jerome Felton,76,13,42,1,25,16,141,0,0,0, 2.08 
Jerome Smith,1,0,0,0,0,0,0,0,0,0, -   
Joe Banyard,27,23,95,0,12,10,73,0,1,0, 1.54 
Joe Kerridge,12,1,0,0,1,1,3,0,0,0, -   
Joe McKnight,17,31,182,0,9,7,82,2,3,1, 4.50 
Joe Mixon,14,178,626,4,34,30,287,0,3,2, 3.50 
Joey Iosefa,2,15,51,0,0,0,0,0,0,0, 3.40 
John Conner,30,6,20,0,16,8,66,1,0,0, 1.10 
John Crockett,2,9,21,0,0,0,0,0,0,0, 2.30 
John Griffin,1,0,0,0,0,0,0,0,0,0, -   
John Kuhn,79,85,253,9,71,54,378,1,1,1, 2.87 
Johnathan Franklin,11,19,107,1,5,4,30,0,2,1, 5.60 
Johnny White,7,8,34,0,0,0,0,0,0,0, 4.20 
Joique Bell,67,564,2241,22,219,162,1638,1,12,6, 3.66 
Jonas Gray,16,134,588,5,11,8,83,0,0,0, 4.25 
Jonathan Dwyer,30,221,871,3,39,28,178,0,2,2, 3.73 
Jonathan Grimes,51,141,619,2,65,53,436,1,1,1, 4.00 
Jonathan Stewart,69,974,3818,25,118,81,593,4,14,8, 3.88 
Jonathan Williams,11,27,94,1,2,1,0,0,2,2, 3.50 
Jordan Howard,31,528,2435,15,82,52,423,1,3,2, 4.65 
Jordan Todman,74,124,531,3,67,40,314,2,0,0, 4.00 
Jorvorskie Lane,41,17,71,2,15,14,95,1,3,1, 6.77 
Joseph Randle,35,181,822,9,25,22,170,0,3,2, 4.60 
Josh Ferguson,26,16,25,0,30,23,152,0,1,0, 3.15 
Josh Harris,4,9,16,0,0,0,0,0,0,0, 1.80 
Josh Robinson,5,17,39,0,7,6,33,0,1,1, 2.30 
Josh Vaughan,6,1,1,0,1,1,-5,0,0,0, 1.00 
Julian Howsare,2,0,0,0,0,0,0,0,0,0, -   
Justin Davis,4,1,1,0,0,0,0,0,0,0, 1.00 
Justin Forsett,60,542,2603,12,148,113,621,0,4,1, 4.80 
Juwan Thompson,38,80,346,4,17,10,76,0,1,0, 3.63 
Ka'Deem Carey,37,111,443,2,16,13,131,1,1,1, 4.00 
Kahlil Bell,10,29,76,0,2,2,13,0,1,1, 1.30 
Kapri Bibbs,16,43,186,0,20,16,203,2,0,0, 2.90 
Kareem Hunt,16,272,1327,8,63,53,455,3,1,1, 4.90 
Karlos Williams,11,93,517,7,14,11,96,2,2,1, 5.60 
Keiland Williams,14,2,3,0,2,2,9,0,0,0, 1.50 
Keith Smith,47,2,5,0,8,8,46,0,0,0, 0.63 
Keith Toston,5,17,74,0,4,3,41,0,0,0, 4.40 
Kendall Gaskins,9,16,38,0,10,8,69,0,0,0, 2.40 
Kendall Hunter,29,151,731,5,16,11,73,0,2,2, 3.93 
Kenjon Barner,45,77,317,3,34,21,127,0,5,1, 3.50 
Kenneth Dixon,12,88,382,2,41,30,162,1,1,0, 4.30 
