,Name,SnapsPlayed
32,Keith Tandy,441
33,Cassius Vaughn,404
34,Earl Thomas,1008
35,Captain Munnerlyn,970
36,Duke Ihenacho,772
37,Antoine Bethea,1028
38,Kenny Vaccaro,792
39,Zack Bowman,593
40,William Moore,1041
41,Tramon Williams,1038
42,Brandon Meriweather,737
43,Byron Maxwell,482
44,Bacarri Rambo,334
45,Major Wright,935
46,Quintin Mikell,672
47,Morgan Burnett,856
48,Will Hill,764
49,Jeff Heath,595
50,Kayvon Webster,478
51,Bernard Pollard,1054
52,Ryan Mundy,653
53,Robert Lester,294
54,James Ihedigbo,1072
55,Jairus Byrd,635
56,Roman Harper,370
57,Aaron Williams,926
58,Leonard Johnson,691
59,Troy Polamalu,1070
60,Tramaine Brock,663
61,Leon Hall,274
62,Jonathan Cyprien,1045
63,Johnny Patrick,474
64,Malcolm Jenkins,819
65,Dee Milliner,723
66,Will Blackmon,671
67,Reshad Jones,1144
68,Tashaun Gipson,1102
69,Alterraun Verner,1000
70,Andrew Sendejo,726
71,Richard Marshall,626
72,Rashad Johnson,621
73,Marcus Sherels,527
74,Lardarius Webb,973
75,Trumaine Johnson,871
76,Kyle Arrington,828
77,Cortez Allen,701
78,David Amerson,684
79,Chris Conte,1029
80,Dashon Goldson,807
81,Robert Blanton,392
82,Darius Slay,338
83,Prince Amukamara,1078
84,Michael Griffin,898
85,LaRon Landry,786
86,Tracy Porter,985
87,William Gay,910
88,Taylor Mays,202
89,Kam Chancellor,1007
90,Sam Shields,878
91,Mike Adams,690
92,Will Allen,533
93,Leodis McKelvin,927
94,Jamarca Sanford,790
95,TJ McDonald,650
96,Davon House,464
97,Jahleel Addae,370
98,Eric Reid,982
99,Bradley Fletcher,921
100,Brandon Flowers,866
101,Terence Newman,819
102,MD Jennings,788
103,Tim Jennings,1032
104,Nolan Carroll,792
105,DJ Hayden,337
106,Donte Whitner,1012
107,Earl Wolff,524
108,Danieal Manning,321
109,Chris Greenwood,64
110,Mike Jenkins,903
111,Desmond Trufant,1000
112,Marcus Gilchrist,987
113,Richard Sherman,980
114,Melvin White,679
115,Trumaine McBride,606
116,Adam Jones,979
117,Justin Rogers,303
