Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Lavonte David,TB,OLB,16,105,39,20,6,46,12,9,5,2,1,0,13,208.1
2,Karlos Dansby,ARI,ILB,16,112,9,11,6,43,11,19,4,1,1,2,12.7,203.8
3,NaVorro Bowman,SF,ILB,16,118,25,9,5,45,5,9,2,4,2,1,12.4,198
4,Vontaze Burfict,CIN,OLB,16,113,57,9,3,20,5,8,1,1,2,1,11.8,189.5
5,Paul Posluszny,JAX,ILB,15,121,40,6,3,4,7,9,2,1,1,1,12.5,187.4
6,Jerrell Freeman,IND,ILB,16,83,43,6,5.5,23,7,6,2,6,2,0,10.4,166.8
7,Kiko Alonso,BUF,OLB,16,87,72,11,2,17,1,5,4,1,2,0,10.4,166.7
8,Robert Mathis,IND,OLB,16,43,16,14,19.5,120,21,1,0,8,0,0,10.1,162
9,Luke Kuechly,CAR,ILB,16,93,63,10,2,15,2,7,4,0,0,0,10.1,161
10,Daryl Smith,BAL,OLB,16,57,66,8,5,43,8,19,3,2,0,1,10,160.3
11,Derrick Johnson,KC,ILB,15,95,12,12,4.5,27,10,7,2,0,2,0,10.2,153.7
12,Alec Ogletree,LAR,ILB,16,94,23,9,1.5,9,1,9,1,5,0,1,9.5,152.4
13,DeMeco Ryans,PHI,ILB,16,102,25,9,4,36,4,7,2,0,0,0,9.5,152.1
14,DeAndre Levy,DET,OLB,16,85,32,8,0,0,3,15,6,0,0,1,9.4,151
15,Thomas Davis,CAR,OLB,16,85,38,13,4,36,5,8,2,1,0,0,9.4,150.6
16,Mychal Kendricks,PHI,OLB,15,81,25,8,4,24,6,5,3,2,4,0,10,149.9
17,Danny Trevathan,DEN,ILB,16,84,40,7,2,18,4,10,3,3,1,0,9.4,149.8
18,Lawrence Timmons,PIT,OLB,16,86,40,7,3,24,6,6,2,1,1,0,9.1,145.4
19,James Laurinaitis,LAR,ILB,16,85,31,8,3.5,26,5,8,2,0,2,0,8.9,143.1
20,Nick Roach,OAK,ILB,16,82,29,8,5.5,32,4,3,1,4,0,0,8.8,140.7
21,Stephen Tulloch,DET,ILB,16,93,43,7,3.5,19,5,2,1,0,0,0,8.8,140.4
22,AJ Hawk,GB,OLB,16,74,44,13,5,20,6,4,1,1,1,0,8.8,140
23,Chad Greenway,MIN,OLB,16,83,51,6,3,15,4,3,3,0,0,0,8.6,138
24,Kevin Burnett,OAK,OLB,16,81,22,12,2.5,21,4,4,1,3,1,0,8.4,134.1
25,Bobby Wagner,SEA,ILB,14,71,48,4,5,36,6,6,2,0,1,0,9.5,133.6
