Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Justin Houston,KC,OLB,16,59,9,23,22,99,25,5,0,4,0,0,11.4,182.4
2,DeAndre Levy,DET,OLB,16,118,33,16,2.5,18,4,5,1,0,0,0,10.7,171.3
3,Luke Kuechly,CAR,ILB,16,99,54,9,3,19,4,11,1,1,1,0,10.4,166.9
4,Lavonte David,TB,OLB,14,101,44,17,1,4,3,3,0,4,1,0,11.7,163.4
5,D'Qwell Jackson,IND,ILB,16,82,58,10,4,29,5,1,0,1,4,1,9.9,158.9
6,CJ Mosley,BAL,ILB,16,84,44,8,3,16,12,8,2,0,1,0,9.4,150.6
7,Jamie Collins,NE,OLB,15,74,41,8,4,30,7,3,2,4,2,0,9.8,147.5
7,Ryan Kerrigan,WAS,OLB,16,51,13,18,13.5,90,17,1,0,5,1,0,9.2,147.5
9,Paul Worrilow,ATL,ILB,16,84,59,4,2,11,9,3,0,2,0,0,8.8,140.6
10,Connor Barwin,PHI,OLB,16,47,17,15,14.5,104,19,5,0,2,0,0,8.7,139.9
11,Curtis Lofton,NO,ILB,16,100,45,6,0,0,4,1,0,1,1,0,8.7,139.5
12,Von Miller,DEN,OLB,16,43,16,16,13.5,79,27,2,0,1,1,0,8.6,136.9
13,Clay Matthews,GB,OLB,16,45,16,16,11,58,22,9,1,2,0,0,8.6,136.8
14,Brandon Marshall,DEN,ILB,14,89,22,11,2,17,2,9,1,2,0,0,9.8,136.7
15,Alec Ogletree,LAR,ILB,16,84,27,6,0.5,5,1,12,2,4,0,0,8.5,136
16,David Harris,NYJ,LB,16,72,52,6,5.5,45,6,1,0,2,0,0,8.3,132.5
17,Daryl Smith,BAL,OLB,16,68,60,3,1,7,3,9,1,3,1,0,8.2,130.7
18,Demario Davis,NYJ,OLB,16,77,38,5,4,37,6,5,0,0,2,0,8.1,129.7
19,Lawrence Timmons,PIT,OLB,16,88,45,7,2,11,5,1,0,0,0,0,8,128.6
20,Jelani Jenkins,MIA,ILB,15,81,27,9,3.5,26,6,1,0,2,0,0,8.4,126.1
21,Terrell Suggs,BAL,OLB,16,36,25,16,12,87,21,1,0,0,1,0,7.8,124.2
22,James Laurinaitis,LAR,ILB,16,81,28,4,3.5,26,6,3,0,0,2,0,7.7,123.6
23,Jameel McClain,NYG,ILB,16,75,41,8,2.5,16,7,3,0,1,0,0,7.7,123.1
24,Chris Borland,SF,ILB,14,78,21,12,1,7,1,5,2,0,1,0,8.4,118.2
25,KJ Wright,SEA,OLB,16,73,33,5,2,8,2,4,0,3,1,0,7.3,117.3
26,Keenan Robinson,WAS,OLB,13,70,33,6,1.5,16,9,3,1,0,1,0,8.9,115.1
27,Rob Ninkovich,NE,OLB,16,44,17,11,8,54,16,2,1,0,1,1,7.2,114.9
28,Nigel Bradham,BUF,OLB,14,64,36,6,2,8,6,7,1,2,0,0,8.2,114.8
28,Telvin Smith,JAX,OLB,16,68,31,9,2,13,1,4,1,1,2,0,7.2,114.8
30,Dont'a Hightower,NE,LB,12,51,38,9,6,50,12,2,0,1,0,0,9.4,113
31,Khalil Mack,OAK,OLB,16,59,16,16,4,29,12,3,0,1,0,0,7,111.9
32,Kemal Ishmael,ATL,OLB,16,66,27,2,0,0,0,6,4,1,1,1,7,111.5
33,Mychal Kendricks,PHI,OLB,12,62,21,10,4,27,6,3,0,3,0,0,9.3,111.2
34,Jason Worilds,PIT,OLB,16,39,20,10,7.5,44,18,2,1,1,2,0,6.9,110.4
35,Thomas Davis,CAR,OLB,15,66,34,8,2.5,12,4,3,0,1,1,0,7.3,110.2
35,Danny Lansanah,TB,OLB,16,58,20,8,1.5,2,2,8,3,0,0,2,6.9,110.2
37,Bobby Wagner,SEA,ILB,11,67,37,10,2,13,6,3,0,0,0,0,10,109.8
38,Anthony Barr,MIN,OLB,12,55,15,6,4,23,6,3,0,2,3,1,9.1,108.8
39,Sio Moore,OAK,ILB,11,68,22,9,3,21,4,1,0,2,0,0,9.7,107.1
40,Demarcus Ware,DEN,OLB,16,34,6,16,10.5,60,20,1,1,1,0,0,6.7,107
41,Josh Mauga,KC,ILB,16,82,21,4,0.5,4,6,3,0,0,0,0,6.7,106.9
42,Junior Galette,NO,OLB,16,33,12,9,10,55,18,2,0,3,0,0,6.5,104.5
43,Perry Riley,WAS,ILB,14,60,35,8,2.5,22,4,4,0,1,0,0,7.4,103.7
44,Jared Allen,CHI,OLB,15,37,19,7,6,29,18,4,0,2,2,0,6.8,102.4
45,Wesley Woodyard,TEN,ILB,16,53,41,6,2.5,12,6,3,2,0,0,0,6.3,100.7
46,Preston Brown,BUF,ILB,16,65,43,6,0,0,0,2,1,0,1,0,6.3,100.5
47,Craig Robertson,CLE,ILB,16,52,40,6,0,0,3,4,2,0,1,1,6.2,100
48,Larry Foote,ARI,ILB,15,61,23,6,2,14,6,4,1,0,1,0,6.7,99.9
49,Derrick Morgan,TEN,OLB,16,43,20,10,6.5,35,7,7,0,2,0,0,6.2,99.5
50,Rolando McClain,DAL,ILB,13,65,16,9,1,0,3,3,2,1,0,0,7.6,99
50,Tamba Hali,KC,OLB,16,47,12,7,6,40,11,0,0,3,1,0,6.2,99
50,Miles Burris,OAK,OLB,16,77,32,4,0,0,1,1,0,0,0,0,6.2,99
53,Vincent Rey,CIN,OLB,16,61,61,1,0,0,1,5,0,0,0,0,6.2,98.5
54,Bruce Carter,DAL,ILB,13,47,20,5,1,9,3,8,5,0,0,1,7.5,96.9
55,Michael Wilhoite,SF,OLB,16,65,20,4,0,0,2,6,2,1,0,0,6,96
56,Karlos Dansby,CLE,ILB,12,47,46,10,3,14,3,2,1,0,0,0,8,95.4
56,Jerrell Freeman,IND,ILB,12,57,37,4,1.5,9,3,6,0,1,0,0,8,95.4
58,Chad Greenway,MIN,OLB,12,56,37,4,1,10,5,3,0,1,0,0,7.7,92.5
59,David Hawthorne,NO,OLB,12,52,31,7,3,18,4,3,1,0,0,0,7.7,92.3
60,Trent Cole,PHI,OLB,15,40,12,8,6.5,71,9,0,0,3,0,0,6.1,92.1
61,JT Thomas,JAX,OLB,16,47,34,2,0,0,0,5,2,2,1,1,5.8,92
62,Emmanuel Lamur,CIN,OLB,14,52,39,4,0,0,2,7,2,0,0,0,6.5,90.5
63,Avery Williamson,TEN,ILB,16,45,28,7,3,19,6,4,0,0,2,0,5.6,89.9
64,Deone Bucannon,ARI,OLB,16,59,16,6,2,14,3,2,0,1,1,0,5.6,89.4
65,Willie Young,CHI,OLB,15,28,12,11,9.5,64,11,2,0,1,0,0,5.8,86.4
66,Tahir Whitehead,DET,OLB,16,56,20,4,0,0,1,5,2,0,0,0,5.1,82
67,Olivier Vernon,MIA,OLB,16,31,15,9,6.5,31,12,0,0,2,0,0,5.1,81.6
68,Pernell McPhee,BAL,OLB,16,17,10,11,7.5,50,21,4,0,1,0,0,5.1,81
69,Bjoern Werner,IND,OLB,15,37,13,11,4,20,8,2,0,1,1,0,5.4,80.5
70,Mark Barron,LAR,ILB,16,51,16,4,3,16,4,4,0,0,1,0,5,79.6
71,Whitney Mercilus,HOU,OLB,15,31,19,9,5,30,11,0,0,2,0,0,5.3,79.5
72,Donald Butler,LAC,OLB,14,45,28,5,1,6,1,2,0,0,3,0,5.6,78.6
73,Christian Kirksey,CLE,OLB,16,41,34,5,2,7,4,3,0,1,0,0,4.9,77.7
74,Jon Bostic,CHI,ILB,13,58,25,4,0,0,0,3,0,0,0,0,6,77.5
75,Anthony Hitchens,DAL,ILB,16,57,16,3,0,0,2,4,1,0,0,0,4.8,77
76,Gerald Hodges,MIN,OLB,14,48,15,2,0.5,2,2,7,1,0,0,1,5.5,76.7
77,AJ Hawk,GB,OLB,16,53,37,1,0.5,0,1,2,0,0,0,0,4.8,76.5
78,Joplo Bartu,ATL,ILB,16,47,36,2,1,2,1,0,0,0,2,0,4.8,76.2
79,Erik Walden,IND,OLB,15,25,12,9,6,30,18,0,0,1,0,0,5.1,76
80,Brian Cushing,HOU,ILB,14,41,31,1,1,8,9,2,0,1,0,0,5.3,74.3
81,Jasper Brinkley,MIN,ILB,16,52,21,4,1,10,1,0,0,1,0,0,4.6,73.5
81,James Harrison,PIT,LB,11,29,16,8,5.5,35,14,0,0,0,0,0,6.7,73.5
83,Devon Kennard,NYG,OLB,12,36,7,10,4.5,32,4,1,0,2,0,0,6.1,72.7
84,Paul Posluszny,JAX,ILB,7,47,22,2,2,10,3,1,0,0,1,0,10.3,72
85,Koa Misi,MIA,OLB,11,50,16,4,1,8,4,2,0,0,0,0,6.4,70.8
86,Jacquian Williams,NYG,OLB,9,52,23,1,0,0,1,3,0,0,0,0,7.6,68.5
87,Ryan Davis,JAX,OLB,16,12,3,7,7.5,57,12,2,0,2,2,0,4.2,67.2
88,Ahmad Brooks,SF,OLB,13,25,5,6,6,21,10,3,0,1,1,0,5.1,66.6
89,Christian Jones,CHI,OLB,16,39,25,3,2,4,3,1,0,0,1,0,4.1,65.9
90,Jonathan Newsome,IND,OLB,16,21,7,5,6.5,42,9,0,0,3,0,0,4,64.7
91,Aaron Lynch,SF,OLB,16,17,6,9,6,39,14,4,0,0,0,0,3.9,62.9
92,Calvin Pace,NYJ,OLB,16,27,11,8,4.5,32,7,3,0,0,0,0,3.9,62.7
93,Geno Hayes,JAX,OLB,16,34,17,9,2,20,1,0,0,1,0,0,3.8,61.5
94,Manti Te'o,LAC,ILB,10,38,22,3,1,2,1,3,1,0,0,0,6.1,61.2
95,Casey Matthews,PHI,ILB,16,31,22,4,1.5,7,3,0,0,1,1,0,3.7,58.7
96,Rey Maualuga,CIN,ILB,12,33,26,5,0,0,0,4,1,0,0,0,4.8,58
96,Justin Durant,DAL,ILB,6,31,18,2,0,0,0,4,1,2,1,0,9.7,58
96,Mason Foster,TB,ILB,10,40,22,2,0,0,2,3,0,0,0,0,5.8,58
99,Brandon Spikes,BUF,ILB,16,32,22,5,1,1,1,3,0,1,0,0,3.6,57.1
100,Mike Neal,GB,OLB,16,20,13,7,4.5,31,11,0,0,0,0,0,3.5,56.6
101,Mike Mohamed,HOU,ILB,14,31,27,2,0,0,1,6,1,0,0,0,4,56.5
102,Sam Barrington,GB,ILB,14,39,13,3,1,9,4,1,0,0,0,0,4,56.4
103,Dan Skuta,SF,OLB,14,21,6,5,5,21,5,1,0,3,0,0,4,56.1
104,Jerod Mayo,NE,ILB,6,37,16,3,1,9,2,0,0,0,1,0,9.3,55.9
105,Kavell Conner,LAC,ILB,16,38,18,2,1,1,0,1,0,1,0,0,3.4,55.1
106,Jarret Johnson,LAC,OLB,15,35,15,5,1,4,1,1,0,1,0,0,3.7,54.9
107,DeMeco Ryans,PHI,ILB,8,36,9,5,0,0,1,4,1,0,1,0,6.8,54.5
108,Barkevious Mingo,CLE,OLB,15,24,15,3,2,8,7,4,0,0,1,0,3.6,53.3
109,Parys Haralson,NO,OLB,16,23,13,6,3,7,8,0,0,0,1,0,3.3,53.2
110,Andrew Gachkar,LAC,OLB,15,26,9,8,1,0,1,1,0,0,1,1,3.4,51.5
111,Sean Spence,PIT,ILB,16,31,19,3,1,7,2,0,0,0,1,0,3.2,51.2
112,James-Michael Johnson,KC,ILB,16,38,9,4,0,0,0,1,0,1,0,0,3.2,50.5
113,Kevin Minter,ARI,ILB,16,38,5,5,1,1,2,0,0,0,0,0,3.1,49.6
114,Mark Herzlich,NYG,ILB,15,31,16,4,1,2,1,2,0,0,0,0,3.2,48.2
115,Jason Trusnik,MIA,OLB,16,26,13,4,0,0,0,2,1,0,2,0,3,47.5
116,Nate Irving,DEN,ILB,8,25,19,6,1,8,2,0,0,0,0,0,5.9,47.3
117,Will Compton,WAS,ILB,16,35,17,0,0,0,2,0,0,0,0,0,2.8,45.5
118,Prince Shembo,ATL,OLB,16,29,26,2,0,0,1,0,0,0,0,0,2.8,45
119,Ramon Humber,NO,OLB,15,31,12,2,1,7,2,1,0,0,0,0,3,44.7
120,Nick Perry,GB,OLB,15,18,6,4,3,22,3,1,0,1,1,0,2.9,43.2
121,Courtney Upshaw,BAL,OLB,16,25,17,4,1,6,2,1,0,0,0,0,2.7,43.1
122,Lance Briggs,CHI,OLB,8,24,11,2,0,0,1,3,1,1,0,0,5.2,41.5
122,Philip Wheeler,MIA,OLB,15,34,11,2,0,0,0,0,0,0,0,0,2.8,41.5
122,Akeem Ayers,NE,OLB,11,13,4,6,4,35,5,1,1,0,0,0,3.8,41.5
125,Jo-Lonn Dunbar,LAR,OLB,15,29,7,4,0.5,5,3,0,0,0,0,0,2.7,41
126,O'Brien Schofield,SEA,OLB,16,13,4,3,4,29,9,0,0,0,1,0,2.6,40.9
127,Anthony Spencer,DAL,OLB,13,12,11,2,0.5,2,7,1,0,1,1,1,3.1,40.7
128,Shea McClellin,CHI,LB,12,24,12,6,1,5,1,1,0,0,0,0,3.4,40.5
129,Patrick Willis,SF,ILB,6,29,5,0,0,0,2,3,1,0,0,0,6.6,39.5
130,Sam Acho,ARI,OLB,16,21,7,4,1,15,1,3,1,0,0,0,2.4,39
