Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,CJ Mosley,BAL,ILB,16,97,36,11.5,1,0,4,7,2,3,2,1,10.4,166.5
2,Bobby Wagner,SEA,ILB,16,96,36,14,1.5,0,12,6,2,0,1,1,10.4,166
3,Demario Davis,NYJ,OLB,16,97,36,14,5,0,15,3,0,0,1,0,10,160
4,Blake Martinez,GB,ILB,16,96,49,11.5,1,0,2,8,1,1,2,0,9.8,156
5,Wesley Woodyard,TEN,ILB,16,84,40,12.5,5,0,9,5,0,0,2,1,9.5,152.5
6,Christian Kirksey,CLE,OLB,16,87,52,9,3.5,0,6,5,0,2,1,0,9.3,149
6,Deion Jones,ATL,ILB,16,91,47,11.5,1,0,0,9,3,1,0,0,9.3,149
8,Luke Kuechly,CAR,ILB,15,74,51,10,1.5,0,5,5,3,1,2,1,9.8,146.5
9,Joe Schobert,CLE,ILB,16,86,57,6,3,0,6,3,1,2,0,0,9,144.5
10,Telvin Smith,JAX,OLB,14,76,26,11.5,1,0,2,5,3,1,2,2,10,139.5
11,Khalil Mack,OAK,OLB,16,61,17,15,10.5,0,22,3,0,1,1,0,8.5,136.5
12,Zach Brown,WAS,ILB,13,84,43,13.5,2.5,0,5,2,0,1,0,0,10.3,134
12,Jadeveon Clowney,HOU,OLB,16,41,18,23,9.5,0,22,2,0,2,2,1,8.4,134
14,Lavonte David,TB,OLB,13,75,25,8,0,0,3,1,0,4,5,1,10.2,132.5
15,NaVorro Bowman,OAK,ILB,15,81,47,7.5,1.5,0,6,3,1,0,1,0,8.7,130
16,Von Miller,DEN,OLB,16,51,6,18,10,0,23,3,0,2,1,0,7.9,127
17,Tahir Whitehead,DET,OLB,16,78,32,9.5,1,0,4,2,1,0,4,0,7.9,126.5
18,Preston Brown,BUF,ILB,16,83,61,7.5,0,0,2,3,0,0,0,0,7.9,126
19,Eric Kendricks,MIN,ILB,16,67,47,9,1,0,6,6,1,1,0,1,7.8,125.5
20,Brandon Marshall,DEN,ILB,16,76,31,6,3,0,4,4,0,1,1,1,7.7,123.5
20,Vince Williams,PIT,ILB,16,69,20,10.5,8,0,14,1,1,0,0,0,7.7,123.5
22,Justin Houston,KC,OLB,15,46,13,15,9.5,0,20,4,0,0,1,1,8,119.5
23,Matt Judon,BAL,OLB,16,50,10,18,8,0,18,3,0,2,1,0,7.4,119
24,Ryan Kerrigan,WAS,OLB,16,34,12,17,13,0,18,2,1,2,0,1,7.4,118
25,Kiko Alonso,MIA,OLB,16,78,37,6.5,1,0,5,1,0,2,0,0,7.3,117
25,Alec Ogletree,LAR,ILB,15,63,32,4,2,0,5,10,1,1,1,1,7.8,117
27,Darron Lee,NYJ,ILB,15,67,28,10,3,0,7,3,0,2,0,0,7.5,113
28,Terrell Suggs,BAL,OLB,16,37,12,12,11,0,19,4,0,4,0,0,7,112
29,KJ Wright,SEA,OLB,15,72,37,5.5,0,0,2,6,1,0,1,0,7.3,110
29,Kwon Alexander,TB,ILB,12,70,27,7.5,0,0,3,4,3,1,0,0,9.2,110
31,Ryan Shazier,PIT,ILB,12,68,21,4,0,0,2,10,3,1,1,0,9.1,109.5
32,Karlos Dansby,ARI,ILB,16,74,21,6,1,0,5,4,1,0,1,0,6.7,107.5
33,Sean Lee,DAL,OLB,11,70,31,13,0,0,1,1,1,1,0,0,9.7,106.5
34,Nigel Bradham,PHI,OLB,15,61,27,5.5,1,0,3,8,0,1,1,1,7,105
34,Jarrad Davis,DET,ILB,14,65,31,4.5,2,0,4,3,1,1,1,0,7.5,105
36,Benardrick McKinney,HOU,ILB,16,62,33,10,3,0,9,1,0,0,0,0,6.5,104.5
36,Myles Jack,JAX,ILB,16,65,24,6.5,2,0,5,3,0,0,1,1,6.5,104.5
38,Mark Barron,LAR,ILB,14,72,13,7.5,1,0,2,4,3,0,0,0,7.4,103
39,Danny Trevathan,CHI,ILB,12,61,30,3,2,0,4,5,1,1,1,0,8.4,101
40,Preston Smith,WAS,OLB,16,31,11,11,8,0,21,4,2,1,1,0,6.3,100.5
41,Craig Robertson,NO,ILB,16,53,26,7,2,0,2,6,2,1,2,0,6.2,100
42,Lorenzo Alexander,BUF,OLB,16,57,13,7,3,0,13,1,0,3,0,0,6.2,99.5
