Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Kwon Alexander,TB,ILB,16,108,37,11.5,3,2,7,8,1,1,1,1,10.9,174.2
2,Bobby Wagner,SEA,ILB,16,86,83,8.5,4.5,6,16,3,1,0,1,0,10.7,170.6
3,Khalil Mack,OAK,OLB,16,54,19,17.5,11,27,27,3,1,4,3,1,10.4,165.7
4,Zach Brown,BUF,ILB,16,95,52,11,4,12,7,4,1,2,0,0,10.1,161.2
5,Alec Ogletree,LAR,ILB,16,98,37,9.5,0,0,3,11,2,1,1,0,9.5,152
6,Christian Kirksey,CLE,OLB,16,94,50,11.5,2.5,8,7,3,0,0,0,0,9.1,146.3
7,Von Miller,DEN,OLB,16,61,16,13.5,12.5,42,23,3,0,2,0,0,9,143.7
8,Telvin Smith,JAX,OLB,16,98,20,14.5,1,0,2,8,2,0,1,0,9,143.5
9,Lavonte David,TB,OLB,16,67,20,17,5,7,8,3,1,4,2,1,8.9,142.7
10,Benardrick McKinney,HOU,ILB,16,79,50,8,5,23,11,2,0,1,0,0,8.8,140.3
11,Zach Orr,BAL,ILB,15,89,41,6.5,0,0,1,5,3,1,2,0,9.3,140
12,KJ Wright,SEA,OLB,16,72,54,12.5,4,6,7,5,0,1,1,0,8.6,138.1
13,Sean Lee,DAL,OLB,15,92,52,13.5,0,0,2,1,0,0,1,0,9.2,137.5
14,Paul Posluszny,JAX,ILB,16,96,36,9,1.5,17,3,3,1,0,0,0,8.5,136.7
15,Thomas Davis,CAR,OLB,16,73,33,7,2.5,10,5,4,3,1,2,1,8.5,135.5
16,Kiko Alonso,MIA,OLB,15,69,45,6,0,0,6,4,2,1,4,1,9,134.5
17,Mark Barron,LAR,ILB,16,90,27,7,1,0,3,8,2,0,1,0,8.3,132.5
18,Deion Jones,ATL,ILB,15,75,31,5,0,0,1,11,3,1,0,2,8.8,131.5
19,Eric Kendricks,MIN,ILB,15,70,39,9.5,2.5,0,4,8,1,1,1,1,8.7,131
20,Lawrence Timmons,PIT,OLB,16,78,36,5.5,2.5,1,10,5,2,1,0,0,8.2,130.6
21,Lorenzo Alexander,BUF,OLB,16,50,14,9.5,12.5,38,20,6,1,2,0,0,8.1,130.3
22,Preston Brown,BUF,ILB,16,77,59,8,1,5,3,1,0,1,2,0,8.1,130
23,Jamie Collins,CLE,OLB,15,79,32,6.5,3,8,6,3,2,2,0,0,8.6,129.3
24,Mason Foster,WAS,ILB,16,88,36,8,1,0,5,4,0,1,0,0,8,128
25,Ryan Shazier,PIT,ILB,13,55,32,11,3.5,0,7,9,3,3,1,0,9.7,126
26,Tahir Whitehead,DET,OLB,15,99,33,3,0,0,0,5,0,0,0,0,8.2,123.5
27,Olivier Vernon,NYG,OLB,16,46,18,17,8.5,8,23,0,0,1,1,0,7.4,118.8
28,Craig Robertson,NO,ILB,15,69,44,6,1,0,6,4,1,0,2,0,7.9,118
29,Vontaze Burfict,CIN,OLB,11,73,28,5,2,8,4,8,2,1,0,0,10.7,117.8
30,Nigel Bradham,PHI,OLB,16,67,32,11.5,2,9,3,6,1,1,1,0,7.3,117.4
31,Jerrell Freeman,CHI,ILB,12,87,24,7,0,0,2,5,0,1,0,0,9.7,116
32,Luke Kuechly,CAR,ILB,10,71,31,7.5,2,16,4,6,1,1,0,0,11.6,115.6
33,Karlos Dansby,CIN,ILB,16,69,45,10,1,0,3,6,0,0,1,0,7.2,115.5
34,Malcolm Smith,OAK,OLB,15,86,18,3,0,0,2,3,1,2,1,0,7.7,115
35,Whitney Mercilus,HOU,OLB,15,35,16,12.5,7.5,33.5,22,1,0,1,4,0,7.5,111.85
36,Jordan Hicks,PHI,ILB,16,57,28,4.5,1,3,5,11,5,0,1,0,7,111.8
37,Avery Williamson,TEN,ILB,16,72,31,3,2,14,5,1,1,1,0,0,6.7,107.9
38,Will Compton,WAS,ILB,15,60,43,5.5,0,0,2,5,1,1,2,0,7.1,106
39,Brian Orakpo,TEN,OLB,16,39,7,13,11,52,19,4,0,0,0,0,6.6,105.7
40,Derrick Johnson,KC,ILB,13,70,20,8,1,8,2,3,1,0,0,1,8.1,104.8
41,Nick Perry,GB,OLB,14,35,17,12.5,11,30.5,16,4,1,0,0,0,7.4,104.05
42,CJ Mosley,BAL,ILB,14,56,37,5,0,0,4,8,4,0,0,0,7.2,101.5
43,Jatavis Brown,LAC,OLB,12,64,13,7.5,3.5,12,2,6,0,1,1,0,8.4,100.2
44,Erik Walden,IND,OLB,16,31,11,11.5,11,37,17,0,0,3,0,0,6.2,99.7
45,Jadeveon Clowney,HOU,OLB,14,40,12,18,6,16,17,2,0,1,0,0,7.1,99.6
46,Shane Ray,DEN,OLB,16,33,15,6,8,17.5,19,0,0,1,2,1,6.1,98.25
47,Demario Davis,CLE,OLB,16,59,40,7,2,0,5,2,0,0,0,0,6.1,97
48,Kevin Minter,ARI,ILB,16,59,23,8,3.5,18,7,2,0,0,0,0,6,96.3
49,Jonathan Casillas,NYG,OLB,16,58,35,4.5,1.5,0,3,7,0,1,0,0,6,96
50,Gerald Hodges,SF,OLB,15,53,28,4,3,0,4,2,2,1,1,0,6.3,95
51,Todd Davis,DEN,ILB,16,64,33,1,0.5,2.5,4,2,0,1,1,0,5.9,94.75
52,Terrell Suggs,BAL,OLB,15,28,7,13.5,8,37,17,4,0,3,0,0,6.3,94.7
53,Ryan Kerrigan,WAS,OLB,16,26,7,14,10.5,23,16,2,0,2,0,0,5.7,90.8
54,Dee Ford,KC,OLB,15,25,13,12.5,10,37.5,17,2,0,1,0,0,6,89.75
55,David Harris,NYJ,LB,15,62,32,5,0.5,0,2,2,0,0,0,0,5.9,88
55,Deone Bucannon,ARI,OLB,13,64,24,5,0,0,0,4,0,0,1,0,6.8,88
57,Ahmad Brooks,SF,OLB,16,40,12,11,6,12.5,9,4,0,1,0,0,5.4,86.25
58,James Harrison,PIT,LB,15,41,14,9,5,0,8,1,1,2,0,0,5.7,85
59,Ramik Wilson,KC,ILB,11,62,15,3,0,0,0,3,1,0,2,0,7.7,84.5
60,D'Qwell Jackson,IND,ILB,12,52,26,5,1,0,3,3,0,0,2,0,7,84
61,Derrick Morgan,TEN,OLB,15,24,9,11,9,34,22,1,0,0,0,0,5.6,83.9
62,Jake Ryan,GB,ILB,14,56,25,7.5,0,0,3,3,0,0,0,0,5.9,82
63,Vincent Rey,CIN,OLB,16,50,33,1,0,0,0,7,1,0,1,0,5,80.5
64,Denzel Perryman,LAC,ILB,12,54,15,7,2,3,2,2,1,0,0,0,6.6,79.8
65,Anthony Barr,MIN,OLB,16,38,33,4,2,7,8,2,0,1,1,0,5,79.2
66,Korey Toomer,LAC,ILB,13,49,22,5.5,1,0,3,2,0,1,1,0,6,78.5
67,Keenan Robinson,NYG,OLB,16,54,27,2,0,0,1,7,0,0,0,0,4.8,77.5
67,Joe Thomas,GB,OLB,16,54,15,3,0,0,2,5,1,0,1,0,4.8,77.5
69,Leonard Floyd,CHI,OLB,12,23,10,6,7,32.5,9,2,0,1,1,1,6.4,76.25
70,Shaq Thompson,CAR,OLB,14,39,16,4.5,0,0,2,5,1,0,2,1,5.2,73.5
71,Anthony Hitchens,DAL,ILB,16,39,39,4,1.5,0,5,1,0,0,0,0,4.5,71.5
72,Sio Moore,ARI,ILB,8,50,15,4.5,0,0,2,1,0,2,0,0,8.9,71
73,Willie Young,CHI,OLB,16,22,17,8,7.5,28,9,2,0,1,0,0,4.4,70.3
74,Dont'a Hightower,NE,LB,13,31,34,2,2.5,12.5,7,2,0,1,0,0,5.4,70.25
75,Wesley Woodyard,TEN,ILB,16,40,13,7,2,0,4,5,1,0,0,0,4.3,69.5
75,Blake Martinez,GB,ILB,13,45,21,4,1,0,1,4,1,0,0,0,5.3,69.5
77,Preston Smith,WAS,OLB,16,23,16,9,5,6,12,3,1,0,0,0,4.3,68.6
78,John Simon,HOU,LB,11,32,19,4,3.5,9,10,2,0,1,0,0,6.2,68.4
79,Nathan Stupar,NO,ILB,16,41,10,1.5,1,0,1,2,1,2,2,0,4.2,67.5
80,Darron Lee,NYJ,ILB,13,42,28,3.5,1,4,3,2,0,0,0,0,5.1,66.9
81,Danny Trevathan,CHI,ILB,9,49,17,1.5,1,7,1,4,0,0,0,0,7.4,66.7
82,Sean Spence,TEN,ILB,15,35,15,3,3,2,5,3,0,2,0,0,4.4,65.7
83,Corey Nelson,DEN,OLB,16,42,23,2,0,0,2,5,0,0,1,0,4.1,65.5
84,Jarvis Jones,PIT,OLB,14,30,12,3,1,0,5,3,1,2,2,0,4.6,64
84,Devon Kennard,NYG,OLB,16,38,20,5,1,0,5,1,0,0,1,0,4,64
86,Robert Mathis,IND,OLB,14,15,5,7,5,19,6,0,0,3,2,1,4.5,63.4
87,Dannell Ellerbe,NO,ILB,9,34,10,6,4,0,8,2,0,0,0,0,7,63
88,Kyle Emanuel,LAC,OLB,16,34,22,4,0.5,0,4,1,0,1,1,0,3.8,61
89,Connor Barwin,PHI,OLB,16,20,14,6,5,27,10,2,0,1,0,0,3.8,60.7
90,Edwin Jackson,IND,ILB,16,43,20,1,2,0,2,0,0,0,0,0,3.8,60
91,De'Vondre Campbell,ATL,ILB,11,35,13,5,0,0,0,7,1,1,0,0,5.4,59.5
92,Neville Hewitt,MIA,ILB,16,36,22,5.5,1,0,1,0,0,0,1,0,3.7,58.5
93,Clay Matthews,GB,OLB,12,20,4,8,5,20,9,3,0,1,0,0,4.8,57
94,Michael Wilhoite,SF,OLB,16,42,9,0,0.5,4,1,2,0,1,1,0,3.6,56.9
95,Kyle Van Noy,NE,LB,14,31,20,2.5,1,0,2,3,1,1,0,0,4,56.5
96,Brian Cushing,HOU,ILB,13,38,27,2.5,0,0,2,0,0,0,0,0,4.3,56
97,Dominique Easley,LAR,OLB,16,24,11,7,3.5,3.5,5,1,0,2,0,0,3.5,55.85
98,Spencer Paysinger,MIA,OLB,15,38,15,0,0,0,2,3,0,0,1,0,3.6,53.5
99,Vince Williams,PIT,ILB,16,34,10,6,2,3,4,0,0,0,0,0,3.3,53.3
100,Tamba Hali,KC,OLB,16,24,10,4,3.5,11,9,0,0,0,1,0,3.3,53.1
101,Perry Riley,OAK,ILB,11,38,10,2.5,0,0,0,1,0,2,0,0,4.8,52.5
101,Eli Harold,SF,OLB,16,23,14,3.5,3,0,6,1,0,1,1,0,3.3,52.5
103,Justin Houston,KC,OLB,5,20,2,7.5,4.5,0,7,1,0,1,0,0,10.1,50.5
103,Albert McClellan,BAL,ILB,16,32,21,4,1,0,2,0,0,0,0,0,3.2,50.5
105,Brandon Marshall,DEN,ILB,11,38,13,1,0,0,0,3,0,0,0,0,4.4,48.5
105,Jordan Jenkins,NYJ,OLB,14,23,17,4,2.5,0,3,2,0,0,1,0,3.5,48.5
105,Nick Kwiatkoski,CHI,ILB,14,32,10,3.5,1,0,1,2,0,1,0,0,3.5,48.5
108,Frank Zombo,KC,OLB,16,29,11,3,1,5,3,2,0,1,0,0,3,48
109,Matt Judon,BAL,OLB,14,12,15,4,4,13,10,2,0,0,1,0,3.4,47.8
110,NaVorro Bowman,SF,ILB,4,24,11,4,1,8,2,2,1,1,0,0,11.6,46.3
111,Rob Ninkovich,NE,OLB,12,18,14,3,4,0,5,2,0,1,0,0,3.8,46
112,Daryl Smith,TB,OLB,16,28,7,3,0,0,0,1,1,1,1,0,2.8,44.5
112,Elandon Roberts,NE,LB,13,25,21,3,0,0,3,0,0,1,0,0,3.4,44.5
114,Anthony Chickillo,PIT,OLB,15,20,7,2,2.5,7,7,0,0,2,0,0,2.9,44.2
115,Bud Dupree,PIT,OLB,7,19,4,6,4,0,5,1,0,1,0,0,6.3,44
116,Cory James,OAK,OLB,16,32,9,3,0,0,0,0,0,1,0,0,2.7,42.5
117,Kemal Ishmael,ATL,OLB,13,30,20,0,0,0,0,2,0,0,0,0,3.2,42
118,Antonio Morrison,IND,ILB,16,29,17,3,0,0,1,0,0,0,0,0,2.6,41.5
119,Justin Durant,DAL,ILB,13,24,13,2.5,1,0,2,3,0,0,0,0,3.1,40
119,Josh Bynes,DET,ILB,9,26,12,4,0,0,0,4,0,0,0,0,4.4,40
121,Shaquil Barrett,DEN,OLB,16,21,12,3,1.5,4.5,4,2,0,0,0,0,2.5,39.45
122,Pernell McPhee,CHI,OLB,9,13,3,5.5,4,3,8,0,0,1,0,0,4.4,39.3
123,Kelvin Sheppard,NYG,ILB,16,27,20,0,0,0,0,2,0,0,0,0,2.4,39
124,Chad Greenway,MIN,OLB,16,25,15,2,0,0,0,1,1,0,0,0,2.4,38.5
124,AJ Klein,CAR,OLB,15,16,14,3.5,2,0,2,0,0,2,0,0,2.6,38.5
126,Shea McClellin,NE,LB,14,15,26,1.5,1,0,3,0,0,0,1,0,2.7,37.5
127,Damien Wilson,DAL,OLB,16,24,7,5,0.5,0,2,1,0,0,0,0,2.3,36.5
128,Lorenzo Mauldin,NYJ,OLB,11,7,9,1,2.5,5,12,2,1,0,0,0,3.2,35
129,Sam Acho,CHI,OLB,16,16,9,3,1,3,5,1,0,1,0,0,2.2,34.8
130,Mychal Kendricks,PHI,OLB,15,21,8,2,0,0,3,1,0,0,1,0,2.3,34
130,Courtney Upshaw,ATL,OLB,13,14,9,2.5,1,0,4,1,0,1,1,0,2.6,34
132,Demarcus Ware,DEN,OLB,10,9,6,3,4,13,8,1,0,0,0,0,3.3,33.3
133,Akeem Ayers,IND,OLB,16,12,7,1,2,15,4,2,1,0,0,0,1.9,31
134,Za'Darius Smith,BAL,OLB,13,10,10,4,1,0,4,1,0,1,0,0,2.2,29
135,Rey Maualuga,CIN,ILB,14,18,10,0.5,0,0,0,2,1,0,0,0,2,28.5
136,Corey Lemonier,NYJ,OLB,9,8,1,2,2,8,3,1,0,2,1,0,3.1,28.3
137,Philip Wheeler,ATL,OLB,16,17,10,3,0,0,2,0,0,0,0,0,1.7,27
137,Paul Worrilow,ATL,ILB,12,13,6,2,0,0,1,2,0,0,2,0,2.2,27
139,Trent Cole,IND,OLB,7,12,5,3,2,0,4,1,0,0,0,0,3.8,26.5
140,Sean Weatherspoon,ATL,ILB,4,21,6,2,0,0,0,0,0,0,0,0,6.5,26
140,Donald Butler,MIA,OLB,14,17,11,3.5,0,0,0,0,0,0,0,0,1.9,26
140,Myles Jack,JAX,ILB,16,17,6,1,0.5,0,2,2,0,0,0,0,1.6,26
143,LaRoy Reynolds,ATL,OLB,16,16,10,0.5,0,0,1,0,0,0,1,0,1.6,25.5
144,Jelani Jenkins,MIA,ILB,9,15,14,2,0,0,0,1,0,0,0,0,2.8,25
145,Aaron Lynch,SF,OLB,7,12,1,4.5,1.5,4,4,0,0,0,0,0,3.5,24.4
146,Kyler Fackrell,GB,OLB,13,10,1,1,2,15,3,1,0,1,0,0,1.8,24
147,Martrell Spaight,WAS,OLB,14,16,6,0.5,0,0,0,1,1,0,0,0,1.7,23.5
148,Antwione Williams,DET,OLB,14,13,8,2,0,0,1,0,0,0,1,0,1.6,23
149,Dan Skuta,JAX,OLB,13,15,3,3,0,0,2,1,0,0,0,0,1.7,22.5
150,Joe Schobert,CLE,ILB,16,13,6,1,0.5,3,3,1,0,0,0,0,1.4,22.3
151,Mike Hull,MIA,OLB,16,12,12,0,0,0,0,1,1,0,0,0,1.4,22
152,John Timu,CHI,ILB,11,15,3,4,0,0,0,1,0,0,0,0,2,21.5
152,Justin March,KC,OLB,5,15,7,1,0,0,0,2,0,0,0,0,4.3,21.5
154,DeAndre Levy,DET,OLB,5,16,5,0.5,0,0,1,1,0,0,0,0,4.2,21
155,Jayrone Elliott,GB,OLB,11,11,4,4.5,1,0,1,0,0,0,0,0,1.9,20.5
156,Max Bullough,HOU,ILB,16,14,5,2.5,0,0,0,0,0,0,0,0,1.2,19
157,Jeremiah Attaochu,LAC,OLB,8,7,0,2,2,19,4,0,0,0,0,0,2.4,18.9
158,Julian Stanford,NYJ,ILB,9,15,5,1,0,0,0,0,0,0,0,0,2.1,18.5
159,James Laurinaitis,NO,ILB,5,9,8,0,0,0,0,1,0,0,1,0,3.4,17
159,Stephone Anthony,NO,OLB,10,12,4,3,0,0,0,0,0,0,0,0,1.7,17
161,Erin Henderson,NYJ,ILB,5,12,7,1,0,0,0,0,0,0,0,0,3.3,16.5
161,Koa Misi,MIA,OLB,3,11,11,0,0,0,0,0,0,0,0,0,5.5,16.5
161,Ray Ray Armstrong,SF,ILB,2,7,1,1,0,0,0,2,1,0,1,0,8.2,16.5
164,Manti Te'o,LAC,ILB,3,11,6,2,0,0,0,0,0,0,0,0,5.3,16
164,Brandon Copeland,DET,OLB,16,8,4,0,0,0,0,0,0,2,0,0,1,16
164,Brock Coyle,SEA,ILB,12,7,9,1.5,1,0,1,0,0,0,0,0,1.3,16
164,DJ Alexander,KC,OLB,16,11,2,1,0,0,0,0,0,1,0,0,1,16
168,Kyle Wilber,DAL,OLB,15,6,1,0,0,0,0,0,0,1,2,0,1,15.5
168,Nick Vigil,CIN,OLB,16,13,3,0,0,0,0,1,0,0,0,0,1,15.5
170,Terence Garvin,WAS,OLB,16,10,4,0,0.5,4,2,0,0,0,0,0,1,15.4
171,James Cowser,OAK,OLB,6,7,2,1,1,0,1,0,0,0,1,0,2.5,15
172,Kasim Edebali,NO,OLB,16,6,3,1.5,1,8,2,1,0,0,0,0,0.9,14.8
173,Michael Morgan,SEA,OLB,9,6,4,2,0,0,0,1,1,0,0,0,1.6,14
173,Aaron Wallace,TEN,OLB,10,7,3,1.5,1,0,2,0,0,0,0,0,1.4,14
175,Patrick Onwuasor,BAL,OLB,11,6,9,0,0,0,0,0,0,1,0,0,1.2,13.5
176,Michael Mauti,NO,ILB,8,6,1,0,1,9,1,0,0,1,0,0,1.7,13.4
177,Ben Heeney,OAK,OLB,4,11,2,0,0,0,1,0,0,0,0,0,3.2,13
178,Josh McNary,IND,OLB,16,9,7,0,0,0,0,0,0,0,0,0,0.8,12.5
178,Joshua Perry,LAC,ILB,15,9,5,1,0,0,0,0,0,0,0,0,0.8,12.5
180,Andrew Gachkar,DAL,OLB,16,5,3,1.5,0.5,0,3,0,0,0,0,0,0.8,12
180,Lerentee McCray,BUF,OLB,13,5,8,0,0,0,0,0,0,1,0,0,0.9,12
180,Cory Littleton,LAR,ILB,16,9,5,0.5,0,0,0,0,0,0,0,0,0.8,12
183,Tourek Williams,LAC,OLB,16,6,3,1,1,0,0,1,0,0,0,0,0.7,11.5
183,David Mayo,CAR,OLB,15,9,3,1,0,0,0,0,0,0,0,0,0.8,11.5
185,Jonathan Freeny,NE,ILB,5,6,4,0,0,0,0,0,0,1,0,0,2.2,11
185,Thurston Armbrister,DET,ILB,14,10,0,1,0,0,0,0,0,0,0,0,0.8,11
187,Kareem Martin,ARI,OLB,13,3,1,1,1,4,1,0,0,1,0,0,0.8,10.9
188,Kevin Dodd,TEN,OLB,9,5,0,1,1,6,2,0,0,0,0,0,1.2,10.6
189,Bruce Carter,NYJ,ILB,13,6,5,1,0,0,0,1,0,0,0,0,0.8,10.5
189,David Bass,TEN,OLB,13,8,5,0,0,0,0,0,0,0,0,0,0.8,10.5
189,Tyler Matakevich,PIT,ILB,16,9,3,0,0,0,0,0,0,0,0,0,0.7,10.5
192,Zaire Anderson,DEN,ILB,15,5,4,0,0,0,0,0,0,1,0,0,0.7,10
192,Freddie Bishop,NYJ,OLB,4,5,4,2,0,0,0,1,0,0,0,0,2.5,10
194,Adarius Taylor,TB,OLB,16,9,1,0,0,0,0,0,0,0,0,0,0.6,9.5
195,Ufomba Kamalu,HOU,OLB,4,3,2,2,1,0,1,0,0,0,0,0,2.2,9
196,Ryan Davis,DAL,OLB,9,1,3,1,0,0,2,0,0,0,1,0,0.9,8.5
196,Matt Longacre,LAR,OLB,6,4,2,2.5,0,0,1,0,0,0,0,0,1.4,8.5
198,Christian Jones,CHI,OLB,16,6,2,0,0,0,0,1,0,0,0,0,0.5,8
198,BJ Goodson,NYG,ILB,15,3,4,0,0,0,0,0,0,1,0,0,0.5,8
198,Brennan Scarlett,HOU,OLB,7,3,7,1.5,0,0,0,0,0,0,0,0,1.1,8
201,Ramon Humber,BUF,OLB,16,7,1,0,0,0,0,0,0,0,0,0,0.5,7.5
202,Stephen Tulloch,PHI,ILB,13,7,0,0,0,0,0,0,0,0,0,0,0.5,7
203,Brandon Spikes,BUF,ILB,11,4,5,0,0,0,0,0,0,0,0,0,0.6,6.5
203,Emmanuel Lamur,MIN,OLB,16,4,5,0,0,0,0,0,0,0,0,0,0.4,6.5
203,Kamalei Correa,BAL,OLB,9,2,1,0,0,0,0,1,0,1,0,0,0.7,6.5
206,Nate Palmer,TEN,ILB,14,6,0,0,0,0,0,0,0,0,0,0,0.4,6
206,Howard Jones,TB,OLB,8,2,0,0,0,0,1,0,0,0,1,0,0.8,6
206,Tyrone Holmes,CLE,OLB,11,1,4,0,1,0,1,0,0,0,0,0,0.5,6
209,Daren Bates,OAK,ILB,16,4,3,0,0,0,0,0,0,0,0,0,0.3,5.5
209,Kevin Pierre-Louis,SEA,ILB,13,3,5,0,0,0,0,0,0,0,0,0,0.4,5.5
211,Zaviar Gooden,ARI,ILB,8,4,2,0,0,0,0,0,0,0,0,0,0.6,5
211,Gabe Martin,ARI,ILB,8,1,2,0,0,0,0,0,0,0,1,0,0.6,5
211,Kentrell Brothers,MIN,OLB,10,5,0,0,0,0,0,0,0,0,0,0,0.5,5
211,Curt Maggitt,IND,OLB,9,2,4,0,0,0,1,0,0,0,0,0,0.6,5
215,Akeem Dent,HOU,OLB,16,4,1,0,0,0,0,0,0,0,0,0,0.3,4.5
215,Najee Goode,PHI,OLB,16,4,1,0,0,0,0,0,0,0,0,0,0.3,4.5
215,Barkevious Mingo,NE,OLB,16,4,1,0,0,0,0,0,0,0,0,0,0.3,4.5
215,Carl Bradford,SF,ILB,6,2,1,1,0,0,1,0,0,0,0,0,0.8,4.5
215,Hayes Pullard,JAX,ILB,16,3,3,0,0,0,0,0,0,0,0,0,0.3,4.5
215,Nick Dzubnar,LAC,ILB,4,3,3,0,0,0,0,0,0,0,0,0,1.1,4.5
215,Jeremy Cash,CAR,OLB,8,4,1,0,0,0,0,0,0,0,0,0,0.6,4.5
222,Lamarr Houston,CHI,OLB,2,2,2,0,0,0,1,0,0,0,0,0,2,4
222,Audie Cole,MIN,OLB,16,2,4,0,0,0,0,0,0,0,0,0,0.2,4
222,Josh Martin,NYJ,OLB,15,1,2,0,0.5,0,1,0,0,0,0,0,0.3,4
225,Dominique Alexander,CLE,OLB,14,1,0,0,0,0,0,0,0,0,1,0,0.2,3.4
226,Chris Carter,IND,OLB,14,2,2,0,0,0,0,0,0,0,0,0,0.2,3
226,LJ Fort,PIT,ILB,14,2,0,0,0,0,1,0,0,0,0,0,0.2,3
226,Steven Johnson,PIT,ILB,6,0,0,0,0,0,0,0,0,1,0,0,0.5,3
226,Marquis Flowers,CIN,ILB,16,3,0,0,0,0,0,0,0,0,0,0,0.2,3
226,Shayne Skov,SF,OLB,9,2,2,0,0,0,0,0,0,0,0,0,0.3,3
226,Bryce Hager,LAR,ILB,16,2,0,0,0,0,0,1,0,0,0,0,0.2,3
226,Brandon King,NE,LB,16,2,2,0,0,0,0,0,0,0,0,0,0.2,3
226,Brennen Beyer,BAL,ILB,1,2,1,0.5,0,0,0,0,0,0,0,0,3,3
234,Lynden Trail,WAS,OLB,2,1,1,0,0,0,0,1,0,0,0,0,1.2,2.5
234,Jonathan Anderson,CHI,ILB,8,2,1,0,0,0,0,0,0,0,0,0,0.3,2.5
234,Brian Peters,HOU,ILB,12,1,1,1,0,0,0,0,0,0,0,0,0.2,2.5
234,Kamu Grugier-Hill,PHI,OLB,12,1,1,1,0,0,0,0,0,0,0,0,0.2,2.5
234,Terrance Smith,KC,ILB,9,2,1,0,0,0,0,0,0,0,0,0,0.3,2.5
239,Mark Herzlich,NYG,ILB,14,1,2,0,0,0,0,0,0,0,0,0,0.1,2
239,Tank Carder,CLE,ILB,16,2,0,0,0,0,0,0,0,0,0,0,0.1,2
239,Mark Nzeocha,DAL,OLB,6,2,0,0,0,0,0,0,0,0,0,0,0.3,2
239,Taiwan Jones,NYJ,ILB,3,1,0,1,0,0,0,0,0,0,0,0,0.7,2
239,Jared Norris,CAR,ILB,14,1,2,0,0,0,0,0,0,0,0,0,0.1,2
244,Cameron Lynch,TB,OLB,12,1,1,0,0,0,0,0,0,0,0,0,0.1,1.5
245,JT Thomas,NYG,OLB,1,1,0,0,0,0,0,0,0,0,0,0,1,1
245,Arthur Brown,NYJ,ILB,14,1,0,0,0,0,0,0,0,0,0,0,0.1,1
245,Sam Barrington,NO,ILB,7,1,0,0,0,0,0,0,0,0,0,0,0.1,1
245,Nick Moody,WAS,ILB,1,1,0,0,0,0,0,0,0,0,0,0,1,1
245,Jordan Tripp,GB,ILB,9,1,0,0,0,0,0,0,0,0,0,0,0.1,1
245,Deontae Skinner,NYG,OLB,4,1,0,0,0,0,0,0,0,0,0,0,0.2,1
245,Edmond Robinson,MIN,OLB,12,1,0,0,0,0,0,0,0,0,0,0,0.1,1
245,Houston Bates,WAS,OLB,14,0,2,0,0,0,0,0,0,0,0,0,0.1,1
245,Dadi Nicolas,KC,OLB,11,0,0,0,0,0,0,1,0,0,0,0,0.1,1
245,Scooby Wright,ARI,ILB,3,0,2,0,0,0,0,0,0,0,0,0,0.3,1
245,Deon King,IND,OLB,6,1,0,0,0,0,0,0,0,0,0,0,0.2,1
256,Dezman Moses,KC,OLB,3,0,1,0,0,0,0,0,0,0,0,0,0.2,0.5
256,Victor Ochi,NYJ,OLB,2,0,1,0,0,0,0,0,0,0,0,0,0.2,0.5
258,AJ Hawk,ATL,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Jason Trusnik,NO,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
258,O'Brien Schofield,ATL,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Sean Porter,JAX,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Justin Staples,TEN,ILB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Joplo Bartu,ARI,ILB,7,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Ben Jacobs,CAR,OLB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Randell Johnson,NYJ,ILB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Trevor Reilly,MIA,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Paul Dawson,CIN,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Deiontrez Mount,IND,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Obum Gwacham,NO,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Tyrell Adams,OAK,OLB,6,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Alani Fua,ARI,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Zach Vigil,WAS,ILB,9,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Marcus Rush,JAX,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Trevor Roach,CIN,ILB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
