Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
196,Marvin Mitchell,MIN,OLB,11,3,0,0,0,0,0,0,0,1,0,0,0.5,6
196,Keenan Robinson,WAS,OLB,11,5,2,0,0,0,0,0,0,0,0,0,0.5,6
199,Jamaal Westerman,IND,ILB,9,1,0,1,1,2,1,0,0,0,0,0,0.6,5.2
200,Orie Lemon,DAL,ILB,5,1,2,0,0,0,0,0,0,0,1,0,1,5
200,Frank Zombo,GB,OLB,7,4,2,0,0,0,0,0,0,0,0,0,0.7,5
202,Mario Harvey,IND,ILB,13,3,1,1,0,0,0,0,0,0,0,0,0.3,4.5
202,Casey Matthews,PHI,ILB,16,4,1,0,0,0,0,0,0,0,0,0,0.3,4.5
202,Chris Carter,PIT,OLB,8,2,3,0,0,0,0,1,0,0,0,0,0.6,4.5
205,Josh Hull,LAR,ILB,16,3,0,1,0,0,0,0,0,0,0,0,0.2,4
205,Nate Irving,DEN,ILB,15,1,2,0,0,0,1,1,0,0,0,0,0.3,4
205,Tyrone McKenzie,MIN,ILB,16,1,0,0,0,0,0,0,0,1,0,0,0.2,4
205,Bryan Hall,BAL,LB,5,1,2,0,0,0,2,0,0,0,0,0,0.8,4
205,Kenny Onatolu,CAR,LB,4,1,0,1,0,0,0,0,0,0,0,0,1,4
210,Andy Studebaker,KC,ILB,16,3,1,0,0,0,0,0,0,0,0,0,0.2,3.5
210,Blake Costanzo,CHI,ILB,14,3,1,0,0,0,0,0,0,0,0,0,0.2,3.5
210,Keyunta Dawson,TEN,OLB,3,2,1,0,0,0,1,0,0,0,0,0,1.2,3.5
210,Scott Solomon,TEN,OLB,13,1,1,0,0,0,2,0,0,0,0,0,0.3,3.5
214,Steven Johnson,DEN,ILB,11,0,0,0,0,0,0,0,0,1,0,0,0.3,3
214,JT Thomas,CHI,OLB,16,0,0,0,0,0,0,0,0,1,0,0,0.2,3
214,Heath Farwell,SEA,OLB,16,2,2,0,0,0,0,0,0,0,0,0,0.2,3
214,Jacob Cutrera,TB,OLB,8,0,0,0,0,0,0,0,0,1,0,0,0.4,3
214,Tahir Whitehead,DET,OLB,14,0,0,0,0,0,0,0,0,1,0,0,0.2,3
219,Josh Mauga,NYJ,ILB,5,2,1,0,0,0,0,0,0,0,0,0,0.5,2.5
