Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Lavonte David,TB,OLB,16,85,62,10,3,17,5,13,3,2,2,1,11.2,178.7
2,D'Qwell Jackson,IND,ILB,16,89,61,10,3,12,3,10,1,2,2,1,10.7,170.7
3,Khalil Mack,OAK,OLB,16,57,20,23,15,89,24,2,0,4,0,0,10.6,168.9
4,NaVorro Bowman,SF,ILB,16,116,38,7,2.5,18.5,8,2,0,1,0,0,10.1,161.85
5,Telvin Smith,JAX,OLB,14,99,29,13,2.5,3,3,7,1,2,1,1,11.4,159.8
6,Thomas Davis,CAR,OLB,16,75,30,8,5.5,44,12,7,4,4,1,0,10,159.4
7,Malcolm Smith,OAK,OLB,16,99,23,12,4,22,6,6,1,3,0,0,9.8,156.7
8,Paul Posluszny,JAX,ILB,14,103,30,13,1,10,7,6,3,0,0,0,11.1,156
9,Deone Bucannon,ARI,OLB,16,90,19,11,3,18,6,3,1,3,2,1,9.5,151.3
10,CJ Mosley,BAL,ILB,16,76,40,13,4,18,9,7,0,1,2,1,9.4,149.8
11,Derrick Johnson,KC,ILB,16,95,21,8,4,23,5,8,2,2,0,0,9.3,148.8
12,Luke Kuechly,CAR,ILB,13,76,42,7,1,5,5,10,4,2,1,1,11.4,148.5
13,Lawrence Timmons,PIT,OLB,16,77,42,6,5,36.5,10,6,1,1,0,0,8.7,139.65
14,Jamie Collins,NE,OLB,12,51,38,8,5.5,32.5,7,6,1,5,1,1,11,132.25
15,Karlos Dansby,CLE,ILB,16,62,46,5,0,0,6,6,3,3,0,2,8.2,132
16,Bobby Wagner,SEA,ILB,15,67,47,2,0.5,4.5,4,7,0,2,3,2,8.8,131.95
17,Mark Barron,LAR,ILB,16,76,37,16,1,5,4,5,0,3,0,0,8.2,131
18,Sean Lee,DAL,OLB,14,76,52,11,2.5,16,3,5,1,0,0,0,9.3,130.6
19,Stephone Anthony,NO,OLB,16,70,42,5,1,8,4,5,1,2,1,1,8,127.8
20,Von Miller,DEN,OLB,16,30,5,9,11,78,32,1,0,4,3,0,7.8,125.3
21,KJ Wright,SEA,OLB,16,71,45,4,1,11,2,3,0,4,2,0,7.7,123.6
22,David Harris,NYJ,LB,16,67,41,6,4.5,20.5,7,5,0,2,0,0,7.7,122.55
23,Preston Brown,BUF,ILB,16,63,54,3,0,0,6,4,2,1,1,1,7.6,121
24,Jerrell Freeman,IND,ILB,13,66,46,2,3,33,6,2,1,0,1,1,9.3,120.3
25,Kwon Alexander,TB,ILB,12,59,34,6,3,21.5,5,9,2,2,1,0,9.9,119.15
26,Brandon Marshall,DEN,ILB,16,76,25,9,1.5,10.5,3,4,1,2,0,0,7.3,117.55
27,Daryl Smith,BAL,OLB,16,72,49,2,3,19.5,5,3,1,0,0,0,7.3,117.45
28,Clay Matthews,GB,OLB,16,49,17,13,6.5,40.5,19,3,1,0,1,0,7.2,115.55
29,Ryan Shazier,PIT,ILB,12,55,32,10,3.5,34.5,8,4,1,2,1,0,9.6,115.45
30,Stephen Tulloch,DET,ILB,16,74,33,8,1,8,4,1,0,1,2,0,7.2,115.3
31,Danny Trevathan,DEN,ILB,15,74,36,1,0,0,2,6,2,0,0,1,7.5,113
32,James Laurinaitis,LAR,ILB,16,61,48,3,1,8,9,1,1,2,0,0,7,111.8
33,Eric Kendricks,MIN,ILB,14,72,20,8,4,23,8,1,0,0,0,0,7.8,109.3
34,Whitney Mercilus,HOU,OLB,16,32,18,14,12,60,16,2,0,1,1,0,6.8,109
35,Jeremiah Attaochu,LAC,OLB,15,42,10,15,6,39,17,1,0,1,1,1,7.2,107.9
36,Avery Williamson,TEN,ILB,15,63,39,5,3.5,28.5,6,1,1,0,0,0,7.2,107.35
37,Olivier Vernon,MIA,OLB,16,41,20,9,7.5,56.5,26,0,0,0,0,0,6.7,106.65
38,Paul Worrilow,ATL,ILB,15,67,28,5,0,0,4,4,2,1,1,0,7.1,106
39,Wesley Woodyard,TEN,ILB,16,51,33,5,5,38,6,0,0,1,1,1,6.5,104.3
40,Kelvin Sheppard,MIA,ILB,16,75,30,12,0,0,0,2,0,0,0,0,6.5,104
41,Kevin Minter,ARI,ILB,16,72,22,8,0.5,3.5,6,2,0,1,0,0,6.5,103.35
42,Connor Barwin,PHI,OLB,16,44,10,9,7,39,16,7,0,1,0,0,6.4,101.9
43,Mychal Kendricks,PHI,OLB,13,61,21,9,3,21,7,3,0,1,0,0,7.8,101.6
44,Anthony Barr,MIN,OLB,14,54,14,4,3.5,20,8,7,1,3,0,0,7.2,101
45,Pernell McPhee,CHI,OLB,14,42,11,9,6,41,18,3,1,1,0,0,7.1,99.6
46,Brian Cushing,HOU,ILB,16,63,47,4,0,0,2,3,0,1,0,0,6.2,98.5
47,Tamba Hali,KC,OLB,15,39,9,11,6.5,53,18,1,0,2,0,0,6.5,97.8
48,Ryan Kerrigan,WAS,OLB,16,33,9,12,9.5,70.5,13,3,0,2,0,0,6.1,97.55
49,Demario Davis,NYJ,OLB,16,57,32,4,2,14,9,2,0,0,1,0,6,96.4
50,Rolando McClain,DAL,ILB,11,50,30,9,2,11,5,3,1,0,0,1,8.7,96.1
51,Rob Ninkovich,NE,OLB,16,33,19,6,6.5,45,17,7,0,1,1,0,6,96
52,Vincent Rey,CIN,OLB,16,62,33,3,1,8,2,5,1,0,0,0,5.9,94.3
53,Brian Orakpo,TEN,OLB,16,38,13,12,7,42,10,5,0,1,0,0,5.8,92.7
54,Shaquil Barrett,DEN,OLB,16,28,13,8,5.5,39,12,4,0,4,2,0,5.7,91.4
55,Jonathan Casillas,NYG,OLB,15,62,18,5,2,12,2,5,1,0,0,0,6.1,91.2
56,Manti Te'o,LAC,ILB,12,62,20,4,0.5,0.5,3,2,1,2,0,0,7.6,91.05
57,Justin Houston,KC,OLB,11,25,5,9,7.5,54,13,6,2,1,0,1,8.3,90.9
58,Josh Bynes,DET,ILB,16,56,26,5,0.5,5.5,3,5,0,2,0,0,5.6,89.55
59,Vontaze Burfict,CIN,OLB,10,57,17,6,1,10,4,5,2,0,0,0,9,89.5
60,Aaron Lynch,SF,OLB,14,30,8,13,6.5,50.5,21,3,0,0,0,0,6.4,89.05
61,Chad Greenway,MIN,OLB,16,56,13,5,2.5,9,5,1,1,0,0,1,5.5,88.4
62,Lamarr Houston,CHI,OLB,16,36,6,11,8,63,13,0,0,0,1,0,5.5,88.3
63,Will Compton,WAS,ILB,16,51,42,1,1,7,2,3,1,0,1,0,5.4,86.7
64,James Harrison,PIT,LB,15,27,13,8,5,38,15,4,1,2,0,0,5.6,83.3
65,Christian Jones,CHI,OLB,15,59,24,2,0,0,3,4,0,0,1,0,5.5,83
66,Denzel Perryman,LAC,ILB,14,58,9,8,2,23,3,0,0,1,0,0,5.9,82.8
67,Zach Brown,TEN,ILB,16,55,23,3,0.5,3,2,3,2,0,0,0,5.1,81.8
