Year,Player,College,Position,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle
2017,Mitchell Trubisky,North Carolina,QB,6.7,74,32,222,9.5,4.67,,27.5,116,6.87,4.25,
2017,Deshaun Watson,Clemson,QB,6.27,74,33,221,9.75,4.66,,32.5,119,6.95,4.31,
2017,Patrick Mahomes,Texas Tech,QB,5.9,74,33.25,225,9.25,4.8,,30,114,6.88,4.08,
2017,DeShone Kizer,Notre Dame,QB,5.88,76,33.125,233,9.875,4.83,,30.5,107,7.4,4.53,
2017,Nathan Peterman,Pittsburgh,QB,5.85,74,32,226,9.875,4.82,,31,110,7.14,4.31,
2017,Brad Kaaya,Miami,QB,5.62,76,32,214,9.75,,,,,,,
2017,Davis Webb,California,QB,5.3,77,33.125,229,9.25,4.79,,33,118,6.92,4.21,
2017,Joshua Dobbs,Tennessee,QB,5.15,75,32.625,216,9.25,4.64,,33,122,6.75,4.31,
2017,Cooper Rush,Central Michigan,QB,5.13,75,32.375,228,9.125,4.93,,27,105,7.23,4.47,
2017,C.J. Beathard,Iowa,QB,5.05,74,30.625,219,9.375,,,31,113,,,
2017,Sefo Liufau,Colorado,QB,4.89,75,33.5,232,10.75,5.08,,27,105,7.32,4.45,
2017,Mitch Leidner,Minnesota,QB,4.85,75,33.75,226,10,4.93,,34.5,123,6.96,4.25,
2017,Trevor Knight,Texas A&M,QB,4.8,73,30.625,219,9.875,4.54,,35.5,125,7.04,4.14,11.28
2017,Jerod Evans,Virginia Tech,QB,,75,33.125,232,9.375,4.8,,26.5,112,,4.41,
2017,Seth Russell,Baylor,QB,,75,32.25,213,9.625,,,,,,,
2017,Leonard Fournette,LSU,RB,7.15,72,31.625,240,9.25,4.51,,28.5,,,,
2017,Dalvin Cook,Florida State,RB,6.54,70,32.375,210,9.25,4.49,22,30.5,116,7.27,4.53,
2017,Alvin Kamara,Tennessee,RB,6.02,70,32.75,214,9.25,4.56,15,39.5,131,,,
2017,Christian McCaffrey,Stanford,RB,5.93,71,30,202,9,4.48,10,37.5,121,6.57,4.22,11.03
2017,D'Onta Foreman,Texas,RB,5.76,72,31.375,233,10.125,,18,,,,,
2017,Samaje Perine,Oklahoma,RB,5.64,71,30.375,233,10,4.65,30,33,116,7.26,4.37,11.71
2017,Jeremy McNichols,Boise State,RB,5.61,69,31.5,214,10,4.49,,35.5,121,6.93,4.28,
2017,Marlon Mack,USF,RB,5.54,71,32,213,9,4.5,15,35.5,125,,,
2017,Kareem Hunt,Toledo,RB,5.52,70,31.375,216,9.625,4.62,18,36.5,119,,,
2017,Wayne Gallman,Clemson,RB,5.51,72,32.625,215,9.125,4.6,21,29.5,120,7.17,4.28,
2017,Tarik Cohen,North Carolina A&T;,RB,5.49,66,29.75,179,10.125,4.42,11,31.5,118,,,
2017,Corey Clement,Wisconsin,RB,5.43,70,30.5,220,9.75,4.68,19,28.5,115,,,
2017,James Conner,Pittsburgh,RB,5.4,73,31.25,233,9.875,4.65,20,29,113,,,
2017,Matt Dayes,NC State,RB,5.38,69,30,205,10.5,,18,28,109,,,
2017,Joe Williams,Utah,RB,5.35,71,30.75,210,9.375,4.41,14,35,125,7.19,4.19,
2017,Donnel Pumphrey,San Diego State,RB,5.33,68,29,176,8.5,4.48,5,33.5,117,,,
2017,T.J. Logan,North Carolina,RB,5.3,69,32,196,9,4.37,17,33.5,121,,,
