Year,Player,College,Position,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle
2016,Lamarcus Brutus,Florida State,SS,4.96,72,31.5,206,8.75,4.76,14,33,114,7.08,4.33,12.25
2016,Vonn Bell,Ohio State,FS,5.68,71,32.375,199,9.5,,16,,,,,
2016,DeAndre Houston-Carson,William & Mary,FS,5.56,73,30.125,201,9.125,4.54,13,32.5,115,7.15,4.28,11.89
2016,T.J. Green,Clemson,FS,5.41,74,32,209,9.625,4.34,13,35.5,129,,,
2016,Jalen Mills,LSU,FS,5.39,72,31.125,191,9.125,4.61,16,37,123,6.86,4,11.53
2016,Justin Simmons,Boston College,FS,5.36,74,32.625,202,9.625,4.61,16,40,126,6.58,3.85,10.84
2016,Tyvis Powell,Ohio State,FS,5.35,75,32.75,211,9.5,4.46,15,34.5,120,7.03,4.25,11.63
2016,Derrick Kindred,TCU,FS,5.11,70,31.25,207,9.375,4.5,,37.5,123,7.05,4.29,
2016,Jordan Lomax,Iowa,FS,4.99,70,32,202,8.75,4.75,8,36,120,7.18,4.15,
2016,A.J. Stamps,Kentucky,FS,4.88,71,31.375,193,9.625,4.79,15,33,115,7.17,4.25,11.56
2016,Roberto Aguayo,Florida State,K,5.5,72,31.75,207,9.875,,,,,,,
2016,Ka'imi Fairbairn,UCLA,K,5.4,71,31.25,183,9.25,,,,,,,
2016,Brad Craddock,Maryland,K,5.07,72,31,186,8.25,,,,,,,
2016,Jaden Oberkrom,TCU,K,4.95,74,31.75,186,8.5,,,,,,,
2016,Marshall Koehn,Iowa,K,4.75,73,32.25,197,9.5,4.61,,,,,,
2016,John Lunsford,Liberty,K,4.7,73,32.875,214,10.125,4.74,,,,,,
2016,Drew Kaser,Texas A&M,P,5.4,74,31,212,9,,,,,,,
2016,Nick O'Toole,West Virginia,P,5.12,75,32.5,219,9.75,,,,,,,
2016,Tom Hackett,Utah,P,5.1,70,29.75,198,9.25,,,,,,,
2016,Lac Edwards,Sam Houston State,P,4.88,76,32.375,209,9.375,,,,,,,
2016,Will Monday,Duke,P,4.85,76,32.5,212,8.875,,,,,,,
2016,Riley Dixon,Syracuse,P,4.82,76,32.25,221,9.625,,,,,,,
2016,Jimmy Landes,Baylor,LS,4.7,73,30.375,240,9.625,5,,,110,7.05,4.38,
