Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
55,Brian Urlacher,CHI,LB,12,716,59.7,69,9.5,0,0,96.5,13.5
55,Jason Babin,JAX,OLB,16,653,40.8,62.5,5.7,1.1,2.1,88.4,13.5
58,Philip Wheeler,OAK,OLB,16,1016,63.5,98.5,10.8,0.3,1.2,135,13.3
58,Erin Henderson,MIN,ILB,14,677,48.4,60.1,11.8,0.4,0.6,90.2,13.3
58,Bart Scott,NYJ,LB,15,572,38.1,53.6,10.5,0.4,0.9,76.3,13.3
58,Albert McClellan,BAL,ILB,14,426,30.4,37.5,11.5,0.2,0.2,56.6,13.3
58,Manny Lawson,CIN,OLB,16,353,22.1,33.4,11,0.6,0.3,47.1,13.3
63,Michael Boley,NYG,OLB,16,839,52.4,80.4,11,0.1,0.4,111.1,13.2
63,Brad Jones,GB,ILB,16,673,42.1,61.9,11.4,0.3,0.4,88.9,13.2
63,Dan Connor,DAL,ILB,14,340,24.3,33,16.5,0,0,45,13.2
63,Nick Perry,GB,OLB,6,198,33,31.4,9.1,1,1,26.2,13.2
67,Mike Neal,GB,OLB,11,260,23.6,31.4,4.2,1.7,2.3,34.1,13.1
68,Josh Bynes,BAL,ILB,10,211,21.1,31.1,16.1,0,0.5,27.5,13
69,Quentin Groves,ARI,OLB,16,467,29.2,43.2,9.9,0.9,1.5,60.4,12.9
70,Karlos Dansby,MIA,ILB,16,1101,68.8,98.5,12.2,0.1,0.2,140.4,12.8
70,Stephen Nicholas,ATL,OLB,16,873,54.6,85.4,11.1,0.2,0.6,112,12.8
72,Justin Durant,DET,ILB,16,851,53.2,82.4,12.1,0.1,0.2,107.9,12.7
73,Robert Mathis,IND,OLB,12,627,52.2,59.4,5.3,1.3,2.1,78.9,12.6
74,James Harrison,PIT,LB,13,812,62.5,82.4,8.6,0.7,1.4,101.1,12.5
75,D'Qwell Jackson,CLE,ILB,16,1120,70,96.5,10.6,0.3,0.4,138.9,12.4
75,Perry Riley,WAS,ILB,16,1058,66.1,98.5,12.2,0.3,0.5,130.9,12.4
75,Rob Ninkovich,NE,OLB,16,909,56.8,83.1,6.4,0.9,1.1,113.1,12.4
75,DeAndre Levy,DET,OLB,14,699,49.9,67.7,11.7,0,0,86.5,12.4
79,KJ Wright,SEA,OLB,15,865,57.7,87.4,11.3,0.1,0.3,106.3,12.3
79,Scott Fujita,CLE,LB,4,122,30.5,27.8,11.5,0.8,0.8,15,12.3
81,Moise Fokou,IND,ILB,16,379,23.7,35.9,11.3,0.3,1.1,46.1,12.2
82,David Harris,NYJ,LB,16,1062,66.4,99.5,11.6,0.3,0.7,128.5,12.1
82,DeMeco Ryans,PHI,ILB,16,1045,65.3,99.8,10.8,0.1,0.2,126.8,12.1
82,Lamarr Houston,OAK,OLB,16,857,53.6,83.1,8.1,0.5,1.4,103.4,12.1
82,Osi Umenyiora,NYG,OLB,16,635,39.7,60.9,6.8,0.9,1.9,77.1,12.1
82,Bradie James,HOU,LB,15,638,42.5,60.6,12.1,0.1,0.5,76.9,12.1
82,Bruce Carter,DAL,ILB,11,607,55.2,88.5,11.5,0,0.3,73.5,12.1
82,Jonathan Vilma,NO,OLB,11,406,36.9,53,9.1,0.2,0.5,49.3,12.1
89,Curtis Lofton,NO,ILB,16,1121,70.1,98.6,11,0.1,0.2,133.7,11.9
89,Rolando McClain,OAK,ILB,11,496,45.1,56.4,12.5,0.2,0.2,59.2,11.9
89,Kaluka Maiava,CLE,ILB,16,485,30.3,41.8,10.9,0.4,0.8,57.9,11.9
89,Jason Worilds,PIT,OLB,16,421,26.3,42.7,6.4,1.2,1.9,50,11.9
89,Akeem Jordan,PHI,ILB,14,331,23.6,31.6,13.6,0,0,39.5,11.9
94,Stephen Tulloch,DET,ILB,16,1023,63.9,99,10.9,0,0.5,120.4,11.8
94,Derrick Morgan,TEN,OLB,16,914,57.1,81.1,6.5,0.7,2.4,108.1,11.8
94,Akeem Dent,ATL,OLB,16,498,31.1,48.7,13.1,0,0.2,59,11.8
94,Quincy Black,TB,LB,9,293,32.6,48.2,11.9,0,0,34.5,11.8
94,Darryl Sharpton,HOU,ILB,7,280,40,55.9,10,0,1.1,33,11.8
99,Miles Burris,OAK,OLB,16,869,54.3,84.3,11,0.2,0.9,102.1,11.7
100,Jasper Brinkley,MIN,ILB,16,847,52.9,75.2,11.8,0,0.2,98,11.6
100,O'Brien Schofield,ARI,OLB,9,490,54.4,81.9,6.9,0.8,1.8,56.7,11.6
100,Garrett McIntyre,NYJ,OLB,16,407,25.4,38.1,8.6,0.9,1.5,47.2,11.6
100,Colin McCarthy,TEN,ILB,7,385,55,36.6,9.9,0,0,44.5,11.6
104,James Anderson,CAR,ILB,12,520,43.3,49.5,14,0,0,60,11.5
105,Paris Lenon,ARI,ILB,16,1014,63.4,93.9,10.3,0.2,0.6,115.3,11.4
105,Olivier Vernon,MIA,OLB,16,431,26.9,38.6,7.4,0.8,1.9,49.1,11.4
107,Jared Allen,MIN,OLB,16,1049,65.6,93.1,4.4,1.1,2,118.3,11.3
107,Nick Barnett,BUF,ILB,16,999,62.4,91.9,11.2,0.2,0.1,113.3,11.3
107,Nick Roach,CHI,ILB,16,697,43.6,67.1,9.5,0.2,0.3,78.6,11.3
107,Keith Brooking,DEN,LB,16,453,28.3,42.3,11.9,0.2,0.2,51.3,11.3
107,Jovan Belcher,KC,LB,11,332,30.2,50.7,11.4,0,0,37.5,11.3
112,Ryan Kerrigan,WAS,OLB,16,1065,66.6,99.2,5.1,0.8,1.2,119.2,11.2
112,Tamba Hali,KC,OLB,15,919,61.3,97.5,5.5,1,1.5,102.7,11.2
114,Kevin Burnett,MIA,OLB,16,1073,67.1,96,10.3,0.2,0.5,119.1,11.1
114,Ahmad Brooks,SF,OLB,16,977,61.1,93.5,4.9,0.7,1.5,108,11.1
116,Takeo Spikes,LAC,LB,16,700,43.8,66.2,11.1,0.1,0.6,76,10.9
116,Nigel Bradham,BUF,OLB,16,395,24.7,36.3,14.4,0,0,43,10.9
