Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Denzel Perryman,LAC,ILB,14,386,27.6,38.5,18.9,0.5,0.8,82.8,21.5
2,Lamarr Houston,CHI,OLB,16,419,26.2,40.5,10,1.9,3.1,88.3,21.1
3,Wesley Woodyard,TEN,ILB,16,500,31.2,47.2,17.4,1,1.2,104.3,20.9
4,Phillip Hunt,NO,OLB,2,49,24.5,10.2,14.3,2,2,10.2,20.8
5,Luke Kuechly,CAR,ILB,13,766,58.9,69.6,15.4,0.1,0.7,148.5,19.4
6,Jasper Brinkley,NYG,ILB,15,420,28,36.7,16.2,0.2,0.2,81,19.3
7,Vontaze Burfict,CIN,OLB,10,466,46.6,68.6,15.9,0.2,0.9,89.5,19.2
8,Shaquil Barrett,DEN,OLB,16,496,31,45.7,10.1,1.1,2.4,91.4,18.4
8,AJ Klein,CAR,OLB,15,320,21.3,29.1,17.2,0.3,0.3,58.8,18.4
10,Demarcus Ware,DEN,OLB,11,403,36.6,37.1,6.2,1.9,4,73.75,18.3
11,John Timu,CHI,ILB,7,159,22.7,37.2,15.1,0,0,28.5,17.9
12,Dannell Ellerbe,NO,ILB,6,250,41.7,23.5,15.6,0,0.4,44.5,17.8
13,Ryan Shazier,PIT,ILB,12,667,55.6,60.4,13,0.5,1.2,115.45,17.3
14,Alec Ogletree,LAR,ILB,4,265,66.2,61.8,15.8,0.8,0.8,45.4,17.1
15,Jamie Collins,NE,OLB,12,778,64.8,71.1,11.4,0.7,0.9,132.25,17
15,Jordan Hicks,PHI,ILB,8,453,56.6,75.2,11,0.2,0.2,77.1,17
17,Khalil Mack,OAK,OLB,16,1005,62.8,87.2,7.7,1.5,2.4,168.9,16.8
18,Pernell McPhee,CHI,OLB,14,595,42.5,57.5,8.9,1,3,99.6,16.7
18,David Hawthorne,NO,OLB,11,222,20.2,20.9,15.3,0,0.5,37,16.7
20,Zach Brown,TEN,ILB,16,495,30.9,46.7,15.8,0.1,0.4,81.8,16.5
21,Lavonte David,TB,OLB,16,1093,68.3,99.5,13.4,0.3,0.5,178.7,16.3
22,Jeremiah Attaochu,LAC,OLB,15,668,44.5,66.7,8.2,0.9,2.5,107.9,16.2
22,Mychal Kendricks,PHI,OLB,13,628,48.3,51.6,13.7,0.5,1.1,101.6,16.2
24,Devin Unga,NYG,ILB,13,432,33.2,37.7,13.7,0,0.2,69.5,16.1
25,Telvin Smith,JAX,OLB,14,999,71.4,85.8,12.8,0.3,0.3,159.8,16
25,Sean Lee,DAL,OLB,14,814,58.1,77.2,15.7,0.3,0.4,130.6,16
25,Jerrell Freeman,IND,ILB,13,754,58,66.2,14.9,0.4,0.8,120.3,16
28,Thomas Davis,CAR,OLB,16,1004,62.8,91.2,10.5,0.5,1.2,159.4,15.9
28,Paul Posluszny,JAX,ILB,14,981,70.1,84.2,13.6,0.1,0.7,156,15.9
28,Stephen Tulloch,DET,ILB,16,727,45.4,69.8,14.7,0.1,0.6,115.3,15.9
28,Preston Smith,WAS,OLB,16,509,31.8,48.2,6.9,1.6,2,80.7,15.9
28,Ben Heeney,OAK,OLB,15,307,20.5,26.6,12.4,0.8,1,48.75,15.9
33,Danny Lansanah,TB,OLB,16,374,23.4,34,16.8,0.3,0.3,58.9,15.7
34,D'Qwell Jackson,IND,ILB,16,1091,68.2,95.8,13.7,0.3,0.3,170.7,15.6
34,Bruce Carter,TB,ILB,14,309,22.1,28.1,16.8,0.6,0.6,48.3,15.6
36,Craig Robertson,CLE,ILB,12,383,31.9,36.6,16.4,0,0.5,59,15.4
37,Danny Trevathan,DEN,ILB,15,740,49.3,68.2,14.9,0,0.3,113,15.3
38,Deone Bucannon,ARI,OLB,16,996,62.2,95.2,11.2,0.3,0.6,151.3,15.2
39,Rolando McClain,DAL,ILB,11,638,58,81.4,12.5,0.3,0.8,96.1,15.1
40,Benardrick McKinney,HOU,ILB,14,412,29.4,39.6,15.3,0.2,0.5,61.6,15
41,Von Miller,DEN,OLB,16,839,52.4,77.3,4.2,1.3,3.8,125.3,14.9
