Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Sean Lee,DAL,OLB,11,625,56.8,60.4,16.2,0,0.2,106.5,17
1,Jerrell Freeman,CHI,ILB,1,56,56,7.7,17.9,0,0,9.5,17
3,Martrell Spaight,WAS,OLB,15,414,27.6,37.7,17.9,0,0.2,69.5,16.8
4,Vince Williams,PIT,ILB,16,738,46.1,75.1,12.1,1.1,1.9,123.5,16.7
5,Telvin Smith,JAX,OLB,14,851,60.8,82.1,12,0.1,0.2,139.5,16.4
5,Jake Ryan,GB,ILB,15,507,33.8,48.1,16,0.2,0.2,83,16.4
7,Ryan Shazier,PIT,ILB,12,672,56,83.7,13.2,0,0.3,109.5,16.3
8,Bobby Wagner,SEA,ILB,16,1026,64.1,93.2,12.9,0.1,1.2,166,16.2
8,Lavonte David,TB,OLB,13,817,62.8,76.7,12.2,0,0.4,132.5,16.2
10,Zach Brown,WAS,ILB,13,834,64.2,75.9,15.2,0.3,0.6,134,16.1
11,Calvin Munson,NYG,ILB,14,388,27.7,35.2,14.7,0.5,0.5,62,16
12,Blake Martinez,GB,ILB,16,982,61.4,93.3,14.8,0.1,0.2,156,15.9
12,Luke Kuechly,CAR,ILB,15,920,61.3,91.9,13.6,0.2,0.5,146.5,15.9
14,Ramon Humber,BUF,OLB,13,568,43.7,51.4,15.3,0.2,0.5,90,15.8
14,Nick Kwiatkoski,CHI,ILB,11,382,34.7,36.2,13.4,0.5,0.8,60.5,15.8
16,Adarius Taylor,TB,OLB,14,285,20.4,30.3,10.5,0.4,0.7,44.5,15.6
17,Anthony Hitchens,DAL,ILB,12,547,45.6,52.9,15.4,0,0.4,85,15.5
18,CJ Mosley,BAL,ILB,16,1078,67.4,98.7,12.3,0.1,0.4,166.5,15.4
