Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Chris Borland,SF,ILB,14,476,34,53.2,22.5,0.2,0.2,118.2,24.8
2,Devon Kennard,NYG,OLB,12,333,27.8,31.6,12.9,1.4,1.2,72.7,21.8
3,Stephen Tulloch,DET,ILB,3,138,46,76.7,14.5,1.4,1.4,29.7,21.5
4,Cordarro Law,LAC,OLB,3,74,24.7,10,12.2,1.4,1.4,15.2,20.5
5,Bruce Carter,DAL,ILB,13,521,40.1,51.2,13.1,0.2,0.6,96.9,18.6
6,Justin Durant,DAL,ILB,6,324,54,67.2,15.1,0,0,58,17.9
7,Lavonte David,TB,OLB,14,919,65.6,84,15.8,0.1,0.3,163.4,17.8
8,Justin Houston,KC,OLB,16,1032,64.5,97.5,6.6,2.1,2.4,182.4,17.7
9,Danny Lansanah,TB,OLB,16,632,39.5,57.8,12.8,0.2,0.3,110.2,17.4
10,James Harrison,PIT,LB,11,432,39.3,54.5,10.4,1.3,3.2,73.5,17
11,Luke Kuechly,CAR,ILB,16,989,61.8,96.2,15.5,0.3,0.4,166.9,16.9
12,Jerod Mayo,NE,ILB,6,332,55.3,86.9,16,0.3,0.6,55.9,16.8
13,Bobby Wagner,SEA,ILB,11,658,59.8,67.8,15.8,0.3,0.9,109.8,16.7
14,Jonathan Newsome,IND,OLB,16,391,24.4,37.4,7.2,1.7,2.3,64.7,16.5
15,DeAndre Levy,DET,OLB,16,1045,65.3,100,14.4,0.2,0.4,171.3,16.4
16,Telvin Smith,JAX,OLB,16,706,44.1,63,14.7,0.3,0.1,114.8,16.3
17,D'Qwell Jackson,IND,ILB,16,989,61.8,94.6,14.2,0.4,0.5,158.9,16.1
18,Jasper Brinkley,MIN,ILB,16,460,28.8,42.5,16.3,0.2,0.2,73.5,16
19,Jamie Collins,NE,OLB,15,925,61.7,85.3,12.4,0.4,0.8,147.5,15.9
19,Sam Barrington,GB,ILB,14,355,25.4,32.5,14.6,0.3,1.1,56.4,15.9
21,Kavell Conner,LAC,ILB,16,348,21.8,33.3,20.1,0.3,0,55.1,15.8
22,Brandon Marshall,DEN,ILB,14,870,62.1,81.2,13,0.2,0.2,136.7,15.7
22,Pernell McPhee,BAL,OLB,16,515,32.2,48,5.2,1.5,4.1,81,15.7
22,Joplo Bartu,ATL,ILB,16,485,30.3,44.8,17.1,0.2,0.2,76.2,15.7
22,Vontaze Burfict,CIN,OLB,5,217,43.4,22.8,13.4,0,0.9,34,15.7
26,Rolando McClain,DAL,ILB,13,633,48.7,62.2,12.8,0.2,0.5,99,15.6
27,Mark Herzlich,NYG,ILB,15,313,20.9,29.7,16.6,0.3,0.3,48.2,15.4
28,Sio Moore,OAK,ILB,11,698,63.5,72,12.9,0.4,0.6,107.1,15.3
29,Clay Matthews,GB,OLB,16,898,56.1,82.2,6.8,1.2,2.4,136.8,15.2
29,Gerald Hodges,MIN,OLB,14,503,35.9,46.5,12.9,0.1,0.4,76.7,15.2
29,Christian Jones,CHI,OLB,16,433,27.1,41.6,15.9,0.5,0.7,65.9,15.2
32,Ryan Kerrigan,WAS,OLB,16,975,60.9,94.6,6.6,1.4,1.7,147.5,15.1
32,Craig Robertson,CLE,ILB,16,662,41.4,56.9,15,0,0.5,100,15.1
34,Von Miller,DEN,OLB,16,910,56.9,85,6.5,1.5,3,136.9,15
34,Darryl Sharpton,CHI,ILB,5,103,20.6,16,14.6,0,1.9,15.5,15
