Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Ray Ray Armstrong,SF,ILB,2,69,34.5,6,11.6,0,0,16.5,23.9
2,NaVorro Bowman,SF,ILB,4,252,63,22,13.9,0.4,0.8,46.3,18.4
3,Nathan Stupar,NO,ILB,16,376,23.5,35.8,14.9,0.3,0.3,67.5,18
4,Luke Kuechly,CAR,ILB,10,655,65.5,61.3,15.6,0.3,0.6,115.6,17.6
5,Khalil Mack,OAK,OLB,16,949,59.3,90.5,7.7,1.2,2.8,165.7,17.5
5,Vontaze Burfict,CIN,OLB,11,674,61.3,62.3,15,0.3,0.6,117.8,17.5
7,Nick Perry,GB,OLB,14,606,43.3,58.7,8.6,1.8,2.6,104.05,17.2
7,Sio Moore,ARI,ILB,8,412,51.5,46.8,15.8,0,0.5,71,17.2
9,Justin Houston,KC,OLB,5,295,59,26.4,7.5,1.5,2.4,50.5,17.1
10,Kwon Alexander,TB,ILB,16,1022,63.9,96.3,14.2,0.3,0.7,174.2,17
11,Jatavis Brown,LAC,OLB,12,599,49.9,56.6,13.4,0.6,0.3,100.2,16.7
12,Mason Foster,WAS,ILB,16,770,48.1,70.3,16.2,0.1,0.6,128,16.6
12,Neville Hewitt,MIA,ILB,16,353,22.1,30.6,17.3,0.3,0.3,58.5,16.6
14,Lorenzo Alexander,BUF,OLB,16,788,49.2,73.4,8.9,1.6,2.5,130.3,16.5
14,Denzel Perryman,LAC,ILB,12,484,40.3,45.7,14.5,0.4,0.4,79.8,16.5
14,Elandon Roberts,NE,LB,13,270,20.8,26.3,17,0,1.1,44.5,16.5
17,Zach Brown,BUF,ILB,16,980,61.2,91.2,15,0.4,0.7,161.2,16.4
18,Ryan Shazier,PIT,ILB,13,771,59.3,73.8,11.3,0.5,0.9,126,16.3
18,Gerald Hodges,SF,OLB,15,583,38.9,50.8,14.4,0.5,0.7,95,16.3
20,Ramik Wilson,KC,ILB,11,523,47.5,66.1,14.7,0,0,84.5,16.2
21,Spencer Paysinger,MIA,OLB,15,333,22.2,28.9,16.5,0,0.6,53.5,16.1
22,Bobby Wagner,SEA,ILB,16,1072,67,99.4,15.8,0.4,1.5,170.6,15.9
22,Blake Martinez,GB,ILB,13,438,33.7,42.4,15.8,0.2,0.2,69.5,15.9
24,Matt Judon,BAL,OLB,14,308,22,29.6,8.8,1.3,3.2,47.8,15.5
25,Von Miller,DEN,OLB,16,933,58.3,81.8,8.3,1.3,2.5,143.7,15.4
26,Benardrick McKinney,HOU,ILB,16,920,57.5,92.4,14,0.5,1.2,140.3,15.2
27,Eric Kendricks,MIN,ILB,15,869,57.9,84.3,12.5,0.3,0.5,131,15.1
28,Karlos Dansby,CIN,ILB,16,781,48.8,72.2,14.6,0.1,0.4,115.5,14.8
28,Shane Ray,DEN,OLB,16,666,41.6,58.4,7.2,1.2,2.9,98.25,14.8
30,Deion Jones,ATL,ILB,15,896,59.7,80.6,11.8,0,0.1,131.5,14.7
30,Jake Ryan,GB,ILB,14,558,39.9,54.1,14.5,0,0.5,82,14.7
32,Zach Orr,BAL,ILB,15,961,64.1,92.3,13.7,0,0.1,140,14.6
33,James Harrison,PIT,LB,15,587,39.1,56.2,9.4,0.9,1.4,85,14.5
34,Jerrell Freeman,CHI,ILB,12,806,67.2,75,13.8,0,0.2,116,14.4
34,Korey Toomer,LAC,ILB,13,544,41.8,63.3,13.1,0.2,0.6,78.5,14.4
36,Justin Durant,DAL,ILB,13,280,21.5,26.5,13.2,0.4,0.7,40,14.3
36,Pernell McPhee,CHI,OLB,9,274,30.4,25.5,5.8,1.5,2.9,39.3,14.3
38,Leonard Floyd,CHI,OLB,12,537,44.8,50,6.1,1.3,1.7,76.25,14.2
38,Dannell Ellerbe,NO,ILB,9,444,49.3,42.2,9.9,0.9,1.8,63,14.2
40,Sean Lee,DAL,OLB,15,976,65.1,92.5,14.8,0,0.2,137.5,14.1
41,Alec Ogletree,LAR,ILB,16,1089,68.1,100,12.4,0,0.3,152,14
41,Anthony Chickillo,PIT,OLB,15,316,21.1,30.2,8.9,0.8,2.2,44.2,14
43,Bud Dupree,PIT,OLB,7,318,45.4,30.4,7.2,1.3,1.6,44,13.8
44,Telvin Smith,JAX,OLB,16,1048,65.5,97.4,11.4,0.1,0.2,143.5,13.7
44,Lavonte David,TB,OLB,16,1041,65.1,98.1,8.4,0.5,0.8,142.7,13.7
44,Lawrence Timmons,PIT,OLB,16,950,59.4,90.9,12,0.3,1.1,130.6,13.7
44,Shaq Thompson,CAR,OLB,14,535,38.2,50,10.3,0,0.4,73.5,13.7
44,Sean Weatherspoon,ATL,ILB,4,190,47.5,17.1,14.2,0,0,26,13.7
49,Terrell Suggs,BAL,OLB,15,695,46.3,66.8,5,1.2,2.4,94.7,13.6
49,Vincent Rey,CIN,OLB,16,592,37,54.8,14.5,0,0,80.5,13.6
51,Jadeveon Clowney,HOU,OLB,14,740,52.9,74.3,7,0.8,2.3,99.6,13.5
51,Todd Davis,DEN,ILB,16,700,43.8,61.4,13.9,0.1,0.6,94.75,13.5
51,Jarvis Jones,PIT,OLB,14,474,33.9,45.4,8.9,0.2,1.1,64,13.5
51,Kemal Ishmael,ATL,OLB,13,310,23.8,27.9,16.8,0,0,42,13.5
55,Thomas Davis,CAR,OLB,16,1008,63,94.3,10.5,0.2,0.5,135.5,13.4
56,Justin March,KC,OLB,5,162,32.4,14.5,13.6,0,0,21.5,13.3
57,Christian Kirksey,CLE,OLB,16,1112,69.5,99.9,13.1,0.2,0.6,146.3,13.2
57,Jamie Collins,CLE,OLB,15,980,65.3,88.8,11.3,0.3,0.6,129.3,13.2
57,Tahir Whitehead,DET,OLB,15,934,62.3,90.9,14.1,0,0,123.5,13.2
