Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
144,Deandre Carter,PHI,WR,5,2,2,100,21,0,11,10.5,10.5,0,0,0,0,1,0,0.4,2.1
145,Darius Jennings,TEN,WR,6,4,3,75,19,0,7,4.8,6.3,0,0,0,0,0,0,0.3,1.9
146,Terrance Williams,DAL,WR,3,3,2,66.7,18,0,12,6,9,0,0,0,0,0,0,0.6,1.8
146,Brian Quick,WAS,WR,4,3,3,100,18,0,6,6,6,0,0,0,0,0,0,0.4,1.8
148,Dwayne Harris,OAK,WR,5,3,3,100,18,0,7,6,6,1,-1,-1,0,1,0,0.3,1.7
149,Tim White,BAL,WR,3,1,1,100,14,0,14,14,14,0,0,0,0,1,0,0.5,1.4
149,Khadarel Hodge,LAR,WR,3,1,1,100,14,0,14,14,14,0,0,0,0,0,0,0.5,1.4
151,Sammie Coates,HOU,WR,4,2,1,50,12,0,12,6,12,0,0,0,0,0,0,0.3,1.2
151,Josh Malone,CIN,WR,6,4,1,25,12,0,12,3,12,0,0,0,0,0,0,0.2,1.2
153,Rishard Matthews,TEN,WR,3,6,3,50,11,0,4,1.8,3.7,0,0,0,0,0,0,0.4,1.1
154,Justin Hardee,NO,WR,5,1,1,100,10,0,10,10,10,0,0,0,0,0,0,0.2,1
154,TJ Jones,DET,WR,5,5,2,40,10,0,6,2,5,0,0,0,0,0,0,0.2,1
154,J'mon Moore,GB,WR,3,1,1,100,10,0,10,10,10,0,0,0,0,0,0,0.3,1
154,Victor Bolden Jr.,SF,WR,2,4,1,25,10,0,10,2.5,10,0,0,0,0,0,0,0.5,1
158,Russell Gage,ATL,WR,5,1,1,100,9,0,9,9,9,0,0,0,0,0,0,0.2,0.9
159,Jeremy Kerley,BUF,WR,1,4,2,50,7,0,4,1.8,3.5,0,0,0,0,0,0,0.7,0.7
159,Marcus Kemp,KC,WR,6,1,1,100,7,0,7,7,7,0,0,0,0,0,0,0.1,0.7
159,Richie James,SF,WR,3,1,1,100,7,0,7,7,7,0,0,0,0,0,0,0.2,0.7
162,Justin Hunter,PIT,WR,3,6,1,16.7,6,0,6,1,6,0,0,0,0,0,0,0.2,0.6
162,Andre Roberts,NYJ,WR,6,2,1,50,4,0,4,2,4,1,2,2,0,0,0,0.1,0.6
164,Mike Wallace,PHI,WR,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Markus Wheaton,PHI,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Deante Burton,GB,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Matthew Slater,NE,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Darrius Heyward-Bey,PIT,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Freddie Martino,TB,WR,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Damiere Byrd,CAR,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Tommylee Lewis,NO,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Tanner McEvoy,MIA,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Jaydon Mickens,JAX,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
164,Stacy Coley,NYG,WR,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
164,Brandon Zylstra,MIN,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Trey Quinn,WAS,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Trent Sherfield,ARI,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Cam Sims,WAS,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Janarion Grant,BAL,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
164,Kevin White,CHI,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Robert Tonyan Jr.,GB,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Brandon LaFell,OAK,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Bradley Marquez,DET,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Pharoh Cooper,LAR,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Charone Peake,NYJ,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Mike Thomas,LAR,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Keon Hatcher,OAK,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Jehu Chesson,WAS,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Geremy Davis,LAC,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Jojo Natson,LAR,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Keenan Reynolds,SEA,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Daniel Brown,CHI,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Cody Core,CIN,WR,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Dan Arnold,NO,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Justin Watson,TB,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Javon Wims,CHI,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Brice Butler,DAL,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Nick Williams,TEN,WR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Brandon Tate,NO,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
164,Cayleb Jones,MIN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Michael Floyd,WAS,WR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Cameron Batson,TEN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Ray-Ray McCloud,BUF,WR,4,3,3,100,15,0,7,5,5,1,-3,-3,0,2,1,-0.2,-0.8
204,Rod Streater,CLE,WR,3,0,0,0,0,0,0,0,0,1,-11,-11,0,0,0,-0.4,-1.1
205,Kaelin Clay,NYG,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-2
205,Riley McCarron,NE,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,-2
205,JJ Jones,LAC,WR,3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,-0.7,-2
