Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Keith Tandy,TB,FS,16,404,25.2,38.1,13.9,0,0,75.5,18.7
2,Daniel Sorensen,KC,FS,16,540,33.8,48.3,10.7,0.2,0.6,99.3,18.4
3,Trovon Reed,LAC,CB,6,123,20.5,30.9,9.8,0,0,21,17.1
4,Landon Collins,NYG,SS,16,1105,69.1,99.5,11.3,0.4,0.5,173.5,15.7
5,Justin Simmons,DEN,FS,13,296,22.8,26,9.8,0.3,0.3,44.9,15.2
6,Jacoby Glenn,CHI,CB,7,244,34.9,49.6,10.7,0,0,36.5,15
7,Su'a Cravens,WAS,SS,11,297,27,27.1,11.4,0.3,0.7,43.4,14.6
8,Tavon Wilson,DET,SS,15,708,47.2,68.9,12.4,0.1,0.1,98.5,13.9
9,Blake Countess,LAR,SS,5,141,28.2,29.6,13.5,0.7,1.4,19.5,13.8
10,Tony Jefferson,ARI,SS,15,928,61.9,86.4,10.3,0.2,0.4,123.7,13.3
11,Brandon Flowers,LAC,CB,6,351,58.5,33.1,8,0,0,46,13.1
12,Barry Church,DAL,SS,12,674,56.2,63.9,12.6,0,0.3,87,12.9
12,Phillip Gaines,KC,CB,11,450,40.9,40.3,9.6,0,0,58,12.9
14,Kenny Vaccaro,NO,SS,11,724,65.8,68.9,9.5,0.1,1.1,93,12.8
14,Nat Berhe,NYG,FS,7,164,23.4,14.8,12.8,0,0,21,12.8
16,Rontez Miles,NYJ,FS,16,394,24.6,38,13.2,0,0.5,50,12.7
17,Dominique Rodgers-Cromartie,NYG,CB,15,733,48.9,66,6.7,0.1,0.1,92,12.6
17,David Bruton,WAS,SS,4,235,58.8,32.2,11.9,0.4,0.4,29.7,12.6
19,Bashaud Breeland,WAS,CB,14,764,54.6,69.7,9.6,0.1,0.1,94.5,12.4
20,Keanu Neal,ATL,SS,14,920,65.7,82.8,11.3,0,0,113,12.3
20,Rafael Bush,DET,S,16,501,31.3,48.8,10.2,0.2,0.2,61.4,12.3
20,Reshad Jones,MIA,SS,6,431,71.8,37.4,11.8,0.1,0,53.05,12.3
20,Jude Adjei-Barimah,TB,CB,10,290,29,27.3,7.6,0.7,0.7,35.6,12.3
24,Logan Ryan,NE,CB,16,897,56.1,87.3,10.3,0.1,0.3,109.5,12.2
25,Jonathan Cyprien,JAX,SS,16,1070,66.9,99.4,12,0.1,0.2,130,12.1
25,Briean Boddy-Calhoun,CLE,SS,14,571,40.8,51.3,7.4,0.2,0.2,69,12.1
27,Sean Davis,PIT,FS,15,740,49.3,70.8,9.6,0.3,0.5,88.5,12
28,Jahleel Addae,LAC,FS,8,511,63.9,48.3,9.4,0,0,61,11.9
28,Michael Jordan,LAR,CB,5,177,35.4,42.4,11.3,0,0,21,11.9
30,Morgan Burnett,GB,SS,15,948,63.2,91.9,9.5,0.3,0.4,110.3,11.6
31,Marcus Cooper,ARI,CB,15,827,55.1,77,8.3,0,0,95,11.5
31,Antwon Blake,TEN,CB,16,364,22.8,34,11.5,0,0,41.8,11.5
31,Darryl Morris,IND,CB,11,360,32.7,48.9,9.7,0,0.6,41.5,11.5
31,Darqueze Dennard,CIN,CB,15,334,22.3,30.9,13.5,0,0.3,38.5,11.5
31,Troy Hill,LAR,CB,11,335,30.5,41.5,11.6,0,0,38.5,11.5
36,Kurt Coleman,CAR,SS,15,995,66.3,93.1,9.6,0.1,0.2,113,11.4
36,TJ Ward,DEN,SS,14,988,70.6,86.7,8.8,0.1,0.5,112.8,11.4
36,Kam Chancellor,SEA,SS,12,731,60.9,67.7,11.1,0,0,83.5,11.4
36,Chris Conte,TB,FS,14,713,50.9,67.2,9.3,0,0,81,11.4
36,Clayton Geathers,IND,SS,9,561,62.3,52.1,10.5,0,0,64,11.4
36,Ken Crawley,NO,CB,15,503,33.5,47.9,8.5,0,0,57.5,11.4
36,Quandre Diggs,DET,SS,12,420,35,40.9,10.5,0,0.2,48,11.4
36,Leon Hall,NYG,CB,12,383,31.9,34.5,8.4,0.5,0.8,43.6,11.4
36,Michael Griffin,CAR,SS,13,285,21.9,32,13.7,0,0,32.5,11.4
45,Quintin Demps,HOU,SS,13,698,53.7,70.1,7.9,0,0.1,79,11.3
45,Trae Waynes,MIN,CB,15,579,38.6,56.2,8.6,0,0,65.5,11.3
45,Tyvon Branch,ARI,SS,6,270,45,25.1,10.4,0,0.4,30.5,11.3
48,Leodis McKelvin,PHI,CB,13,587,45.2,57.6,7.3,0,0,65.5,11.2
49,Damarious Randall,GB,SS,10,497,49.7,48.2,8,0,0,55,11.1
50,AJ Bouye,HOU,CB,15,725,48.3,72.8,8.7,0.1,0.1,80.1,11
50,Karl Joseph,OAK,SS,12,593,49.4,56.5,10.1,0,0,65,11
50,Jalen Collins,ATL,CB,8,424,53,38.2,7.3,0,0,46.5,11
53,Xavier Rhodes,MIN,CB,14,786,56.1,76.2,6.6,0,0,85.5,10.9
53,Harold Jones-Quartey,CHI,SS,16,731,45.7,68.1,10.5,0,0,79.5,10.9
53,Jimmie Ward,SF,CB,11,668,60.7,58.2,7.8,0.1,0.1,73,10.9
56,Harrison Smith,MIN,FS,14,893,63.8,86.6,10.2,0.2,0.3,96.6,10.8
56,DJ Swearinger,ARI,FS,16,837,52.3,77.9,7.9,0.2,0.5,90,10.8
58,Brad McDougald,TB,SS,16,1012,63.2,95.4,9.1,0,0,108,10.7
58,Donte Whitner,WAS,SS,11,566,51.5,68.9,11.7,0,0,60.5,10.7
60,EJ Gaines,LAR,CB,11,613,55.7,56.3,9.1,0,0.2,65,10.6
60,Darius Butler,IND,FS,12,472,39.3,43.8,7,0,0.2,50,10.6
60,Travis Carrie,OAK,CB,16,325,20.3,31,7.4,0,0,34.5,10.6
63,Shawn Williams,CIN,SS,15,912,60.8,84.4,8.9,0.1,0.9,95.4,10.5
63,Vonn Bell,NO,SS,16,891,55.7,84.8,9.8,0.1,0.4,94,10.5
63,Daryl Worley,CAR,CB,16,866,54.1,81,10.2,0.1,0.1,91.2,10.5
63,Kareem Jackson,HOU,SS,14,724,51.7,72.7,8.6,0,0,76,10.5
63,Orlando Scandrick,DAL,CB,12,643,53.6,60.9,7.2,0.3,0.3,67.7,10.5
68,Antoine Bethea,SF,FS,16,1126,70.4,98.2,9.8,0,0.1,117.5,10.4
68,Lamarcus Joyner,LAR,FS,14,699,49.9,64.2,9.4,0.1,0.3,73,10.4
68,Robert McClain,LAC,CB,14,326,23.3,32.4,11.7,0.2,0.3,33.9,10.4
71,Casey Hayward,LAC,CB,16,986,61.6,93.1,5.9,0,0,101.5,10.3
71,Jason McCourty,TEN,CB,14,813,58.1,75.9,8.5,0,0,84,10.3
73,Nickell Robey,BUF,CB,16,573,35.8,53.4,5.4,0,0,58.5,10.2
73,Marcus Williams,NYJ,CB,13,457,35.2,44.1,7.2,0.2,0.2,46.5,10.2
75,Eric Berry,KC,FS,16,1085,67.8,97,7.1,0,0,110,10.1
75,Artie Burns,PIT,CB,16,810,50.6,77.5,8,0,0,81.5,10.1
75,Rashaan Melvin,IND,CB,15,655,43.7,60.8,9,0,0,66,10.1
75,Duke Ihenacho,WAS,FS,15,636,42.4,58,9.9,0,0.2,64,10.1
75,Trevin Wade,NYG,CB,16,355,22.2,32,7.3,0,0,36,10.1
75,Keith Reaser,SF,CB,15,353,23.5,30.8,7.4,0,0.3,35.5,10.1
81,Terrance Mitchell,KC,CB,7,240,34.3,37.4,7.9,0,0,24,10
81,Devante Bausby,CHI,CB,4,115,28.8,24.4,10.4,0,0,11.5,10
83,Kevin Byard,TEN,FS,16,655,40.9,61.2,9,0.2,0.8,65,9.9
83,Daimion Stafford,TEN,SS,15,614,40.9,57.3,8.5,0.2,0.3,61,9.9
83,Demontre Hurst,CHI,SS,10,223,22.3,34.3,5.8,0.4,0.4,22,9.9
86,Eric Weddle,BAL,FS,16,1030,64.4,98.9,8.6,0.1,0.1,101,9.8
86,Malcolm Jenkins,PHI,SS,16,1019,63.7,100,7,0.1,0.3,100,9.8
86,Bradley Roby,DEN,CB,16,691,43.2,60.6,5.6,0.1,0,67.5,9.8
86,PJ Williams,NO,CB,2,82,41,7.8,8.5,0,0,8,9.8
90,Rodney McLeod,PHI,FS,16,1014,63.4,99.5,8,0.1,0,98.7,9.7
90,Byron Maxwell,MIA,CB,13,846,65.1,73.4,6.3,0,0,82,9.7
90,Michael Thomas,MIA,SS,16,572,35.8,49.6,9.4,0.2,0.5,55.4,9.7
90,Jordan Poyer,CLE,FS,6,354,59,31.8,11,0,0,34.5,9.7
94,Ha'Sean Clinton-Dix,GB,FS,16,1031,64.4,99.9,7.7,0,0.1,98.5,9.6
94,Malcolm Butler,NE,CB,16,1007,62.9,98.1,6.3,0.1,0.1,96.5,9.6
94,Brent Grimes,TB,CB,16,997,62.3,94,5.7,0,0,96,9.6
94,Byron Jones,DAL,CB,16,985,61.6,93.4,8.7,0,0,94.5,9.6
94,DeShawn Shead,SEA,CB,15,918,61.2,85.1,8.8,0,0,88,9.6
94,Eric Reid,SF,SS,10,743,74.3,64.8,8.3,0,0.5,71,9.6
94,Darius Slay,DET,CB,13,731,56.2,71.2,6,0.1,0.1,70.2,9.6
94,Perrish Cox,TEN,CB,11,623,56.6,77.1,6.7,0,0,59.5,9.6
94,Jaquiski Tartt,SF,SS,15,615,41,53.6,9.4,0.2,0.5,59,9.6
94,James Ihedigbo,BUF,SS,4,146,36.5,30.7,10.3,0,0,14,9.6
104,Ronald Darby,BUF,CB,14,824,58.9,76.7,8.4,0,0.1,78.5,9.5
104,Jalen Mills,PHI,CB,16,661,41.3,64.9,9.2,0,0,63,9.5
104,DJ Hayden,OAK,CB,11,477,43.4,45.5,7.8,0,0,45.5,9.5
107,Mike Adams,IND,FS,15,998,66.5,92.7,7.9,0,0.2,94,9.4
107,Eli Apple,NYG,CB,14,701,50.1,63.2,7.3,0,0,66,9.4
107,Cre'von Leblanc,CHI,CB,13,695,53.5,64.7,6.3,0,0.1,65,9.4
107,Bobby McCain,MIA,CB,16,620,38.8,53.8,7.4,0.2,0.3,58.1,9.4
107,Ibraheim Campbell,CLE,SS,14,419,29.9,37.6,11.2,0,0.2,39.5,9.4
107,Steve Williams,LAR,CB,6,218,36.3,31.9,8.7,0,0,20.5,9.4
113,Brian Poole,ATL,CB,16,835,52.2,75.2,7.1,0.1,0.2,77.5,9.3
113,Micah Hyde,GB,SS,16,821,51.3,79.6,6.9,0.1,0.2,76.1,9.3
113,JJ Wilcox,DAL,SS,13,557,42.8,52.8,8.8,0,0,52,9.3
113,Da'Norris Searcy,TEN,SS,14,555,39.6,51.8,7.2,0,0,51.5,9.3
113,Trevor Williams,LAC,CB,12,389,32.4,49.4,7.5,0,0,36,9.3
113,Aaron Williams,BUF,SS,7,339,48.4,31.6,5.9,0,0,31.5,9.3
119,Janoris Jenkins,NYG,CB,15,956,63.7,86.1,5.1,0.1,0.1,88,9.2
119,Kevin Johnson,HOU,CB,6,289,48.2,29,8.7,0,0,26.5,9.2
119,Darryl Roberts,NYJ,CB,12,284,23.7,27.4,7.4,0,0,26,9.2
122,Jairus Byrd,NO,FS,16,893,55.8,85,9.2,0,0,81.5,9.1
122,James Bradberry,CAR,CB,13,798,61.4,74.6,7.4,0,0,72.5,9.1
122,Morris Claiborne,DAL,CB,7,406,58,38.5,6.4,0,0,37,9.1
125,Josh Norman,WAS,CB,16,1059,66.2,96.6,6.3,0,0.1,95.5,9
125,Jerraud Powers,BAL,CB,13,508,39.1,48.8,6.5,0.2,0.2,45.5,9
125,TJ Green,IND,FS,15,479,31.9,44.5,9.2,0,0.6,43,9
128,Marcus Peters,KC,CB,15,1010,67.3,90.3,4.5,0,0,90,8.9
128,Tyrann Mathieu,ARI,FS,10,560,56,52.1,6.2,0.2,0.2,50,8.9
130,Devin McCourty,NE,FS,16,1021,63.8,99.4,8.1,0,0,90,8.8
130,Isa Abdul-Quddus,MIA,FS,15,951,63.4,82.5,8.2,0.1,0.5,83.5,8.8
130,Shareece Wright,BAL,CB,12,673,56.1,64.6,7.4,0,0,59,8.8
133,Jalen Ramsey,JAX,CB,16,1059,66.2,98.4,6.1,0,0.1,92,8.7
133,Reggie Nelson,OAK,FS,16,1049,65.6,100,6.2,0,0.1,91.5,8.7
133,Corey Graham,BUF,FS,16,1055,65.9,98.2,8.1,0.1,0.1,91.4,8.7
133,Steven Nelson,KC,CB,15,1012,67.5,90.5,6.4,0,0.1,88,8.7
133,Tre Boston,CAR,S,15,840,56,78.6,6.3,0.2,0.5,72.9,8.7
