Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Dimitri Patterson,MIA,CB,6,237,39.5,26,8,0.4,0.4,41,17.3
2,Dre Kirkpatrick,CIN,CB,14,302,21.6,28.3,9.9,0.3,0.3,49.6,16.4
3,Tyvon Branch,OAK,SS,2,64,32,7.3,7.8,1.6,3.1,9.7,15.2
4,Charles Tillman,CHI,CB,8,432,54,76.3,9.7,0,0,64.5,14.9
5,Barry Church,DAL,SS,16,1018,63.6,89.3,13.3,0,0.1,150,14.7
5,Brandon Boykin,PHI,CB,16,616,38.5,52.2,7.6,0,0.3,90.5,14.7
7,Reed Doughty,WAS,FS,15,407,27.1,39.9,19.7,0,0,59.5,14.6
8,Terrell Thomas,NYG,CB,16,568,35.5,50.4,11.8,0.2,0,80.5,14.2
9,Antonio Allen,NYJ,FS,16,535,33.4,48.5,11.2,0.2,0.2,75.2,14.1
10,Corey Graham,BAL,FS,16,687,42.9,63.8,10.8,0.1,0.3,95.5,13.9
11,Da'Norris Searcy,BUF,SS,16,729,45.6,63.7,9.7,0.5,0.5,100.4,13.8
11,Robert McClain,ATL,CB,16,575,35.9,55.2,11.3,0.2,0.5,79.4,13.8
11,Micah Hyde,GB,SS,16,418,26.1,39.8,13.2,0.2,0,57.5,13.8
14,Eric Berry,KC,FS,15,1010,67.3,91.3,7.2,0.3,0.8,138.1,13.7
14,Charles Godfrey,CAR,SS,2,112,56,80,8.9,0.9,0.9,15.3,13.7
16,Nickell Robey,BUF,CB,16,610,38.1,53.3,6.4,0.5,1,81.8,13.4
17,Eric Weddle,LAC,FS,16,993,62.1,100,11.6,0.1,0.2,125.5,12.6
18,Marcus Cooper,KC,CB,16,645,40.3,58.3,6.8,0,0,80.5,12.5
19,DeAngelo Hall,WAS,FS,16,997,62.3,97.6,7.8,0,0,123.5,12.4
19,Delano Howell,IND,FS,6,206,34.3,28.9,9.2,0,0,25.5,12.4
21,TJ Ward,CLE,SS,16,1114,69.6,96.9,10.1,0.1,0.2,136.7,12.3
21,Tyrann Mathieu,ARI,FS,13,779,59.9,88,8.7,0.1,0.4,95.5,12.3
21,Harrison Smith,MIN,FS,8,527,65.9,91.5,11,0,0,65,12.3
24,Josh Wilson,WAS,CB,16,966,60.4,94.6,9.5,0.2,0.5,117.4,12.2
24,Darius Butler,IND,FS,16,693,43.3,65.7,7.8,0,0.1,84.5,12.2
24,Logan Ryan,NE,CB,16,600,37.5,52.3,5.8,0.2,0.3,73.4,12.2
27,Walter Thurmond,SEA,S,12,469,39.1,60.8,6.8,0.2,0.4,56.6,12.1
28,Mike Mitchell,CAR,SS,15,899,59.9,88.7,7.5,0.4,0.7,106.6,11.9
28,Chris Crocker,CIN,SS,12,508,42.3,58.6,7.1,0.3,0.2,60.6,11.9
30,Antrel Rolle,NYG,SS,16,1124,70.2,99.7,8.7,0.2,0.1,133.1,11.8
