Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Bradley Fletcher,NE,CB,2,68,34,33.7,14.7,0,0,15,22.1
2,Marcus Williams,NYJ,CB,13,286,22,27.1,9.4,0.5,0.7,58.15,20.3
3,Tyrann Mathieu,ARI,FS,14,887,63.4,98.3,10,0.1,0.3,142.4,16.1
4,Reshad Jones,MIA,SS,16,1120,70,97.7,12.1,0.2,0.2,174.8,15.6
4,Trumaine McBride,NYG,CB,15,342,22.8,29.9,7.6,0,0,53.5,15.6
6,Quinten Rollins,GB,CB,14,323,23.1,30.7,9.6,0.3,0.3,49.6,15.4
7,Tyvon Branch,KC,SS,16,428,26.8,39.4,10.5,0.2,0.2,64.6,15.1
7,Dion Bailey,NYJ,SS,7,154,22,15.7,14.3,0.3,0.6,23.25,15.1
9,Steve Williams,LAC,CB,13,287,22.1,28.6,6.6,0.3,0.3,41.8,14.6
10,Corey Graham,BUF,FS,16,981,61.3,89.9,12.9,0.1,0.8,142.6,14.5
11,Craig Dahl,NYG,SS,15,428,28.5,37.4,16.6,0.2,0.2,61.5,14.4
12,Justin Bethel,ARI,CB,16,444,27.8,42.4,10.4,0,0.2,63,14.2
13,David Bruton,DEN,SS,13,482,37.1,51.2,11.4,0.2,0,68,14.1
13,Cortez Allen,PIT,CB,1,32,32,7.5,18.8,0,0,4.5,14.1
15,Keith Tandy,TB,FS,14,285,20.4,25.9,14.7,0.4,0.4,40,14
16,DeAngelo Hall,WAS,FS,11,427,38.8,40.5,11.2,0,0,58.5,13.7
17,Tony Jefferson,ARI,SS,16,757,47.3,72.4,10.3,0.3,0.4,102.7,13.6
18,Trevin Wade,NYG,CB,16,529,33.1,46.2,9.8,0,0.9,70.5,13.3
19,Josh Wilson,DET,CB,8,278,34.8,44.9,11.9,0.2,0.4,36.5,13.1
20,Mike Adams,IND,FS,13,831,63.9,73,9,0.1,0.2,108.3,13
21,Will Allen,PIT,SS,13,816,62.8,73.9,9.9,0.5,0.5,103.9,12.7
21,Kareem Jackson,HOU,SS,12,631,52.6,60.7,9.2,0,0,80,12.7
23,Chris Conte,TB,FS,14,733,52.4,70.8,10.8,0,0,92,12.6
23,Captain Munnerlyn,MIN,CB,16,714,44.6,66.5,7.7,0.1,0.3,89.9,12.6
23,Bacarri Rambo,BUF,FS,15,687,45.8,63,9.3,0.1,0.6,86.8,12.6
23,Isa Abdul-Quddus,DET,FS,16,570,35.6,54.7,10.4,0.2,0.7,72,12.6
27,Trumaine Johnson,LAR,CB,15,906,60.4,78.2,7.8,0,0,112.5,12.4
27,James Ihedigbo,DET,SS,15,598,39.9,57.4,10.7,0.2,0.3,73.9,12.4
29,Bashaud Breeland,WAS,CB,15,913,60.9,91.5,8.9,0,0,112,12.3
30,Marcus Peters,KC,CB,16,1037,64.8,95.5,5.8,0,0,123.5,11.9
31,Dashon Goldson,WAS,FS,15,969,64.6,91.8,11.6,0,0.1,114,11.8
31,David Amerson,OAK,CB,16,879,54.9,79,6.8,0,0,103.5,11.8
31,Maurice Alexander,LAR,SS,14,419,29.9,36.2,9.3,0.5,1.2,49.5,11.8
34,Jordan Poyer,CLE,FS,14,427,30.5,40.8,10.1,0.2,0.5,50,11.7
34,Damian Swann,NO,CB,7,230,32.9,25.9,9.6,0,0.4,27,11.7
36,Barry Church,DAL,SS,15,862,57.5,87.2,13.6,0,0.1,100,11.6
37,Damarious Randall,GB,SS,15,755,50.3,71.8,7.7,0,0,86.5,11.5
38,Malcolm Jenkins,PHI,SS,16,1214,75.9,99.8,9,0,0,138,11.4
38,Kurt Coleman,CAR,SS,15,1019,67.9,92.6,8.8,0.1,0.2,116.2,11.4
38,TJ Ward,DEN,SS,12,707,58.9,68.8,8.6,0.3,0.4,80.3,11.4
38,K'Waun Williams,CLE,CB,13,516,39.7,49.3,7.8,0.2,0,58.8,11.4
38,William Moore,ATL,SS,11,505,45.9,58.2,10.1,0,0,57.5,11.4
38,Trenton Robinson,WAS,FS,9,440,48.9,60.8,11.8,0,0.5,50,11.4
38,Robenson Therezie,ATL,SS,13,289,22.2,27.5,11.4,0,0,33,11.4
45,Ron Parker,KC,SS,16,1057,66.1,97.3,7.4,0.5,0.5,119.1,11.3
45,Dominique Rodgers-Cromartie,NYG,CB,15,888,59.2,77.6,6.5,0,0,100,11.3
47,Antwon Blake,PIT,CB,16,923,57.7,83.6,8.7,0.1,0.1,103,11.2
47,Lamarcus Joyner,LAR,FS,16,730,45.6,63,9.9,0.3,0.3,82.1,11.2
47,Morgan Burnett,GB,SS,11,683,62.1,65,10,0,0.1,76.5,11.2
47,Micah Hyde,GB,SS,15,652,43.5,62,8.4,0.2,0.2,73.3,11.2
47,Major Wright,TB,SS,9,219,24.3,21.2,11.4,0,0,24.5,11.2
47,Deji Olatoye,DAL,CB,5,138,27.6,29.6,9.4,0,0,15.5,11.2
53,Kenny Vaccaro,NO,SS,16,1062,66.4,99.8,9.8,0.3,0.4,118.1,11.1
53,Josh Norman,CAR,CB,16,1062,66.4,96.5,5.3,0,0,118,11.1
53,Ha'Sean Clinton-Dix,GB,FS,16,1048,65.5,99.7,9.5,0.3,0.3,115.9,11.1
53,Harrison Smith,MIN,FS,13,796,61.2,74.2,8.3,0.2,0.8,88.6,11.1
53,Kam Chancellor,SEA,SS,11,638,58,73.6,11.6,0,0,71,11.1
58,Eric Weddle,LAC,FS,13,752,57.8,80.3,10.8,0.1,0.4,81.9,10.9
58,DeShawn Shead,SEA,CB,16,616,38.5,61.7,8.9,0.2,0.3,67,10.9
60,Prince Amukamara,NYG,CB,11,766,69.6,66.9,8.2,0,0,83,10.8
60,Jaquiski Tartt,SF,SS,15,722,48.1,63.3,9,0.3,0.3,77.7,10.8
62,Calvin Pryor,NYJ,SS,13,717,55.2,67.9,9.6,0,0,76.5,10.7
62,Phillip Adams,ATL,CB,13,429,33,40.9,9.1,0,0,46,10.7
62,Leodis McKelvin,BUF,CB,9,388,43.1,66.6,8.2,0,0,41.5,10.7
65,Leon Hall,CIN,CB,14,666,47.6,61.2,8.3,0,0,70.5,10.6
65,Neiko Thorpe,OAK,CB,14,458,32.7,39.7,9.6,0,0,48.5,10.6
65,Antoine Bethea,SF,FS,7,445,63.6,91.4,9.9,0.2,0.4,47,10.6
65,Eddie Pleasant,HOU,FS,16,382,23.9,36.7,9.4,0.1,0.3,40.65,10.6
69,Landon Collins,NYG,SS,16,1093,68.3,95.5,10.2,0,0.1,115,10.5
69,Alterraun Verner,TB,CB,16,579,36.2,52.7,9.7,0.1,0.3,60.8,10.5
69,Robert Golden,PIT,SS,16,390,24.4,35.3,10.5,0,0.3,41,10.5
69,BW Webb,TEN,CB,9,256,28.4,41.5,8.6,0,0,27,10.5
69,Anthony Harris,MIN,FS,4,147,36.8,54.2,10.2,0,0,15.5,10.5
74,Jason Verrett,LAC,CB,14,719,51.4,71.8,6.5,0,0.1,74.5,10.4
74,Jimmy Wilson,LAC,SS,13,483,37.2,59.7,9.3,0.2,0.4,50,10.4
74,Harold Jones-Quartey,CHI,SS,13,273,21,26.4,9.5,0,0.4,28.5,10.4
77,Reggie Nelson,CIN,FS,16,1056,66,97.1,7.5,0,0,109,10.3
77,Ronald Darby,BUF,CB,15,915,61,83.9,7.4,0,0,94.5,10.3
77,Ricardo Allen,ATL,FS,15,841,56.1,80.1,8.2,0.1,0.1,86.5,10.3
77,DJ Swearinger,ARI,FS,11,268,24.4,29.9,7.5,0,0,27.5,10.3
81,Jonathan Cyprien,JAX,SS,14,1015,72.5,87.1,10.6,0,0,104,10.2
81,Darian Stewart,DEN,SS,15,852,56.8,78.5,7.4,0,0.1,86.5,10.2
81,Jerraud Powers,ARI,CB,13,786,60.5,75.1,6.9,0.1,0.1,80,10.2
81,Andrew Sendejo,MIN,SS,13,778,59.8,72.5,9.5,0.1,0.1,79.4,10.2
81,Darius Butler,IND,FS,14,576,41.1,50.6,8.7,0,0.2,59,10.2
86,Michael Griffin,TEN,SS,15,942,62.8,88.9,10.8,0.1,0.1,94.7,10.1
86,Brad McDougald,TB,SS,16,894,55.9,81.3,9.7,0,0.1,90,10.1
86,Jahleel Addae,LAC,FS,13,713,54.8,71.2,9.1,0.1,0.1,72.2,10.1
86,Bradley Roby,DEN,CB,16,626,39.1,57.7,6.4,0,0,63,10.1
90,Jimmie Ward,SF,CB,16,732,45.8,64.2,7.8,0.1,0.1,72.9,10
91,Adam Jones,CIN,CB,14,856,61.1,78.7,7.2,0.1,0,84.6,9.9
91,Quintin Demps,HOU,SS,14,766,54.7,73.7,8,0.1,0.1,75.65,9.9
91,Pierre Desir,CLE,CB,14,388,27.7,37.1,9.8,0,0,38.5,9.9
94,Donte Whitner,CLE,SS,14,853,60.9,81.5,9.5,0.2,0.2,83.75,9.8
94,Bryce Callahan,CHI,CB,9,321,35.7,41.6,6.5,0.3,0.3,31.5,9.8
94,Aaron Williams,BUF,SS,3,193,64.3,50.8,7.8,0,0.5,19,9.8
97,Mike Mitchell,PIT,SS,16,1050,65.6,95.1,7.6,0,0.3,102,9.7
97,Johnathan Joseph,HOU,CB,16,878,54.9,84.4,6.6,0,0,85,9.7
97,Michael Thomas,MIA,SS,16,696,43.5,60.7,12.2,0,0,67.5,9.7
97,Rashean Mathis,DET,CB,7,440,62.9,82.7,7,0,0,42.5,9.7
101,Logan Ryan,NE,CB,16,978,61.1,89.3,7.6,0,0,94,9.6
101,DJ Hayden,OAK,CB,16,904,56.5,78.4,7.7,0.1,0,86.5,9.6
101,Rashad Johnson,ARI,FS,14,846,60.4,80.9,7.6,0,0.1,81.5,9.6
101,Kenneth Acker,SF,CB,15,810,54,71.1,8.3,0,0,78,9.6
101,Charles Tillman,CAR,CB,12,712,59.3,64.7,7.7,0,0.1,68.5,9.6
101,Quandre Diggs,DET,SS,16,472,29.5,45.3,8.1,0,0,45.5,9.6
107,Will Blackmon,WAS,FS,15,787,52.5,78.9,6.2,0.1,0.1,74.5,9.5
107,James Sample,JAX,SS,4,131,32.8,20.2,11.5,0,0,12.5,9.5
107,Rafael Bush,NO,S,1,21,21,33.9,9.5,0,0,2,9.5
110,Charles Woodson,OAK,SS,16,1115,69.7,96.7,6.6,0,0,105.2,9.4
110,Bene' Benwikere,CAR,CB,13,789,60.7,88.7,7.5,0.1,0.1,74.4,9.4
110,Kyle Arrington,BAL,CB,15,342,22.8,32.1,8.2,0,0.3,32,9.4
110,Daimion Stafford,TEN,SS,16,331,20.7,31.2,7.6,0.3,0.3,31,9.4
110,Justin Coleman,NE,CB,10,299,29.9,27.3,7,0,0,28,9.4
115,Davon House,JAX,CB,16,1037,64.8,89,5.8,0,0,96.5,9.3
115,Nolan Carroll,PHI,CB,11,757,68.8,92.4,7.5,0,0,70.5,9.3
115,Cary Williams,SEA,CB,10,622,62.2,80.4,7.4,0.2,0,57.8,9.3
118,Aaron Colvin,JAX,CB,16,1072,67,92,6.8,0.4,0.4,98.5,9.2
118,Byron Maxwell,PHI,CB,14,911,65.1,74.9,7,0,0,83.5,9.2
118,Sam Shields,GB,CB,12,697,58.1,66.3,5.6,0,0,64,9.2
118,Kyshoen Jarrett,WAS,FS,16,601,37.6,57,9.8,0,0,55.5,9.2
118,Chris Prosinski,CHI,FS,13,337,25.9,39.7,9.2,0.3,0.3,31,9.2
123,Glover Quin,DET,FS,16,958,59.9,91.9,7,0,0,87.5,9.1
123,Sterling Moore,TB,CB,16,707,44.2,64.3,6.4,0,0,64,9.1
123,Jude Adjei-Barimah,TB,CB,13,468,36,53.9,8.8,0,0,42.5,9.1
126,Walter Thurmond,PHI,S,16,1201,75.1,98.7,5.9,0.2,0.2,108.4,9
126,Patrick Chung,NE,SS,15,887,59.1,81,9.6,0,0,79.5,9
126,Jeremy Lane,SEA,CB,6,249,41.5,69.9,5.2,0,0,22.5,9
129,Dwight Lowery,IND,FS,16,1089,68.1,95.6,7,0.1,0.2,96.7,8.9
129,Ross Cockrell,PIT,CB,15,686,45.7,62.1,6.4,0,0,61,8.9
129,Josh Evans,JAX,FS,16,621,38.8,53.3,8.7,0,0,55,8.9
129,Shareece Wright,BAL,CB,11,485,44.1,51.2,8.2,0,0,43,8.9
133,Greg Toler,IND,CB,10,684,68.4,60.1,7.5,0,0,60.5,8.8
134,Rodney McLeod,LAR,FS,16,1154,72.1,99.7,7.1,0,0,100,8.7
134,Buster Skrine,NYJ,CB,16,725,45.3,68.7,7.7,0,0.3,63,8.7
134,Patrick Robinson,LAC,CB,16,693,43.3,69.2,7.1,0,0.1,60,8.7
134,Joe Haden,CLE,CB,5,289,57.8,33.4,7.6,0,0,25,8.7
134,Cortland Finnegan,CAR,CB,5,212,42.4,63.1,8.5,0,0.5,18.5,8.7
139,TJ McDonald,LAR,FS,11,772,70.2,90.5,8.2,0.1,0.3,66.6,8.6
139,Antrel Rolle,CHI,SS,7,391,55.9,45.9,9,0,0,33.5,8.6
139,Josh Bush,DEN,SS,8,232,29,38.3,5.6,0,0,20,8.6
139,Tarell Brown,NE,CB,3,162,54,59.1,9.3,0,0,14,8.6
143,Janoris Jenkins,LAR,CB,15,1039,69.3,89.7,6.2,0,0,88,8.5
143,Robert Alford,ATL,CB,15,909,60.6,86.6,5.8,0,0,77,8.5
143,Taylor Mays,OAK,SS,14,316,22.6,30.8,9.2,0,0,27,8.5
143,Adrian Phillips,LAC,FS,9,206,22.9,26,9.2,0,0,17.5,8.5
147,Will Hill,BAL,SS,16,959,59.9,89.9,6.7,0.1,0.4,80.3,8.4
147,George Iloka,CIN,SS,12,645,53.8,59.3,7.3,0,0.2,54,8.4
149,Marcus Gilchrist,NYJ,FS,16,1052,65.8,99.6,7.8,0,0,87,8.3
149,Brandon Browner,NO,SS,16,1024,64,96.2,7.4,0,0,85.5,8.3
149,Terence Newman,MIN,CB,16,967,60.4,90.1,6.4,0,0,80,8.3
149,EJ Biggers,PHI,CB,16,565,35.3,46.4,8.7,0,0,47,8.3
153,Brandon Carr,DAL,CB,16,1053,65.8,99.9,7.2,0,0.2,86,8.2
153,Byron Jones,DAL,CB,16,870,54.4,82.5,7.6,0,0.1,71,8.2
153,Nevin Lawson,DET,CB,15,561,37.4,53.8,8.4,0,0,46,8.2
153,Larry Asante,OAK,S,16,366,22.9,31.7,9.3,0,0,30,8.2
153,Dontae Johnson,SF,CB,16,367,22.9,32.2,8.7,0,0,30,8.2
158,Andre Hal,HOU,FS,16,725,45.3,69.7,5,0,0,59,8.1
159,Earl Thomas,SEA,FS,16,981,61.3,98.3,6.5,0,0,78.5,8
159,Tramon Williams,CLE,CB,15,967,64.5,92.4,7.1,0,0.1,77,8
159,Kevin Johnson,HOU,CB,16,802,50.1,77.1,6.7,0,0,64.5,8
159,Shawn Williams,CIN,SS,16,474,29.6,43.6,6.8,0,0,38,8
159,Tyler Patmon,MIA,CB,13,308,23.7,31.6,4.5,0,0,24.5,8
159,Nate Allen,OAK,FS,5,224,44.8,40.8,4.9,0,0,18,8
159,Leonard Johnson,NE,CB,4,157,39.2,59.9,7,0,0,12.5,8
159,Shiloh Keo,DEN,FS,4,87,21.8,31.3,5.7,0,0,7,8
167,Dre Kirkpatrick,CIN,CB,16,1050,65.6,96.5,6.7,0,0,82.5,7.9
167,Jimmy Smith,BAL,CB,16,1005,62.8,94.2,5.4,0.1,0.1,79,7.9
167,Casey Hayward,GB,CB,16,914,57.1,87,7.2,0,0.1,72,7.9
167,Darrelle Revis,NYJ,CB,14,890,63.6,84.3,4.4,0,0,70.5,7.9
167,Stephon Gilmore,BUF,CB,12,795,66.2,86.6,4.5,0,0,63,7.9
172,Aqib Talib,DEN,CB,15,981,65.4,96.2,4.6,0,0,77,7.8
172,Delvin Breaux,NO,CB,16,944,59,88.7,4.8,0,0,74,7.8
172,Jairus Byrd,NO,FS,13,811,62.4,76.2,6.5,0.1,0.1,63.1,7.8
172,Sergio Brown,JAX,FS,15,555,37,47.6,7.2,0.3,0.4,43.1,7.8
172,Kyle Wilson,NO,CB,15,499,33.3,46.9,5.4,0,0.4,39,7.8
177,Malcolm Butler,NE,CB,16,1082,67.6,98.8,6.2,0,0,83.5,7.7
177,William Gay,PIT,FS,16,1067,66.7,96.6,5.4,0.1,0.2,82.1,7.7
177,Roman Harper,CAR,SS,16,951,59.4,86.4,7.7,0,0.2,73.5,7.7
177,Brandon Meriweather,NYG,SS,13,834,64.2,77.8,7.1,0,0,64,7.7
181,Chris Harris,DEN,CB,16,1067,66.7,98.3,5.4,0,0,81.5,7.6
181,Brent Grimes,MIA,CB,15,960,64,83.8,5.1,0,0,72.5,7.6
181,Ed Reynolds,PHI,S,6,310,51.7,56.6,6.8,0,0,23.5,7.6
181,Blidi Wreh-Wilson,TEN,CB,10,297,29.7,28,7.7,0,0,22.5,7.6
181,Charles Gaines,CLE,CB,6,263,43.8,63.4,5.7,0,0,20,7.6
186,Devin McCourty,NE,FS,14,928,66.3,84.7,6.9,0.1,0.1,69.8,7.5
