Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Clayton Fejedelem,CIN,SS,6,126,21,29.2,15.9,0,0,32.5,25.8
2,Anthony Levine,BAL,SS,6,124,20.7,31.4,14.5,0.8,0.8,29.2,23.5
3,Antone Exum,SF,SS,6,152,25.3,36.7,9.2,0.7,0.7,32.6,21.4
4,Vernon Hargreaves,TB,CB,1,53,53,82.8,13.2,0,0,10.5,19.8
5,DJ Hayden,JAX,CB,2,72,36,54.5,11.1,1.4,1.4,14.1,19.6
6,Daryl Worley,OAK,CB,2,111,55.5,52.9,11.7,0,0,20.5,18.5
7,Terrance Mitchell,CLE,CB,4,194,48.5,63.6,9.8,0,0,34.5,17.8
8,Matthias Farley,IND,SS,5,151,30.2,41.3,12.6,0,0,25.5,16.9
9,Budda Baker,ARI,SS,7,512,73.1,98.7,13.1,0.3,0.4,84.15,16.4
10,Buster Skrine,NYJ,CB,5,197,39.4,54.6,10.7,0.3,0.5,31.95,16.2
11,Derwin James,LAC,SS,6,376,62.7,98.7,9.6,0.9,1.6,60.7,16.1
12,Mackensie Alexander,MIN,CB,5,183,36.6,57.4,9.8,1.1,1.6,29.3,16
13,Taron Johnson,BUF,CB,5,199,39.8,50.5,11.1,0.5,0.5,31.7,15.9
14,Donte Jackson,CAR,CB,5,284,56.8,89.3,9.9,0,0,44,15.5
15,Mike Hughes,MIN,CB,6,243,40.5,63.1,9.1,0,0,37.5,15.4
15,Maurice Smith,MIA,SS,1,26,26,32.1,11.5,0,0,4,15.4
17,Brad McDougald,SEA,SS,6,374,62.3,96.6,9.6,0,0,57,15.2
18,Brian Poole,ATL,CB,6,343,57.2,82.3,10.5,0.6,0.9,51.9,15.1
19,Harrison Smith,MIN,FS,6,382,63.7,99.2,8.4,0.8,1,57.2,15
19,Ryan Lewis,BUF,CB,3,137,45.7,69.9,8.8,0,0,20.5,15
21,Marcus Maye,NYJ,FS,3,197,65.7,54.7,10.2,0.3,0.5,28.3,14.4
22,John Johnson,LAR,SS,6,361,60.2,100,11.4,0,0.6,51.5,14.3
23,M.J. Stewart,TB,CB,5,200,40,59.3,11,0,1,28.5,14.2
23,Jermaine Whitehead,GB,FS,5,131,26.2,41.1,7.6,0.8,1.5,18.6,14.2
23,Lenzy Pipkins,IND,CB,1,53,53,76.8,17,0,0,7.5,14.2
26,Jamal Adams,NYJ,SS,6,430,71.7,100,9.5,0.2,0.5,60.2,14
27,Cameron Sutton,PIT,CB,6,194,32.3,45.2,9.3,0,0,27,13.9
28,Earl Thomas,SEA,FS,4,239,59.8,91.6,9.2,0,0,33,13.8
29,Damontae Kazee,ATL,SS,6,322,53.7,77.2,10.2,0,0,44,13.7
30,Tre Boston,ARI,S,6,442,73.7,96.1,9,0,0.2,60,13.6
30,Travis Carrie,CLE,CB,6,224,37.3,49.6,11.6,0.4,0.4,30.4,13.6
32,Reshad Jones,MIA,SS,4,258,64.5,97.7,8.9,0,0,34.5,13.4
33,Adrian Phillips,LAC,FS,6,166,27.7,43.6,10.8,0,0,22,13.3
