Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Nick Foles,PHI,QB,13,702,54,63.6,8.1,0,53.3,53.3,259.74,37
2,Peyton Manning,DEN,QB,16,1156,72.2,95.8,2.8,0,59.8,59.8,409.98,35.5
3,Josh McCown,CHI,QB,8,421,52.6,39.8,3.1,0,56.3,56.3,136.06,32.3
4,Drew Brees,NO,QB,16,1111,69.4,98.6,3.2,0,61.7,61.7,357.68,32.2
5,Michael Vick,PHI,QB,7,325,46.4,29.5,11.1,0,54.5,54.5,101,31.1
6,Cam Newton,CAR,QB,16,1014,63.4,98.5,10.9,0,57.6,57.6,297.66,29.4
7,Aaron Rodgers,GB,QB,9,582,64.7,51.9,5.2,0,55,55,169.44,29.1
8,Tony Romo,DAL,QB,15,919,61.3,92.2,2.2,0,60.4,60.4,260.92,28.4
9,Andrew Luck,IND,QB,16,1047,65.4,97.9,6,0,60.5,60.5,292.58,27.9
10,Russell Wilson,SEA,QB,16,973,60.8,96.1,9.9,0,51.7,51.7,270.18,27.8
11,Colin Kaepernick,SF,QB,16,969,60.6,97.8,9.5,0,52.4,52.4,264.28,27.3
12,Kyle Orton,DAL,QB,3,78,26,7.8,1.3,0,66.7,66.7,20.72,26.6
13,Jay Cutler,CHI,QB,11,636,57.8,60.2,3.6,0,59.6,59.6,168.56,26.5
14,Sam Bradford,LAR,QB,7,450,64.3,98.7,3.3,0,61.6,61.6,118.58,26.4
14,Brian Hoyer,CLE,QB,3,152,50.7,43.1,3.9,0,67.1,67.1,40.2,26.4
16,Philip Rivers,LAC,QB,16,1098,68.6,98.9,2.6,0,52.1,52.1,287.42,26.2
17,Alex Smith,KC,QB,15,978,65.2,90.6,7.8,0.1,59.8,59.8,253.22,25.9
18,Andy Dalton,CIN,QB,16,1117,69.8,98.7,5.5,0,57.9,57.9,288.14,25.8
19,Jake Locker,TEN,QB,7,395,56.4,67.1,6.1,0,52.4,52.4,99.74,25.3
20,Ben Roethlisberger,PIT,QB,16,1052,65.8,100,2.5,0,58,58,260.84,24.8
21,Matthew Stafford,DET,QB,16,1133,70.8,99.8,3.2,0,59.1,59.1,279.4,24.7
22,Ryan Fitzpatrick,TEN,QB,11,680,61.8,63.3,6.3,0.1,57.9,57.9,166.66,24.5
23,Robert Griffin III,WAS,QB,13,906,69.7,79.2,9.5,0,59.8,59.8,213.02,23.5
23,Matt Cassel,MIN,QB,9,459,51,44.1,3.9,0,59.3,59.3,107.98,23.5
25,Matt Ryan,ATL,QB,16,1065,66.6,98.9,1.6,0,62.7,62.7,248.1,23.3
25,Ryan Tannehill,MIA,QB,16,1021,63.8,99.4,3.9,0,61.5,61.5,238.32,23.3
27,Jason Campbell,CLE,QB,9,502,55.8,45.4,2.8,0,65.9,65.9,115.3,23
28,Case Keenum,HOU,QB,8,461,57.6,41.1,3,0,57.9,57.9,103.6,22.5
29,Scott Tolzien,GB,QB,3,158,52.7,27.7,3.2,0,60.1,60.1,34.18,21.6
30,Tom Brady,NE,QB,16,1197,74.8,100,2.8,0,55.2,55.2,251.52,21
31,Christian Ponder,MIN,QB,9,511,56.8,49.1,6.7,0,53.4,53.4,107.02,20.9
32,Matt McGloin,OAK,QB,7,378,54,36.5,2.9,0,58.7,58.7,78.58,20.8
33,Carson Palmer,ARI,QB,16,1081,67.6,99.7,2.5,0,55.4,55.4,217.26,20.1
34,Brandon Weeden,CLE,QB,8,452,56.5,40.9,2.7,0,61.7,61.7,89.64,19.8
35,Geno Smith,NYJ,QB,16,985,61.6,93.7,7.3,0.1,52.4,52.4,193.74,19.7
36,EJ Manuel,BUF,QB,10,694,69.4,59.8,7.6,0,51.7,51.7,133.48,19.2
37,Mike Glennon,TB,QB,13,842,64.8,81.3,3.2,0,52.6,52.6,158.02,18.8
38,Joe Flacco,BAL,QB,16,1128,70.5,99.3,2.4,0,56.8,56.8,207.58,18.4
39,Matt Flynn,GB,QB,7,394,56.3,38.9,5.1,0,55.8,55.8,72.18,18.3
40,Chad Henne,JAX,QB,15,898,59.9,85,3,0,59,59,161.34,18
41,Eli Manning,NYG,QB,16,986,61.6,96.1,1.8,0,57.7,57.7,170.32,17.3
42,Matt Schaub,HOU,QB,10,610,61,54.4,0.8,0,59.5,59.5,104.8,17.2
43,Chase Daniel,KC,QB,5,100,20,9.3,15,0,53,53,17.02,17
44,Thaddeus Lewis,BUF,QB,6,356,59.3,45.9,6.7,0,50.8,50.8,58.88,16.5
45,Kellen Clemens,LAR,QB,10,554,55.4,55.2,4.2,0,47.8,47.8,85.32,15.4
46,Chris Simms,NYJ,QB,3,66,22,6.3,7.6,0,54.5,54.5,9.94,15.1
47,Kirk Cousins,WAS,QB,5,238,47.6,20.8,1.7,0,66.8,66.8,33.56,14.1
48,Josh Freeman,MIN,QB,4,261,65.2,24.7,1.9,0,58.2,58.2,30.44,11.7
49,Jeff Tuel,BUF,QB,2,111,55.5,9.6,2.7,0,55.9,55.9,12.06,10.9
50,Blaine Gabbert,JAX,QB,3,159,53,15,5.7,0,59.7,59.7,12.44,7.8
51,Seneca Wallace,GB,QB,2,58,29,9.2,0,0,41.4,41.4,3.56,6.1
52,Matt Barkley,PHI,QB,3,76,25.3,6.9,2.6,0,67.1,67.1,1.8,2.4
