Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Aaron Rodgers,GB,QB,16,1066,66.6,98,6.3,0,63.5,63.5,380.02,35.6
2,Matt Ryan,ATL,QB,16,1022,63.9,98.3,3.4,0,55.7,55.7,347.46,34
3,Tom Brady,NE,QB,12,819,68.2,73.1,3.4,0,56.2,56.2,258.56,31.6
4,Andrew Luck,IND,QB,15,1013,67.5,92.4,6.3,0,60.1,60.1,307.7,30.4
5,Colin Kaepernick,SF,QB,12,690,57.5,66.7,10,0,58.1,58.1,200.44,29
6,Drew Brees,NO,QB,16,1151,71.9,100,2,0,60.5,60.5,332.32,28.9
7,Matt Moore,MIA,QB,4,190,47.5,20,0.5,0,46.3,46.3,54.74,28.8
8,Dak Prescott,DAL,QB,16,1013,63.3,95.6,5.6,0,50.9,50.9,286.88,28.3
9,Kirk Cousins,WAS,QB,16,1063,66.4,100,3.2,0,60.2,60.2,300.28,28.2
10,Tyrod Taylor,BUF,QB,15,969,64.6,91.1,9.8,0,54.9,54.9,270.92,28
11,Ben Roethlisberger,PIT,QB,14,921,65.8,85,1.7,0,57,57,252.16,27.4
12,Matthew Stafford,DET,QB,16,1037,64.8,100,3.6,0,60.8,60.8,279.78,27
12,Marcus Mariota,TEN,QB,15,963,64.2,90.6,6.2,0.1,53.1,53.2,259.94,27
14,Russell Wilson,SEA,QB,16,1008,63,94.8,7.1,0.2,61.5,61.5,268.06,26.6
15,Nick Foles,KC,QB,3,106,35.3,10.4,3.8,0,55.7,55.7,28,26.4
16,Derek Carr,OAK,QB,15,1048,69.9,93.7,3.6,0,57,57,268.22,25.6
17,Brian Hoyer,CHI,QB,6,314,52.3,31.1,2.2,0,65.9,65.9,79.6,25.4
18,Ryan Tannehill,MIA,QB,13,758,58.3,80,5.1,0,56.5,56.5,190.2,25.1
19,Cam Newton,CAR,QB,15,1022,68.1,92.2,8.8,0,58.7,58.7,254.26,24.9
20,Alex Smith,KC,QB,15,917,61.1,89.6,5.2,0.1,58.7,58.7,223.78,24.4
21,Blake Bortles,JAX,QB,16,1111,69.4,99.9,5.2,0.1,61.6,61.6,270.1,24.3
21,Philip Rivers,LAC,QB,16,1064,66.5,99.5,1.3,0,55.6,55.6,258.94,24.3
21,Jimmy Garoppolo,NE,QB,6,144,24,12.8,6.9,0.7,51.4,51.4,34.98,24.3
24,Andy Dalton,CIN,QB,16,1085,67.8,99.8,4.2,0,56.1,56.1,260.64,24
25,Carson Palmer,ARI,QB,15,1045,69.7,90.8,1.3,0,58.5,58.5,243.12,23.3
26,Jameis Winston,TB,QB,16,1122,70.1,98.7,4.6,0,55.2,55.2,256.4,22.9
27,Sam Bradford,MIN,QB,15,979,65.3,93,2,0.1,58.5,58.5,220.88,22.6
28,Cody Kessler,CLE,QB,9,349,38.8,33.9,3.2,0,59,59,77,22.1
29,Robert Griffin III,CLE,QB,5,302,60.4,29.3,10.3,0,58.9,58.9,66.44,22
30,Joe Flacco,BAL,QB,16,1111,69.4,98,1.9,0,62.4,62.4,242.48,21.8
30,Charlie Whitehurst,CLE,QB,1,43,43,19.8,4.7,0,60.5,60.5,9.38,21.8
32,Trevor Siemian,DEN,QB,14,903,64.5,83.7,3.1,0,56.9,56.9,191.74,21.2
33,Eli Manning,NYG,QB,16,1061,66.3,100,2.1,0,58.4,58.4,224.18,21.1
33,Blaine Gabbert,SF,QB,6,344,57.3,33.3,11.6,0.3,58.4,58.4,72.7,21.1
33,Landry Jones,PIT,QB,8,161,20.1,14.9,3.7,0,57.1,57.1,33.92,21.1
36,Josh McCown,CLE,QB,5,262,52.4,25.4,2.7,0,65.6,65.6,52.1,19.9
37,Carson Wentz,PHI,QB,16,1127,70.4,99.5,4.1,0.1,58,58,212.98,18.9
38,Connor Cook,OAK,QB,1,32,32,2.9,0,0,65.6,65.6,6,18.8
39,Case Keenum,LAR,QB,10,595,59.5,59.3,3.4,0,57.5,57.5,111.14,18.7
40,Jacoby Brissett,NE,QB,3,158,52.7,14.1,10.1,0,44.9,44.9,28.3,17.9
41,Ryan Fitzpatrick,NYJ,QB,14,765,54.6,73.3,4.3,0,57,57,133.4,17.4
42,Brock Osweiler,HOU,QB,15,978,65.2,87,3.1,0.1,55.3,55.3,168.78,17.3
43,Matt Barkley,CHI,QB,7,412,58.9,45.6,1.7,0.2,54.4,54.4,70.84,17.2
44,Jay Cutler,CHI,QB,5,275,55,27.2,1.8,0,51.6,51.6,46.76,17
45,Paxton Lynch,DEN,QB,3,176,58.7,16.3,6.2,0,53.4,53.4,28.38,16.1
46,Matt Cassel,TEN,QB,4,98,24.5,9.2,4.1,0,56.1,56.1,15.66,16
47,Shaun Hill,MIN,QB,3,74,24.7,7,6.8,0,54.1,54.1,10.18,13.8
48,Jared Goff,LAR,QB,7,393,56.1,39.1,2,0,54.2,54.2,53.16,13.5
49,Bryce Petty,NYJ,QB,6,245,40.8,23.5,2,0,56.3,56.3,32.26,13.2
50,Tom Savage,HOU,QB,3,146,48.7,13,4.1,0,54.1,54.1,17.64,12.1
51,Scott Tolzien,IND,QB,3,83,27.7,7.6,7.2,0,51.8,51.8,8.94,10.8
52,Drew Stanton,ARI,QB,5,106,21.2,9.2,2.8,0,49.1,49.1,9.9,9.3
