Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Ryan Fitzpatrick,TB,QB,4,226,56.5,69.1,8,0,65,65,100.44,44.4
2,Patrick Mahomes,KC,QB,6,392,65.3,100,6.1,0,60.2,60.2,158.1,40.3
3,Matt Ryan,ATL,QB,6,401,66.8,97.8,3.5,0,59.4,59.4,150.84,37.6
4,Jameis Winston,TB,QB,2,101,50.5,78.3,5.9,0,66.3,66.3,37.2,36.8
5,Drew Brees,NO,QB,5,342,68.4,99.1,2.9,0.3,58.8,58.8,125.02,36.6
6,Brock Osweiler,MIA,QB,2,91,45.5,25.5,3.3,0,57.1,57.1,32.1,35.3
7,Cam Newton,CAR,QB,5,331,66.2,99.7,13.6,0,65,65,115.12,34.8
8,Philip Rivers,LAC,QB,6,375,62.5,97.9,2.7,0,54.4,54.4,126.08,33.6
9,Aaron Rodgers,GB,QB,6,420,70,96.8,4,0,64.5,64.5,132.98,31.7
10,Mitch Trubisky,CHI,QB,5,339,67.8,99.4,7.4,0,54.9,54.9,104.84,30.9
11,Kirk Cousins,MIN,QB,6,417,69.5,100,5,0.2,67.6,67.6,126.34,30.3
12,Ben Roethlisberger,PIT,QB,6,428,71.3,99.8,3,0.2,64.3,64.3,129.02,30.1
13,Jared Goff,LAR,QB,6,407,67.8,100,4.2,0,51.8,51.8,122.22,30
14,Andy Dalton,CIN,QB,6,390,65,100,2.1,0,60.8,60.8,112.06,28.7
15,Andrew Luck,IND,QB,6,443,73.8,99.8,2.5,0,67.5,67.5,125.68,28.4
16,Tom Brady,NE,QB,6,408,68,99,2.7,0,55.1,55.1,113.46,27.8
17,Blake Bortles,JAX,QB,6,399,66.5,100,6.5,0,65.9,65.9,109.76,27.5
18,Deshaun Watson,HOU,QB,6,436,72.7,100,8.3,0,58,58,116.22,26.7
18,Carson Wentz,PHI,QB,4,290,72.5,78.6,4.1,0,58.6,58.6,77.48,26.7
20,Russell Wilson,SEA,QB,6,382,63.7,100,4.5,0,47.6,47.6,100.52,26.3
21,Matthew Stafford,DET,QB,5,330,66,97.9,1.8,0,59.7,59.7,86.2,26.1
21,CJ Beathard,SF,QB,4,216,54,52.3,5.6,0,58.3,58.3,56.38,26.1
23,Dak Prescott,DAL,QB,6,376,62.7,98.4,9,0,54.5,54.5,92.06,24.5
24,Jimmy Garoppolo,SF,QB,3,197,65.7,99.5,4.1,0,49.2,49.2,48.02,24.4
25,Ryan Tannehill,MIA,QB,5,266,53.2,95.3,7.1,0,55.6,55.6,63.98,24.1
26,Alex Smith,WAS,QB,5,345,69,100,7.8,0,57.4,57.4,79,22.9
27,Tyrod Taylor,CLE,QB,3,182,60.7,47.6,8.8,0,54.9,54.9,40.98,22.5
28,Joe Flacco,BAL,QB,6,450,75,94.5,3.6,0,62.2,62.2,100.22,22.3
29,Eli Manning,NYG,QB,6,384,64,100,2.1,0,62,62,83.68,21.8
30,Sam Darnold,NYJ,QB,6,376,62.7,100,5.1,0,52.7,52.7,77.94,20.7
31,Case Keenum,DEN,QB,7,469,67,99.8,1.7,0,55.9,55.9,96.52,20.6
32,Derek Carr,OAK,QB,6,419,69.8,100,2.6,0,58.2,58.2,84.92,20.3
32,Marcus Mariota,TEN,QB,5,258,51.6,71.9,9.3,0,55,55,52.42,20.3
34,Josh Allen,BUF,QB,6,322,53.7,85.2,10.9,0,54,54,62.78,19.5
35,Baker Mayfield,CLE,QB,4,282,70.5,60.8,3.5,0,57.8,57.8,52.94,18.8
36,Josh Rosen,ARI,QB,5,248,49.6,64.8,2.8,0,54.8,54.8,34.4,13.9
37,Nick Foles,PHI,QB,2,151,75.5,34.2,2.6,0.7,57.6,57.6,20.24,13.4
38,Blaine Gabbert,TEN,QB,3,101,33.7,35.1,2,0,46.5,46.5,11.88,11.8
39,Sam Bradford,ARI,QB,3,135,45,91.2,1.5,0,60.7,60.7,12.7,9.4
40,Nathan Peterman,BUF,QB,2,56,28,14.8,3.6,0,57.1,57.1,-0.3,-0.5
