Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
1,Aaron Rodgers,GB,QB,16,983,61.4,93.6,4.4,0,57.3,57.3,354.14,36
2,Andrew Luck,IND,QB,16,1072,67,92.8,6,0,63.4,63.4,350.74,32.7
3,Russell Wilson,SEA,QB,16,1054,65.9,99.7,11.2,0.1,54.2,54.2,327.6,31.1
4,Peyton Manning,DEN,QB,16,1092,68.2,96.8,2.2,0,56.9,56.9,312.68,28.6
5,Derek Anderson,CAR,QB,7,178,25.4,16.1,4.5,0,59,59,50.44,28.3
6,Ben Roethlisberger,PIT,QB,16,1106,69.1,99.4,2.9,0,57.9,57.9,306.18,27.7
7,Tony Romo,DAL,QB,15,971,64.7,91.7,2.7,0,47.5,47.5,266.3,27.4
8,Cam Newton,CAR,QB,14,927,66.2,84,11.1,0,59.4,59.4,248.98,26.9
9,Matt Ryan,ATL,QB,16,1064,66.5,98.4,2.7,0,61.7,61.7,284.26,26.7
10,Drew Brees,NO,QB,16,1140,71.2,100,2.4,0.1,60.3,60.3,302.98,26.6
11,Jay Cutler,CHI,QB,15,969,64.6,91.6,4,0,61.9,61.9,255.58,26.4
12,Ryan Tannehill,MIA,QB,16,1065,66.6,97.3,5.3,0.1,60.8,60.8,278.5,26.2
12,Tom Brady,NE,QB,16,1062,66.4,93.9,3.4,0,58.3,58.3,278.06,26.2
12,Colt McCoy,WAS,QB,5,240,48,25.9,6.7,0,60,60,62.88,26.2
15,Carson Palmer,ARI,QB,6,410,68.3,67,2,0,56.6,56.6,103.54,25.3
16,Philip Rivers,LAC,QB,16,1053,65.8,98.6,3.6,0,57.7,57.7,265.84,25.2
17,Kirk Cousins,WAS,QB,6,357,59.5,33.9,2,0,59.1,59.1,88.4,24.8
18,Ryan Fitzpatrick,HOU,QB,12,727,60.6,77,6.9,0,49.8,49.8,179.72,24.7
19,Mike Glennon,TB,QB,6,364,60.7,36.6,2.7,0,58.5,58.5,89.58,24.6
20,Joe Flacco,BAL,QB,16,1070,66.9,99.4,3.6,0,55.5,55.5,262.44,24.5
21,Charlie Whitehurst,TEN,QB,7,357,51,37,5.6,0,57.4,57.4,87.04,24.4
22,Eli Manning,NYG,QB,16,1109,69.3,98.3,1.1,0,55.3,55.3,269.5,24.3
23,Colin Kaepernick,SF,QB,16,1049,65.6,99.1,10,0,55.6,55.6,250.86,23.9
24,Alex Smith,KC,QB,15,940,62.7,93.3,5.2,0,54.6,54.6,220,23.4
25,Zach Mettenberger,TEN,QB,7,305,43.6,31.6,1.6,0,60.3,60.3,70.88,23.2
26,Matthew Stafford,DET,QB,16,1093,68.3,100,3.9,0,59,59,251.58,23
27,Matt McGloin,OAK,QB,1,24,24,2.3,8.3,0,87.5,87.5,5.46,22.8
28,EJ Manuel,BUF,QB,5,259,51.8,24.4,6.2,0,56.8,56.8,58.72,22.7
29,Teddy Bridgewater,MIN,QB,13,795,61.2,77.6,5.9,0,56.5,56.5,179.66,22.6
30,Mark Sanchez,PHI,QB,9,625,69.4,53.1,5.4,0,54.9,54.9,139.42,22.3
31,Kyle Orton,BUF,QB,12,803,66.9,75.6,1.9,0,57.5,57.5,176.12,21.9
31,Nick Foles,PHI,QB,8,545,68.1,46.3,2.9,0,60.2,60.2,119.32,21.9
33,Andy Dalton,CIN,QB,16,1031,64.4,97.1,5.8,0.1,52.7,52.7,224.62,21.8
34,Jake Locker,TEN,QB,7,299,42.7,35.6,7.4,0,56.2,56.2,63.92,21.4
34,Chad Henne,JAX,QB,3,141,47,13.6,2.8,0,58.2,58.2,30.18,21.4
36,Matt Hasselbeck,IND,QB,4,82,20.5,7.1,9.8,0,63.4,63.4,16.94,20.7
37,Drew Stanton,ARI,QB,9,469,52.1,44.3,5.3,0,56.5,56.5,94.74,20.2
38,Josh McCown,TB,QB,12,635,52.9,63.9,3.9,0,55.4,55.4,126.94,20
39,Geno Smith,NYJ,QB,14,759,54.2,69.8,7.8,0.1,56.1,56.3,150.8,19.9
40,Shaun Hill,LAR,QB,9,452,50.2,45,2.2,0.2,53.1,53.1,89.28,19.8
41,Austin Davis,LAR,QB,10,552,55.2,55,2.9,0,54.3,54.3,107.64,19.5
42,Derek Carr,OAK,QB,16,986,61.6,95.8,3,0.1,63.8,63.9,191.5,19.4
43,Robert Griffin III,WAS,QB,9,457,50.8,43.4,8.3,0,55.1,55.1,87.36,19.1
44,Blake Bortles,JAX,QB,14,896,64,86.4,6.2,0,59.3,59.3,168.18,18.8
45,Jimmy Clausen,CHI,QB,4,89,22.2,8.4,3.4,0,57.3,57.3,15.82,17.8
46,Brian Hoyer,CLE,QB,14,911,65.1,86.7,2.7,0.1,50.9,51,156.6,17.2
47,Matt Cassel,MIN,QB,3,140,46.7,77.8,5,0,55.7,55.7,22.9,16.4
48,Michael Vick,NYJ,QB,10,272,27.2,25,9.6,0,54,54,43.46,16
49,Christian Ponder,MIN,QB,2,89,44.5,8.7,4.5,0,53.9,53.9,12.48,14
50,Case Keenum,HOU,QB,2,165,82.5,26.5,6.1,0,52.7,52.7,22.9,13.9
51,Ryan Lindley,ARI,QB,3,163,54.3,36.5,0,0,57.1,57.1,22.48,13.8
52,Ryan Mallett,HOU,QB,3,157,52.3,21.3,3.8,0,51.6,51.6,19.8,12.6
53,Chase Daniel,KC,QB,3,67,22.3,6.7,6,0,47.8,47.8,7.78,11.6
54,Connor Shaw,CLE,QB,1,65,65,100,10.8,0,53.8,53.8,3.98,6.1
55,Tom Savage,HOU,QB,2,60,30,5.4,10,0,41.7,41.7,0.48,0.8
