Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
269,Ras-I Dowling,NE,CB,7,5,2,1,0,0,0,1,0,0,0,0,1.1,8
270,Justin Tryon,NYG,DB,16,4,1,0,0,0,0,0,0,0,1,0,0.5,7.5
270,Jeremy Lane,SEA,CB,13,5,5,0,0,0,0,0,0,0,0,0,0.6,7.5
270,Shiloh Keo,HOU,FS,16,3,1,0,0,0,0,1,1,0,0,0,0.5,7.5
273,Omar Brown,BAL,FS,3,2,1,1,1,9,1,0,0,0,0,0,2.5,7.4
274,Justin Bethel,ARI,CB,16,1,0,0,0,0,0,0,0,0,0,0,0.4,7
274,David Jones,WAS,DB,5,7,0,0,0,0,0,0,0,0,0,0,1.4,7
274,Jarrett Bush,GB,CB,16,4,0,0,0,0,0,0,0,0,1,0,0.4,7
274,Barry Church,DAL,SS,3,3,2,0,0,0,0,0,0,0,1,0,2.3,7
278,Kevin Rutland,JAX,CB,13,6,1,0,0,0,0,0,0,0,0,0,0.5,6.5
279,Derrick Martin,NE,S,5,2,0,1,1,4,1,0,0,0,0,0,1.3,6.4
279,Brandon Taylor,LAC,SS,4,3,2,0,0.5,4,1,0,0,0,0,0,1.6,6.4
281,Darian Stewart,LAR,SS,12,6,0,0,0,0,0,0,0,0,0,0,0.5,6
281,Brent Grimes,ATL,CB,1,6,0,0,0,0,0,0,0,0,0,0,6,6
281,CJ Spillman,SF,FS,16,3,0,0,0,0,0,0,0,0,1,0,0.4,6
281,David Bruton,DEN,SS,16,2,0,0,0,0,0,1,1,0,0,0,0.4,6
281,Curtis Marsh,PHI,CB,15,5,0,0,0,0,0,1,0,0,0,0,0.4,6
286,Tramaine Brock,SF,CB,16,1,0,0,0,0,0,1,0,1,0,0,0.3,5
286,Robert Golden,PIT,SS,15,5,0,0,0,0,0,0,0,0,0,0,0.3,5
286,Darcel McBath,SF,SS,16,2,0,0,0,0,0,0,0,0,1,0,0.3,5
289,Troy Nolan,CHI,S,8,4,1,0,0,0,0,0,0,0,0,0,0.6,4.5
289,Roc Carmichael,HOU,CB,6,3,1,0,0,0,0,1,0,0,0,0,0.8,4.5
289,Robert Blanton,MIN,SS,13,4,1,0,0,0,0,0,0,0,0,0,0.3,4.5
292,Antwon Blake,JAX,CB,16,0,0,0,0,0,1,0,0,0,1,0,0.2,4
292,Neiko Thorpe,KC,CB,9,4,0,0,0,0,0,0,0,0,0,0,0.4,4
292,Walter Thurmond,SEA,S,2,3,0,1,0,0,0,0,0,0,0,0,2,4
292,Johnson Bademosi,CLE,CB,16,3,0,0,0,0,0,1,0,0,0,0,0.2,4
292,Chimdi Chekwa,OAK,CB,3,1,0,0,0,0,0,0,0,1,0,0,1.3,4
292,Crezdon Butler,BUF,CB,8,1,0,0,0,0,0,0,0,1,0,0,0.5,4
292,Jacques Reeves,KC,CB,2,4,0,0,0,0,0,0,0,0,0,0,2,4
292,Shawntae Spencer,OAK,CB,2,3,0,1,0,0,0,0,0,0,0,0,2,4
292,Justin King,PIT,CB,3,1,2,0,0,0,0,2,0,0,0,0,1.3,4
