Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Barry Church,DAL,SS,16,105,28,3,0,0,1,6,1,3,1,1,9.4,150
2,Eric Berry,KC,FS,15,66,7,11,3.5,26,8,10,3,1,2,2,9.2,138.1
3,TJ Ward,CLE,SS,16,75,37,9,1.5,12,2,7,2,0,1,2,8.5,136.7
4,Antrel Rolle,NYG,SS,16,77,18,4,2,21,1,12,6,1,1,0,8.3,133.1
5,Charles Woodson,OAK,SS,16,75,22,5,2,18,2,3,1,3,2,1,7.9,125.8
6,Eric Weddle,LAC,FS,16,78,25,5,1,6,2,10,2,1,2,0,7.8,125.5
7,DeAngelo Hall,WAS,FS,16,57,21,1,0,0,0,13,4,3,1,3,7.7,123.5
8,Reshad Jones,MIA,SS,16,84,23,3,1.5,9,3,4,1,0,0,1,7.4,118.4
9,Antoine Bethea,IND,FS,16,78,30,3,1,12,4,6,2,0,1,0,7.4,118.2
10,William Moore,ATL,SS,16,66,19,3,2,25,1,8,3,3,2,0,7.4,118
11,Tramon Williams,GB,CB,16,61,22,4,2.5,16,3,11,3,2,2,0,7.4,117.6
12,Josh Wilson,WAS,CB,16,64,24,5,2,24,5,7,1,2,3,0,7.3,117.4
13,Earl Thomas,SEA,FS,16,75,25,0,0,0,0,8,5,2,0,0,7.3,116.5
14,James Ihedigbo,BAL,SS,16,61,37,5,0,0,2,11,3,1,2,0,7.2,115.5
15,Bernard Pollard,TEN,SS,16,77,22,3,0.5,4,3,10,3,0,0,0,7.2,114.4
16,Tashaun Gipson,CLE,FS,16,63,31,2,0,0,0,12,5,0,0,1,7.1,113.5
17,Troy Polamalu,PIT,SS,16,50,19,7,2,5,1,11,2,5,1,1,7.1,113
18,Captain Munnerlyn,CAR,CB,16,48,25,4,3,20,4,12,2,1,1,2,7,112.5
19,Jonathan Cyprien,JAX,SS,15,81,16,1,1,0,3,6,1,2,0,0,7.3,110
20,Prince Amukamara,NYG,CB,16,76,9,4,0,0,0,14,1,2,0,0,6.7,107.5
21,Mike Mitchell,CAR,SS,15,50,17,4,4,31,6,9,4,2,0,0,7.1,106.6
22,Major Wright,CHI,SS,15,76,22,0,0,0,0,3,2,1,0,1,7,105
23,Chris Conte,CHI,FS,16,73,16,1,0,0,0,7,3,2,0,0,6.5,104
24,Alterraun Verner,TEN,CB,16,49,8,0,0,0,0,23,5,0,2,1,6.4,103
25,Da'Norris Searcy,BUF,SS,16,45,24,5,3.5,24,4,7,1,0,1,2,6.3,100.4
26,Lardarius Webb,BAL,FS,16,63,11,2,0,0,0,23,2,0,0,0,6.2,99.5
27,Aaron Williams,BUF,SS,14,60,22,2,0,0,0,11,4,1,0,0,7.1,99
27,Kam Chancellor,SEA,SS,16,61,32,3,0,0,1,6,3,1,0,0,6.2,99
29,Brandon Carr,DAL,CB,16,60,11,2,0,0,0,13,3,0,1,1,6.2,98.5
30,Tim Jennings,CHI,CB,16,48,8,0,0,0,0,13,4,2,1,2,6.1,98
31,Tracy Porter,OAK,CB,16,53,13,5,1.5,12,4,13,2,0,0,1,6.1,97.7
32,Ryan Clark,PIT,FS,16,60,44,1,0,0,0,4,2,0,1,0,6,96
33,Corey Graham,BAL,FS,16,51,17,5,1,0,2,12,4,1,0,0,6,95.5
33,Donte Whitner,SF,SS,16,58,15,3,0,0,0,12,2,2,1,0,6,95.5
33,Tyrann Mathieu,ARI,FS,13,64,3,6,1,10,3,9,2,1,0,0,7.3,95.5
33,Rodney McLeod,LAR,FS,16,61,15,2,0,0,0,7,2,2,2,0,6,95.5
37,Morgan Burnett,GB,SS,13,57,36,0,0,0,0,5,0,0,3,1,7.3,95
38,Orlando Scandrick,DAL,CB,16,59,5,4,2,12,2,13,2,1,0,0,5.9,94.7
39,Eric Reid,SF,SS,16,58,12,0,0,0,1,11,4,0,2,0,5.9,94
40,Dawan Landry,NYJ,SS,16,59,36,2,1,0,2,7,1,0,0,0,5.8,93
41,Desmond Trufant,ATL,CB,16,55,15,1,0,0,0,17,2,1,1,0,5.8,92.5
42,Kenny Vaccaro,NO,SS,14,60,17,4,1,8,3,7,1,1,0,0,6.5,91.3
43,Marcus Gilchrist,LAC,FS,16,58,18,3,1,12,1,5,2,1,1,0,5.7,91.2
44,Yeremiah Bell,ARI,FS,16,58,14,5,1,11,2,10,2,0,0,0,5.7,91.1
45,Brent Grimes,MIA,CB,16,52,8,1,0,0,0,16,4,0,0,1,5.7,91
46,Richard Sherman,SEA,CB,16,38,11,0,0,0,1,16,8,0,0,1,5.7,90.5
46,Brandon Boykin,PHI,CB,16,40,3,0,0,0,2,17,6,2,0,1,5.7,90.5
46,Chris Harris,DEN,CB,16,58,7,5,0,0,2,13,3,0,0,0,5.7,90.5
49,Leodis McKelvin,BUF,CB,15,59,12,1,0,0,0,20,1,1,0,0,6,90
50,William Gay,PIT,FS,16,55,8,4,1,8,0,9,1,2,0,1,5.6,89.8
51,Duke Ihenacho,DEN,FS,15,55,17,2,0,0,0,9,0,3,2,0,6,89.5
51,Michael Griffin,TEN,SS,14,61,21,1,0,0,1,4,1,2,1,0,6.4,89.5
53,Adam Jones,CIN,CB,16,43,12,2,0,0,0,14,3,1,2,1,5.6,89
53,Trumaine Johnson,LAR,CB,16,58,10,2,0,0,0,12,3,1,0,0,5.6,89
55,Nate Allen,PHI,FS,16,59,23,2,1,8,1,6,1,1,0,0,5.5,88.3
56,Bradley Fletcher,PHI,CB,13,58,6,0,0,0,0,15,2,1,1,0,6.8,88
57,Cary Williams,PHI,CB,16,55,10,1,1,6,1,11,3,0,1,0,5.5,87.6
58,Louis Delmas,DET,FS,16,49,15,4,2,18,3,9,3,0,0,0,5.5,87.3
59,Jerraud Powers,ARI,CB,16,60,6,0,0,0,0,18,1,1,0,0,5.4,87
60,Joe Haden,CLE,CB,15,43,11,0,0,0,0,20,4,0,0,1,5.8,86.5
60,Jimmy Smith,BAL,CB,16,50,9,1,0,0,0,16,2,3,0,0,5.4,86.5
62,Sam Shields,GB,CB,14,51,10,0,0,0,1,17,4,0,0,0,6.1,86
63,Malcolm Jenkins,NO,SS,14,43,24,4,2.5,13,3,5,2,2,0,0,6.1,85.3
64,Will Hill,NYG,SS,12,54,12,1,0,0,1,2,2,2,1,1,7.1,85
65,Buster Skrine,CLE,CB,16,54,9,2,1,1,1,18,1,0,0,0,5.3,84.6
65,Kyle Arrington,NE,CB,16,47,11,4,2,11,2,12,1,2,0,0,5.3,84.6
65,Reggie Nelson,CIN,FS,15,44,15,4,1,11,3,8,2,1,2,0,5.6,84.6
68,Darius Butler,IND,FS,16,42,9,1,0,0,1,15,4,0,1,1,5.3,84.5
69,Mike Jenkins,OAK,CB,15,57,8,5,0,0,0,6,2,1,1,0,5.6,84
69,Janoris Jenkins,LAR,CB,16,55,6,0,1,0,1,14,1,1,1,0,5.2,84
71,Jason McCourty,TEN,CB,16,54,11,2,0,0,0,10,0,1,1,1,5.2,83.5
71,Glover Quin,DET,FS,16,44,13,2,2,20,1,9,3,1,1,0,5.2,83.5
73,Brandon Meriweather,WAS,SS,13,53,16,3,1,4,2,3,2,1,1,0,6.4,83.4
74,Brandon Flowers,KC,CB,13,63,5,3,1,6,2,7,1,0,0,0,6.4,83.1
75,Nickell Robey,BUF,CB,16,30,9,8,3,23,6,10,1,1,1,1,5.1,81.8
76,Matt Elam,BAL,SS,16,53,23,5,0,0,0,3,1,0,2,0,5.1,81.5
77,Dashon Goldson,TB,FS,13,52,18,1,0,0,0,8,1,1,1,0,6.2,81.2
78,Marcus Cooper,KC,CB,16,38,3,0,0,0,0,20,3,1,1,1,5,80.5
78,Terrell Thomas,NYG,CB,16,58,9,1,1,10,0,8,1,1,0,0,5,80.5
80,Brandian Ross,OAK,FS,16,54,19,1,2,10,4,3,0,1,0,0,5,79.5
81,Robert McClain,ATL,CB,16,53,10,2,1,4,3,5,0,2,1,0,5,79.4
82,Darrelle Revis,TB,CB,16,43,7,3,1,6,1,11,2,2,1,0,4.9,79.1
