Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Harrison Smith,MIN,FS,16,71,20,7,3,22,5,9,5,1,0,1,8.4,134.2
2,Morgan Burnett,GB,SS,15,89,33,4,1.5,13,3,4,1,1,1,0,8.7,129.8
3,Charles Woodson,OAK,SS,16,81,30,4,1,10,1,8,4,0,1,0,7.9,127
4,Rashad Johnson,ARI,FS,16,73,17,3,1,9,2,8,4,0,1,2,7.8,124.4
5,Michael Griffin,TEN,SS,16,84,26,6,3,20,2,5,2,0,0,0,7.8,124
6,TJ McDonald,LAR,FS,16,84,21,8,2,13,2,7,1,0,1,0,7.7,122.8
7,Ryan Mundy,CHI,SS,16,74,27,1,1,6,1,6,4,0,1,1,7.4,119.1
8,Antoine Bethea,SF,FS,16,72,14,4,1,5,1,10,4,1,0,1,7.3,117.5
9,Jason McCourty,TEN,CB,16,77,8,1,0,0,0,11,3,2,1,1,7.3,117
10,Ron Parker,KC,SS,16,84,10,2,1,14,1,12,1,1,0,0,7.1,113.4
11,Mike Adams,IND,FS,16,66,20,1,0,0,1,11,5,1,2,0,7.1,113
12,Eric Weddle,LAC,FS,16,82,22,2,0,0,0,8,1,2,0,0,7,112
13,Reggie Nelson,CIN,FS,16,60,32,4,1.5,13,3,12,4,0,0,0,7,111.3
14,James Ihedigbo,DET,SS,13,59,12,6,2,11,3,8,4,3,1,0,8.4,109.1
15,Aqib Talib,DEN,CB,15,54,9,2,1,8,1,17,4,1,0,2,7.2,108.3
16,Johnathan Joseph,HOU,CB,16,70,5,1,0,0,0,11,2,1,2,1,6.6,105.5
16,Malcolm Jenkins,PHI,SS,16,60,15,3,0,0,0,14,3,1,1,1,6.6,105.5
18,Joe Haden,CLE,CB,15,58,15,1,0,0,0,20,3,1,2,0,7,104.5
19,Antrel Rolle,NYG,SS,16,71,16,1,0,0,1,8,3,1,1,0,6.5,104
20,Barry Church,DAL,SS,16,73,20,2,0,0,0,6,2,1,1,0,6.4,103
