Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Reshad Jones,MIA,SS,16,93,28,5.5,1.5,0,2,5,2,0,3,2,9.3,149.5
2,Keanu Neal,ATL,SS,16,83,33,4.5,0,0,0,6,1,3,2,0,8,128
3,Kevin Byard,TEN,FS,16,62,25,3,0,0,3,16,8,0,2,0,7.9,126.5
4,Jordan Poyer,BUF,FS,15,63,32,4,2,0,2,13,5,0,1,1,8.4,126
5,Landon Collins,NYG,SS,15,78,26,3.5,0,0,2,6,2,1,2,0,7.8,117.5
6,Glover Quin,DET,FS,16,60,24,5,0,0,0,6,3,4,1,1,7.1,113
6,Sean Davis,PIT,FS,16,71,21,7.5,1,0,2,8,3,1,0,0,7.1,113
8,Darius Slay,DET,CB,16,54,6,1,0,0,0,26,8,0,1,0,6.9,111
9,Harrison Smith,MIN,FS,16,61,17,7.5,1.5,0,3,12,5,0,0,0,6.9,110
10,Tre'Davious White,BUF,CB,16,53,16,3.5,0,0,0,18,4,1,2,1,6.8,109.5
11,Devin McCourty,NE,FS,16,79,17,3,1,0,1,5,1,0,1,0,6.5,104.5
12,Eric Weddle,BAL,FS,16,49,14,3,1,0,2,8,6,2,1,1,6.5,104
12,Jamal Adams,NYJ,SS,16,63,20,10,2,0,2,6,0,1,2,0,6.5,104
12,Desmond King,LAC,CB,16,65,10,6,4,0,6,5,1,0,0,1,6.5,104
15,Micah Hyde,BUF,SS,16,65,17,2,0,0,0,13,5,0,0,0,6.5,103.5
16,Daniel Sorensen,KC,FS,15,67,22,6,1.5,0,7,6,1,0,0,0,6.9,103
17,DJ Swearinger,WAS,FS,16,62,17,4,1,0,1,10,4,1,0,0,6.4,102.5
18,Matthias Farley,IND,SS,16,58,38,3,0,0,3,7,2,1,1,0,6.4,102
19,Patrick Chung,NE,SS,16,71,12,3,0,0,3,9,1,0,2,0,6.3,101
19,Barry Church,JAX,SS,16,58,16,3,1.5,0,3,8,4,0,0,1,6.3,101
19,Tyrann Mathieu,ARI,FS,16,69,8,6,1,0,4,7,2,1,0,0,6.3,101
22,Eddie Jackson,CHI,SS,16,55,17,1,0,0,0,6,2,1,3,2,6.3,100.5
23,Jahleel Addae,LAC,FS,16,66,30,9.5,0.5,0,1,7,0,0,0,0,6.2,99.5
24,Darqueze Dennard,CIN,CB,16,61,24,2,2,0,2,6,2,0,0,1,6.2,99
24,James Bradberry,CAR,CB,16,66,19,2.5,1,0,1,9,2,1,0,0,6.2,99
26,Jason McCourty,CLE,CB,14,54,11,4,0,0,0,14,3,2,0,1,7,98.5
26,Vonn Bell,NO,SS,16,62,21,6,4.5,0,6,2,0,1,0,0,6.2,98.5
28,Travis Carrie,OAK,CB,16,70,14,4,0,0,1,9,0,0,2,0,6.1,97
29,Adoree` Jackson,TEN,CB,16,61,9,1.5,0,0,0,17,0,3,0,0,6,96.5
